,value
Rv3575c,MONOMER
Rv1255c,MONOMER
Rv2162c,MONOMER
Rv0261c,MONOMER
Rv2620c,MONOMER
Rv3090,MONOMER
Rv0691c,MONOMER
Rv3549c,MONOMER
Rv1664,MONOMER
Rv2138,MONOMER
Rv0239,MONOMER
Rv2602,MONOMER
Rv3068c,MONOMER
Rv0672,MONOMER
Rv3514,MONOMER
Rv1646,MONOMER
Rv2115c,MONOMER
Rv0223c,MONOMER
Rv3050c,MONOMER
Rv0656c,MONOMER
Rv3494c,MONOMER
Rv1199c,MONOMER
Rv1628c,MONOMER
Rv2091c,MONOMER
Rv0203,MONOMER
Rv2565,MONOMER
Rv3032A,MONOMER
Rv0638,MONOMER
Rv3477,MONOMER
Rv1178,MONOMER
Rv1612,MONOMER
Rv2066,MONOMER
Rv0186,MONOMER
Rv2546,MONOMER
Rv3016,MONOMER
Rv0620,MONOMER
Rv3457c,MONOMER
Rv1159A,MONOMER
Rv1595,MONOMER
Rv2050,MONOMER
Rv0167,MONOMER
Rv2528c,MONOMER
Rv2996c,MONOMER
Rv0598c,MONOMER
Rv3441c,MONOMER
Rv1139c,MONOMER
Rv3921c,MONOMER
Rv1577c,MONOMER
Rv2027c,MONOMER
Rv0151c,MONOMER
Rv2505c,MONOMER
Rv2978c,MONOMER
Rv0582,MONOMER
Rv3423c,MONOMER
Rv1118c,MONOMER
Rv3903c,MONOMER
Rv1560,MONOMER
Rv2002,MONOMER
Rv2487c,MONOMER
Rv2950c,MONOMER
Rv0563,MONOMER
Rv3399,MONOMER
Rv1100,MONOMER
Rv3882c,MONOMER
Rv1543,MONOMER
Rv1984c,MONOMER
Rv2466c,MONOMER
Rv0117,MONOMER
Rv2933,MONOMER
Rv0546c,MONOMER
Rv3381c,MONOMER
Rv1080c,MONOMER
Rv0979A,MONOMER
Rv3866,MONOMER
Rv1526c,MONOMER
Rv1967,MONOMER
Rv2447c,MONOMER
Rv0096,MONOMER
Rv2915c,MONOMER
Rv0529,MONOMER
Rv3359,MONOMER
Rv1058,MONOMER
Rv0959A,MONOMER
Rv3848,MONOMER
Rv1498A,MONOMER
Rv1942c,MONOMER
Rv2429,MONOMER
Rv0078,MONOMER
Rv2894c,MONOMER
Rv0513,MONOMER
Rv3336c,MONOMER
Rv1033c,MONOMER
Rv0937c,MONOMER
Rv3827c,MONOMER
Rv1480,MONOMER
Rv1923,MONOMER
Rv2403c,MONOMER
Rv0063,MONOMER
Rv2875,MONOMER
Rv0493c,MONOMER
Rv3319,MONOMER
Rv1018c,MONOMER
Rv0919,MONOMER
Rv3796,MONOMER
Rv1464,MONOMER
