Transcription-Units,Genes of transcription unit,Direction
TU27KH-421,B488_RS03460 // B488_RS03455 // B488_RS03450 // B488_RS03445 // B488_RS03440 // B488_RS03435 // B488_RS03430 // B488_RS03425 // B488_RS03420,-
TU27KH-900,B488_RS01880,-
TU27KH-314,B488_RS02600,-
TU27KH-824,B488_RS05625,+
TU27KH-687,B488_RS05700,+
TU27KH-655,B488_RS05410,+
TU27KH-853,B488_RS04145,-
TU27KH-438,B488_RS06855,-
TU27KH-340,B488_RS02810,+
TU27KH-716,B488_RS05960,+
TU27KH-16,B488_RS00110,-
TU27KH-562,B488_RS04665 // B488_RS04660,+
TU27KH-466,B488_RS03890,+
TU27KH-354,B488_RS02910 // B488_RS02905 // B488_RS02900,+
TU27KH-508,B488_RS04210,-
TU27KH-97,B488_RS00700,+
TU27KH-378,B488_RS03075,+
TU27KH-180,B488_RS01460,+
TU27KH-122,B488_RS00905,-
TU27KH-607,B488_RS05040,-
TU27KH-209,B488_RS01690,-
TU27KH-928,B488_RS00670,+
TU27KH-578,B488_RS04810,-
TU27KH-235,B488_RS01890,+
TU27KH-765,B488_RS06320,-
TU27KH-636,B488_RS05240 // B488_RS05235,-
TU27KH-151,B488_RS01165,-
TU27KH-794,B488_RS06705,-
TU27KH-672,B488_RS05585,+
TU27KH-299,B488_RS02425,+
TU27KH-535,B488_RS04395 // B488_RS04390,+
TU27KH-270,B488_RS02215,-
TU27KH-45,B488_RS00320,-
TU27KH-823,B488_RS05640,+
TU27KH-327,B488_RS07000,+
TU27KH-852,B488_RS04150,+
TU27KH-701,B488_RS05830,+
TU27KH-451,B488_RS03735 // B488_RS03730 // B488_RS03725,-
TU27KH-486,B488_RS04020 // B488_RS04015,-
TU27KH-15,B488_RS00105,+
TU27KH-917,B488_RS01085,+
TU27KH-751,B488_RS06220,-
TU27KH-730,B488_RS07120,-
TU27KH-30,B488_RS00205,+
TU27KH-70,B488_RS06965 // B488_RS00510 // B488_RS00505 // B488_RS00500,-
TU27KH-507,B488_RS04205,-
TU27KH-477,B488_RS03960,-
TU27KH-109,B488_RS00810 // B488_RS00805,+
TU27KH-377,B488_RS03070,+
TU27KH-179,B488_RS01455,+
TU27KH-208,B488_RS01685 // B488_RS01680 // B488_RS01675 // B488_RS01670,+
TU27KH-136,B488_RS01035,-
TU27KH-575,B488_RS04785 // B488_RS04780,+
TU27KH-234,B488_RS01885,+
TU27KH-285,B488_RS02320,-
TU27KH-764,B488_RS06315,+
TU27KH-935,B488_RS00120,+
TU27KH-585,B488_RS04865,+
TU27KH-793,B488_RS06700,-
TU27KH-255,B488_RS02120,+
TU27KH-822,B488_RS05665,+
TU27KH-420,B488_RS03415,-
TU27KH-313,B488_RS02595 // B488_RS02590 // B488_RS02585 // B488_RS02580 // B488_RS02575 // B488_RS02570 // B488_RS02565,-
TU27KH-646,B488_RS05340,+
TU27KH-686,B488_RS05695,+
TU27KH-542,B488_RS04470,+
TU27KH-851,B488_RS04190,+
TU27KH-437,B488_RS03605,-
TU27KH-339,B488_RS02805,+
TU27KH-83,B488_RS00605,+
TU27KH-715,B488_RS05955 // B488_RS05950,+
TU27KH-907,B488_RS01545,+
TU27KH-465,B488_RS03885,+
TU27KH-353,B488_RS02895,+
TU27KH-506,B488_RS04200 // B488_RS04195,-
TU27KH-555,B488_RS04620,-
TU27KH-376,B488_RS03065,+
TU27KH-569,B488_RS04735,-
TU27KH-178,B488_RS01445 // B488_RS01440 // B488_RS01435,+
