,query,evalue
CD630_08910,b2937,1.35e-30
CD630_08920,b3556,7.16e-27
CD630_08990,b0231,1.32e-84
CD630_09000,b2129,8.18e-78
CD630_09010,b2130,2.24e-35
CD630_09270,b1961,6.5199999999999995e-34
CD630_09860,b0911,1.94e-37
CD630_09870,b1034,9.84e-57
CD630_09900,b0072,4.94e-62
CD630_09910,b0071,1.45e-16
CD630_09920,b0073,1.46e-134
CD630_09950,b2913,1.92e-49
CD630_09970,b2067,5.27e-28
CD630_09980,b4469,3.7700000000000005e-179
CD630_10020,b0481,3.89e-30
CD630_10030,b3061,3.28e-44
CD630_10040,b4122,1.1e-32
CD630_10050,b2463,1.1399999999999999e-119
CD630_10100,b0677,1.4e-50
CD630_10110,b0678,8.309999999999999e-54
CD630_10230,b1299,1.5100000000000002e-21
CD630_10240,b1126,4.3000000000000003e-107
CD630_10250,b1125,8.07e-63
CD630_10260,b1124,3.95e-53
CD630_10270,b1123,2.67e-78
CD630_10300,b1022,4.3500000000000005e-31
CD630_10310,b3532,2.19e-11
CD630_10330,b3786,9.809999999999999e-126
CD630_10340,b1081,1.49e-17
CD630_10420,b0398,2.46e-32
CD630_10430,b0397,1.35e-19
CD630_10440,b4461,1.03e-65
CD630_10460,b1127,2.1799999999999999e-150
CD630_10480,b2300,2.6099999999999997e-34
CD630_10490,b2615,2.81e-25
CD630_10580,b1395,1.6099999999999998e-69
CD630_10620,b1094,3.07e-19
CD630_10770,b1818,9.82e-28
CD630_10810,b0827,5.65e-48
CD630_10820,b3856,3.31e-29
CD630_10840,b0914,3.33e-98
CD630_10860,b1338,1.4e-30
CD630_10870,b3040,1.4e-51
CD630_10910,b1345,3.2e-13
CD630_11090,b3262,2.32e-16
CD630_11200,b3951,9.24e-148
CD630_11220,b1434,5e-40
CD630_11280,b3863,0.0
CD630_11290,b0103,8.08e-30
CD630_11300,b4392,8.05e-17
CD630_11340,b1651,7.11e-12
CD630_11370,b1629,3.6499999999999996e-89
CD630_11380,b1630,5.370000000000001e-59
CD630_11400,b1632,1.05e-45
CD630_11410,b1627,1.5300000000000001e-75
CD630_11420,b1628,8.95e-20
CD630_11430,b3248,4.71e-45
CD630_11440,b3638,4.83e-45
CD630_11450,b3251,7.37e-137
CD630_11480,b0635,1.19e-38
CD630_11500,b1175,1.64e-87
CD630_11520,b0634,7.57e-53
CD630_11530,b0963,5.14e-37
CD630_11570,b2710,1.42e-73
CD630_11600,b3247,1.49e-86
CD630_11610,b3186,9.66e-28
CD630_11630,b3185,4.61e-30
CD630_11640,b3183,4.04e-90
CD630_11690,b2980,2.05e-24
CD630_11710,b0041,2.4299999999999997e-24
CD630_11730,b2979,1.93e-67
CD630_11750,b2296,4.07e-116
CD630_11780,b1090,3.28e-74
CD630_11790,b1091,2.29e-100
CD630_11810,b1092,1.19e-68
CD630_11820,b1093,6.11e-87
CD630_11840,b1095,1.3699999999999999e-135
CD630_11880,b1298,1.6e-31
CD630_11890,b4115,6.95e-40
CD630_12030,b2509,2.1899999999999998e-91
CD630_12050,b0421,7.25e-69
CD630_12070,b0420,2.06e-173
CD630_12090,b2616,1.9299999999999998e-95
CD630_12220,b2894,4.59e-59
CD630_12230,b4383,6.85e-105
CD630_12240,b2407,1.86e-84
CD630_12250,b4382,1.87e-92
CD630_12260,b1097,7.779999999999999e-38
CD630_12280,b2081,1.3799999999999999e-92
CD630_12460,b4147,4.48e-56
CD630_12480,b2567,3.91e-39
CD630_12510,b3464,3.3499999999999996e-91
CD630_12520,b2610,1.5599999999999999e-152
CD630_12530,b2609,3.56e-20
CD630_12550,b2608,1.96e-16
CD630_12560,b2607,3.34e-74
CD630_12570,b2606,2.91e-39
CD630_12600,b0401,9.83e-75
CD630_12620,b0183,1.1600000000000001e-57
CD630_12630,b3605,2.74e-33
CD630_12690,b1914,2.9e-32
CD630_12700,b2469,1.47e-15
