Transcription-Units	Genes of transcription unit	Direction
TU2LZ9-3414	GMET_RS12375 // GMET_RS12370 // GMET_RS12365	+
TU2LZ9-4150	GMET_RS10285	-
TU2LZ9-2204	GMET_RS00605 // GMET_RS00600 // GMET_RS00595 // GMET_RS00590 // GMET_RS00585	-
TU2LZ9-3168	GMET_RS18370 // GMET_RS10260 // GMET_RS10255	-
TU2LZ9-3376	GMET_RS12045	-
TU2LZ9-2556	GMET_RS04245 // GMET_RS04240	-
TU2LZ9-2838	GMET_RS06795	+
TU2LZ9-3247	GMET_RS18820 // GMET_RS10960 // GMET_RS10955	-
TU2LZ9-3807	GMET_RS15765	-
TU2LZ9-4180	GMET_RS07205	-
TU2LZ9-2988	GMET_RS08345 // GMET_RS08340 // GMET_RS08335	+
TU2LZ9-3547	GMET_RS13445	-
TU2LZ9-3388	GMET_RS12135	-
TU2LZ9-3739	GMET_RS15065	-
TU2LZ9-2931	GMET_RS07805 // GMET_RS07800	-
TU2LZ9-2480	GMET_RS03605	+
TU2LZ9-3351	GMET_RS11800 // GMET_RS11795 // GMET_RS11790 // GMET_RS11785 // GMET_RS11780 // GMET_RS11775 // GMET_RS11770	-
TU2LZ9-3655	GMET_RS14335	-
TU2LZ9-2793	GMET_RS06400 // GMET_RS06395	+
TU2LZ9-3360	GMET_RS11940	-
TU2LZ9-2634	GMET_RS04970	+
TU2LZ9-2274	GMET_RS01300	-
TU2LZ9-4097	GMET_RS14095	+
TU2LZ9-3806	GMET_RS15745	-
TU2LZ9-2881	GMET_RS07315	-
TU2LZ9-2203	GMET_RS00580	-
TU2LZ9-2346	GMET_RS18935 // GMET_RS02070 // GMET_RS02065 // GMET_RS02060 // GMET_RS02055 // GMET_RS02050 // GMET_RS02045 // GMET_RS02040 // GMET_RS02035 // GMET_RS02030 // GMET_RS02025 // GMET_RS02020 // GMET_RS02015	+
TU2LZ9-2555	GMET_RS04235	-
TU2LZ9-3111	GMET_RS09635	-
TU2LZ9-2884	GMET_RS07355 // GMET_RS07350 // GMET_RS07345 // GMET_RS07340 // GMET_RS07335	+
TU2LZ9-2429	GMET_RS02985	+
TU2LZ9-3544	GMET_RS13425 // GMET_RS13420	-
TU2LZ9-2697	GMET_RS05535 // GMET_RS05530	+
TU2LZ9-2837	GMET_RS06785	+
TU2LZ9-3805	GMET_RS15740	-
TU2LZ9-3950	GMET_RS17160	-
TU2LZ9-3454	GMET_RS12660 // GMET_RS12655	-
TU2LZ9-2389	GMET_RS02615 // GMET_RS02610	-
TU2LZ9-4236	GMET_RS18720	-
TU2LZ9-2633	GMET_RS04965 // GMET_RS04960	+
TU2LZ9-3546	GMET_RS13440 // GMET_RS13435	-
TU2LZ9-2273	GMET_RS01295	-
TU2LZ9-4095	GMET_RS14470	+
TU2LZ9-3673	GMET_RS14535	-
TU2LZ9-4163	GMET_RS08805	+
TU2LZ9-2930	GMET_RS07795	-
TU2LZ9-2479	GMET_RS03600 // GMET_RS03595	+
TU2LZ9-4041	GMET_RS17970 // GMET_RS17965 // GMET_RS17960	-
TU2LZ9-2823	GMET_RS18135	+
TU2LZ9-2202	GMET_RS00575	-
TU2LZ9-3167	GMET_RS10250 // GMET_RS10245 // GMET_RS10240 // GMET_RS10235 // GMET_RS10230 // GMET_RS10225 // GMET_RS10220 // GMET_RS10215 // GMET_RS10210	-
TU2LZ9-2802	GMET_RS06495	+
TU2LZ9-2554	GMET_RS04230	-
TU2LZ9-3243	GMET_RS10915	+
TU2LZ9-2271	GMET_RS01280	+
TU2LZ9-2986	GMET_RS08315	+
TU2LZ9-2742	GMET_RS05990	-
TU2LZ9-3092	GMET_RS09380 // GMET_RS09375 // GMET_RS09370	-
TU2LZ9-3545	GMET_RS13430	-
TU2LZ9-4252	GMET_RS01170	-
TU2LZ9-3120	GMET_RS09685	+
TU2LZ9-3949	GMET_RS18490	-
TU2LZ9-4056	GMET_RS17285	+
TU2LZ9-2272	GMET_RS01290 // GMET_RS01285	+
TU2LZ9-2632	GMET_RS04955	+
TU2LZ9-2835	GMET_RS06775 // GMET_RS06770 // GMET_RS18975 // GMET_RS18970	+
TU2LZ9-3240	GMET_RS10890	+
TU2LZ9-3953	GMET_RS17180	+
TU2LZ9-2792	GMET_RS06390 // GMET_RS06385	+
TU2LZ9-2325	GMET_RS01770	+
TU2LZ9-2428	GMET_RS02980	+
TU2LZ9-3270	GMET_RS11115	-
TU2LZ9-3993	GMET_RS17480	+
TU2LZ9-3453	GMET_RS12650	-
TU2LZ9-2345	GMET_RS02010 // GMET_RS02005 // GMET_RS18190 // GMET_RS02000	+
TU2LZ9-2201	GMET_RS00565	-
TU2LZ9-4250	GMET_RS01275	-
TU2LZ9-2553	GMET_RS04225 // GMET_RS04220 // GMET_RS04215	+
TU2LZ9-4092	GMET_RS14680	-
TU2LZ9-2718	GMET_RS05785 // GMET_RS05780	+
TU2LZ9-2929	GMET_RS07790 // GMET_RS07785	-
TU2LZ9-3948	GMET_RS17155	-
TU2LZ9-2388	GMET_RS02605	-
TU2LZ9-3319	GMET_RS11430	-
TU2LZ9-2631	GMET_RS04950	-
TU2LZ9-3244	GMET_RS10920	+
TU2LZ9-3569	GMET_RS13615	-
TU2LZ9-4091	GMET_RS14780	+
TU2LZ9-3357	GMET_RS11895	-
TU2LZ9-2381	GMET_RS02520 // GMET_RS02515 // GMET_RS02510	+
TU2LZ9-4188	GMET_RS06530	-
TU2LZ9-4177	GMET_RS07760	+
TU2LZ9-3803	GMET_RS15720	-
TU2LZ9-2478	GMET_RS03590 // GMET_RS03585	+
TU2LZ9-3946	GMET_RS17145	-
TU2LZ9-2415	GMET_RS02865	+
TU2LZ9-3205	GMET_RS10570	+
TU2LZ9-2200	GMET_RS00560	-
TU2LZ9-2552	GMET_RS04210	-
TU2LZ9-4176	GMET_RS18890	-
TU2LZ9-3303	GMET_RS11320	-
TU2LZ9-3542	GMET_RS13400 // GMET_RS13395 // GMET_RS13390	-
TU2LZ9-2962	GMET_RS19005	+
TU2LZ9-4089	GMET_RS14870	+
TU2LZ9-2696	GMET_RS05525	+
TU2LZ9-3802	GMET_RS15715	+
TU2LZ9-3879	GMET_RS16430	+
TU2LZ9-4090	GMET_RS14840	+
TU2LZ9-2270	GMET_RS01270 // GMET_RS01265 // GMET_RS01260	+
TU2LZ9-2630	GMET_RS04945	-
TU2LZ9-3277	GMET_RS11165	-
TU2LZ9-2427	GMET_RS02975 // GMET_RS02970	+
TU2LZ9-2982	GMET_RS08275	+
TU2LZ9-3317	GMET_RS11420 // GMET_RS11415 // GMET_RS11410	-
TU2LZ9-4148	GMET_RS10335	+
TU2LZ9-2928	GMET_RS07780	-
TU2LZ9-2344	GMET_RS01995	+
TU2LZ9-4261	GMET_RS00940	+
TU2LZ9-2882	GMET_RS07320	-
TU2LZ9-3164	GMET_RS10170 // GMET_RS10165 // GMET_RS10160 // GMET_RS10155	-
TU2LZ9-2806	GMET_RS06545 // GMET_RS06540 // GMET_RS06535	+
TU2LZ9-2551	GMET_RS04205	-
TU2LZ9-3242	GMET_RS10910	+
TU2LZ9-4088	GMET_RS14900	+
TU2LZ9-2983	GMET_RS18800	-
TU2LZ9-2508	GMET_RS03860	-
TU2LZ9-4172	GMET_RS08280	-
TU2LZ9-4276	GMET_RS00035	-
TU2LZ9-3996	GMET_RS17510 // GMET_RS17505	-
TU2LZ9-3801	GMET_RS15710	+
TU2LZ9-3623	GMET_RS19095	-
TU2LZ9-3118	GMET_RS09675	-
TU2LZ9-2387	GMET_RS02600 // GMET_RS02595 // GMET_RS02590 // GMET_RS02585 // GMET_RS02580 // GMET_RS02575 // GMET_RS02570	-
TU2LZ9-2199	GMET_RS00555 // GMET_RS00550	-
TU2LZ9-2269	GMET_RS01255 // GMET_RS01250 // GMET_RS01245	+
TU2LZ9-2629	GMET_RS04940	+
TU2LZ9-3540	GMET_RS13380	+
TU2LZ9-3444	GMET_RS12590	+
TU2LZ9-3787	GMET_RS15555	-
TU2LZ9-3945	GMET_RS17140	-
TU2LZ9-4175	GMET_RS07865	-
TU2LZ9-4044	GMET_RS18000	-
TU2LZ9-2695	GMET_RS05520 // GMET_RS05515	+
TU2LZ9-4248	GMET_RS01330	+
TU2LZ9-3944	GMET_RS17135 // GMET_RS17130	-
TU2LZ9-2477	GMET_RS03570 // GMET_RS03565 // GMET_RS03560	-
TU2LZ9-3316	GMET_RS11405	-
TU2LZ9-3163	GMET_RS18365 // GMET_RS10145 // GMET_RS10140	-
TU2LZ9-3126	GMET_RS09740	+
TU2LZ9-4201	GMET_RS05365	-
TU2LZ9-2550	GMET_RS04200 // GMET_RS04195 // GMET_RS04190 // GMET_RS04185	-
TU2LZ9-4086	GMET_RS15105	-
TU2LZ9-3117	GMET_RS09670	-
TU2LZ9-3792	GMET_RS15620	-
TU2LZ9-3548	GMET_RS13455 // GMET_RS13450	-
TU2LZ9-3535	GMET_RS13305 // GMET_RS13300 // GMET_RS13295	-
TU2LZ9-3385	GMET_RS12100	-
TU2LZ9-2426	GMET_RS02965	+
TU2LZ9-2833	GMET_RS06755 // GMET_RS18765	+
TU2LZ9-3799	GMET_RS15700 // GMET_RS15695	-
TU2LZ9-2927	GMET_RS07775 // GMET_RS07770 // GMET_RS07765	-
TU2LZ9-2789	GMET_RS06370	+
TU2LZ9-2268	GMET_RS01240	+
TU2LZ9-2198	GMET_RS00545 // GMET_RS00540	-
TU2LZ9-2628	GMET_RS04935	+
TU2LZ9-4085	GMET_RS15180	-
TU2LZ9-3943	GMET_RS17125 // GMET_RS17120	-
TU2LZ9-2981	GMET_RS18330 // GMET_RS08270	+
TU2LZ9-2739	GMET_RS05950	+
TU2LZ9-2741	GMET_RS05985 // GMET_RS05980	+
TU2LZ9-3396	GMET_RS12210	-
TU2LZ9-2828	GMET_RS06715	+
TU2LZ9-2343	GMET_RS01990	+
TU2LZ9-4032	GMET_RS17805	+
TU2LZ9-2716	GMET_RS05760	-
TU2LZ9-2549	GMET_RS04180	+
TU2LZ9-3470	GMET_RS18435	-
TU2LZ9-3230	GMET_RS10825	-
TU2LZ9-3797	GMET_RS15670	-
TU2LZ9-2691	GMET_RS05475	-
TU2LZ9-2267	GMET_RS01235	+
TU2LZ9-2386	GMET_RS02565 // GMET_RS02560 // GMET_RS02555	+
TU2LZ9-3500	GMET_RS12995	+
TU2LZ9-3744	GMET_RS15150 // GMET_RS15145	+
TU2LZ9-2738	GMET_RS05945	+
TU2LZ9-2627	GMET_RS04930 // GMET_RS04925 // GMET_RS04920	+
TU2LZ9-3537	GMET_RS13340 // GMET_RS13335	-
TU2LZ9-4173	GMET_RS18555	-
TU2LZ9-3121	GMET_RS09695 // GMET_RS09690	+
TU2LZ9-2926	GMET_RS07755	-
TU2LZ9-2476	GMET_RS03555	+
TU2LZ9-3068	GMET_RS09150 // GMET_RS09145 // GMET_RS09140	-
TU2LZ9-4128	GMET_RS12320	+
TU2LZ9-2734	GMET_RS05905 // GMET_RS05900	+
TU2LZ9-3450	GMET_RS12630	+
TU2LZ9-2197	GMET_RS00535	-
TU2LZ9-3095	GMET_RS09405 // GMET_RS18345 // GMET_RS18340 // GMET_RS18335	-
TU2LZ9-3255	GMET_RS11030	-
TU2LZ9-2425	GMET_RS02960 // GMET_RS02955	+
TU2LZ9-3313	GMET_RS11385	-
TU2LZ9-2548	GMET_RS04175	+
TU2LZ9-4082	GMET_RS15240	+
TU2LZ9-2831	GMET_RS06735	+
TU2LZ9-4080	GMET_RS15550	+
TU2LZ9-3384	GMET_RS12095	-
TU2LZ9-2266	GMET_RS01230	+
TU2LZ9-3735	GMET_RS15045	-
TU2LZ9-3116	GMET_RS09665	-
TU2LZ9-4246	GMET_RS01420	-
TU2LZ9-2342	GMET_RS01985 // GMET_RS01980 // GMET_RS01975	+
TU2LZ9-3939	GMET_RS17065 // GMET_RS17060	-
TU2LZ9-3754	GMET_RS15255	+
TU2LZ9-2626	GMET_RS04915 // GMET_RS04910 // GMET_RS04905	+
TU2LZ9-3239	GMET_RS10885	-
TU2LZ9-3795	GMET_RS15645	-
TU2LZ9-4081	GMET_RS15330	+
TU2LZ9-3937	GMET_RS17040	-
TU2LZ9-4214	GMET_RS04125	-
TU2LZ9-2694	GMET_RS05510 // GMET_RS05505	-
TU2LZ9-3647	GMET_RS14285	-
TU2LZ9-4077	GMET_RS15750	+
TU2LZ9-3312	GMET_RS11380	-
TU2LZ9-3938	GMET_RS17050 // GMET_RS17045	-
TU2LZ9-2547	GMET_RS04170	+
TU2LZ9-3193	GMET_RS10500 // GMET_RS10495 // GMET_RS10490 // GMET_RS10485	-
TU2LZ9-3794	GMET_RS15640	-
TU2LZ9-4245	GMET_RS01525	-
TU2LZ9-3082	GMET_RS09290 // GMET_RS09285	+
TU2LZ9-3779	GMET_RS15470	-
TU2LZ9-2385	GMET_RS02550	+
TU2LZ9-2265	GMET_RS01225	+
TU2LZ9-2925	GMET_RS07750 // GMET_RS07745 // GMET_RS18315	-
TU2LZ9-2341	GMET_RS01970 // GMET_RS01965	+
TU2LZ9-2821	GMET_RS06685 // GMET_RS06680 // GMET_RS18965	+
TU2LZ9-4208	GMET_RS05045	-
TU2LZ9-2625	GMET_RS04900 // GMET_RS04895 // GMET_RS04890 // GMET_RS04885	+
TU2LZ9-4079	GMET_RS15690	+
TU2LZ9-3791	GMET_RS15615 // GMET_RS15610	-
TU2LZ9-3382	GMET_RS12085	-
TU2LZ9-2424	GMET_RS02950 // GMET_RS02945	+
TU2LZ9-3631	GMET_RS14165 // GMET_RS14160	-
TU2LZ9-2475	GMET_RS03550	+
TU2LZ9-3115	GMET_RS09660	-
TU2LZ9-3936	GMET_RS17035	+
TU2LZ9-3449	GMET_RS12625	+
TU2LZ9-2196	GMET_RS00530	-
TU2LZ9-3160	GMET_RS10120	-
TU2LZ9-2830	GMET_RS06730 // GMET_RS06725	+
TU2LZ9-2546	GMET_RS04165	+
TU2LZ9-4078	GMET_RS15735	+
TU2LZ9-3308	GMET_RS18390	-
TU2LZ9-2978	GMET_RS08245	+
TU2LZ9-2264	GMET_RS01220 // GMET_RS01215	-
TU2LZ9-4134	GMET_RS11710	+
TU2LZ9-4075	GMET_RS15760	+
TU2LZ9-3933	GMET_RS17015	+
TU2LZ9-3697	GMET_RS14755	-
TU2LZ9-2624	GMET_RS04880 // GMET_RS04875 // GMET_RS04870 // GMET_RS04865 // GMET_RS04860 // GMET_RS04855	+
TU2LZ9-3960	GMET_RS17230	-
TU2LZ9-2763	GMET_RS18750	+
TU2LZ9-2939	GMET_RS18895	+
TU2LZ9-3381	GMET_RS12080	+
TU2LZ9-2541	GMET_RS04120	+
TU2LZ9-3934	GMET_RS17020	+
TU2LZ9-2924	GMET_RS07740 // GMET_RS07735	-
TU2LZ9-3379	GMET_RS12070 // GMET_RS12065 // GMET_RS12060	-
TU2LZ9-3448	GMET_RS12620 // GMET_RS12615	+
TU2LZ9-4235	GMET_RS02295	+
TU2LZ9-3310	GMET_RS11365 // GMET_RS11360	-
TU2LZ9-2617	GMET_RS04785	+
TU2LZ9-2545	GMET_RS04160	+
TU2LZ9-3174	GMET_RS18155	+
TU2LZ9-2977	GMET_RS08240 // GMET_RS08235 // GMET_RS08230	+
TU2LZ9-2736	GMET_RS05930	+
TU2LZ9-2384	GMET_RS02545	-
TU2LZ9-2989	GMET_RS08355 // GMET_RS08350	+
TU2LZ9-3380	GMET_RS12075	+
TU2LZ9-2829	GMET_RS06720 // GMET_RS18280	+
TU2LZ9-2339	GMET_RS01955 // GMET_RS01950	+
TU2LZ9-3921	GMET_RS16920	-
TU2LZ9-2313	GMET_RS01685 // GMET_RS01680	+
TU2LZ9-3534	GMET_RS13290 // GMET_RS13285	+
TU2LZ9-2423	GMET_RS02940	+
TU2LZ9-2623	GMET_RS04850 // GMET_RS04845 // GMET_RS04840	+
TU2LZ9-3236	GMET_RS10865	-
TU2LZ9-3085	GMET_RS09305	-
TU2LZ9-3790	GMET_RS15605 // GMET_RS15600 // GMET_RS15595 // GMET_RS15590 // GMET_RS15585 // GMET_RS15580 // GMET_RS15575	-
TU2LZ9-4073	GMET_RS18660	+
TU2LZ9-4169	GMET_RS08565	-
TU2LZ9-3894	GMET_RS16550	+
TU2LZ9-2692	GMET_RS05480	-
TU2LZ9-2880	GMET_RS07310	-
TU2LZ9-3309	GMET_RS11350	-
TU2LZ9-3839	GMET_RS16015	+
TU2LZ9-2474	GMET_RS03540 // GMET_RS03535	+
TU2LZ9-2826	GMET_RS06705	+
TU2LZ9-3931	GMET_RS16995 // GMET_RS16990	-
TU2LZ9-2195	GMET_RS00525 // GMET_RS00520	+
TU2LZ9-3159	GMET_RS10115 // GMET_RS10110 // GMET_RS10105 // GMET_RS10100 // GMET_RS10095 // GMET_RS10090 // GMET_RS10085 // GMET_RS10080	-
TU2LZ9-2544	GMET_RS04155 // GMET_RS04150	+
TU2LZ9-3235	GMET_RS10860	-
TU2LZ9-4074	GMET_RS15905	+
TU2LZ9-4076	GMET_RS15755	-
TU2LZ9-2976	GMET_RS08225	-
TU2LZ9-3587	GMET_RS13760	-
TU2LZ9-3162	GMET_RS10135 // GMET_RS10130	-
TU2LZ9-3532	GMET_RS13275	+
TU2LZ9-3786	GMET_RS15545	-
TU2LZ9-4069	GMET_RS16120	-
TU2LZ9-2923	GMET_RS07730	-
TU2LZ9-3924	GMET_RS16935	-
TU2LZ9-2338	GMET_RS01945 // GMET_RS01940 // GMET_RS01935 // GMET_RS01930 // GMET_RS01925 // GMET_RS01920 // GMET_RS01915 // GMET_RS01910 // GMET_RS01905	+
TU2LZ9-2262	GMET_RS01205	-
TU2LZ9-2879	GMET_RS07305	-
TU2LZ9-2622	GMET_RS04835	+
TU2LZ9-2326	GMET_RS01775	+
TU2LZ9-4106	GMET_RS13605	+
TU2LZ9-2950	GMET_RS07990 // GMET_RS07985 // GMET_RS07980 // GMET_RS07975	+
TU2LZ9-2735	GMET_RS05925 // GMET_RS05920 // GMET_RS05915 // GMET_RS05910	+
TU2LZ9-3930	GMET_RS16985	-
TU2LZ9-4141	GMET_RS18595	-
TU2LZ9-3113	GMET_RS09645	-
TU2LZ9-3929	GMET_RS16980	+
TU2LZ9-3533	GMET_RS13280	+
TU2LZ9-2194	GMET_RS00515	-
TU2LZ9-2383	GMET_RS02540	-
TU2LZ9-2543	GMET_RS18125 // GMET_RS04140 // GMET_RS04135	+
TU2LZ9-3234	GMET_RS10855	-
TU2LZ9-3428	GMET_RS12485 // GMET_RS12480	-
TU2LZ9-2975	GMET_RS08220	-
TU2LZ9-2827	GMET_RS06710	+
TU2LZ9-2785	GMET_RS06315	+
TU2LZ9-2422	GMET_RS02935 // GMET_RS02930 // GMET_RS02925 // GMET_RS02920	+
TU2LZ9-3912	GMET_RS16815 // GMET_RS16810 // GMET_RS16805 // GMET_RS16800 // GMET_RS16795 // GMET_RS16790 // GMET_RS16785 // GMET_RS16780 // GMET_RS16775 // GMET_RS16770 // GMET_RS16765 // GMET_RS16760 // GMET_RS16755 // GMET_RS16750	-
TU2LZ9-2337	GMET_RS01900 // GMET_RS01895	+
TU2LZ9-3307	GMET_RS19065	-
TU2LZ9-3978	GMET_RS17380	-
TU2LZ9-2261	GMET_RS01200	+
TU2LZ9-4168	GMET_RS08570	+
TU2LZ9-2621	GMET_RS04830 // GMET_RS04825 // GMET_RS04820	+
TU2LZ9-3788	GMET_RS15565 // GMET_RS15560	-
TU2LZ9-3107	GMET_RS09605 // GMET_RS09600	-
TU2LZ9-4071	GMET_RS15985	-
TU2LZ9-2921	GMET_RS07720	-
TU2LZ9-2473	GMET_RS03530	+
TU2LZ9-2784	GMET_RS06310 // GMET_RS06305	+
TU2LZ9-3442	GMET_RS12585 // GMET_RS12580	+
TU2LZ9-2193	GMET_RS00510	-
TU2LZ9-3157	GMET_RS10055	+
TU2LZ9-2542	GMET_RS04130	+
TU2LZ9-3187	GMET_RS10430 // GMET_RS10425 // GMET_RS10420	-
TU2LZ9-4251	GMET_RS18705	-
TU2LZ9-3927	GMET_RS16965	-
TU2LZ9-2974	GMET_RS08215	+
TU2LZ9-2709	GMET_RS05725	+
TU2LZ9-3369	GMET_RS11995 // GMET_RS11990	+
TU2LZ9-3782	GMET_RS15485	-
TU2LZ9-4070	GMET_RS16115	+
TU2LZ9-2997	GMET_RS08400	-
TU2LZ9-2336	GMET_RS01890 // GMET_RS01885	+
TU2LZ9-2260	GMET_RS18205	+
TU2LZ9-2620	GMET_RS04815	+
TU2LZ9-3233	GMET_RS10850 // GMET_RS10845	-
TU2LZ9-2382	GMET_RS02525	+
TU2LZ9-2973	GMET_RS08210 // GMET_RS08205	+
TU2LZ9-2938	GMET_RS07855	+
TU2LZ9-2780	GMET_RS06280	-
TU2LZ9-3793	GMET_RS15635 // GMET_RS15630 // GMET_RS15625	-
TU2LZ9-2472	GMET_RS03525 // GMET_RS03520	+
TU2LZ9-2192	GMET_RS00505	-
TU2LZ9-2698	GMET_RS05560 // GMET_RS05555 // GMET_RS05550 // GMET_RS05545 // GMET_RS05540	+
TU2LZ9-3447	GMET_RS12610 // GMET_RS12605	+
TU2LZ9-3902	GMET_RS16660 // GMET_RS16655 // GMET_RS16650 // GMET_RS16645 // GMET_RS16640	+
TU2LZ9-3318	GMET_RS11425	-
TU2LZ9-3507	GMET_RS13050 // GMET_RS13045 // GMET_RS13040 // GMET_RS13035 // GMET_RS13030	-
TU2LZ9-3972	GMET_RS17330	-
TU2LZ9-4197	GMET_RS05645	-
TU2LZ9-2825	GMET_RS06700	+
TU2LZ9-3711	GMET_RS19105 // GMET_RS14855	-
TU2LZ9-3305	GMET_RS11330	-
TU2LZ9-3070	GMET_RS09180	-
TU2LZ9-3868	GMET_RS16325 // GMET_RS16320 // GMET_RS16315	+
TU2LZ9-4167	GMET_RS08645	+
TU2LZ9-3785	GMET_RS15540 // GMET_RS15535 // GMET_RS15530 // GMET_RS15525 // GMET_RS15520 // GMET_RS15515 // GMET_RS15510	-
TU2LZ9-4068	GMET_RS16150	-
TU2LZ9-3732	GMET_RS15015 // GMET_RS15010	+
TU2LZ9-2421	GMET_RS02915 // GMET_RS02910 // GMET_RS02905	+
TU2LZ9-2259	GMET_RS01195	-
TU2LZ9-4123	GMET_RS12635	-
TU2LZ9-3181	GMET_RS10370	-
TU2LZ9-3784	GMET_RS15505 // GMET_RS15500	+
TU2LZ9-2690	GMET_RS05470	-
TU2LZ9-3530	GMET_RS13265	+
TU2LZ9-2619	GMET_RS04810 // GMET_RS04805 // GMET_RS04800	+
TU2LZ9-3304	GMET_RS11325	-
TU2LZ9-3232	GMET_RS10840 // GMET_RS10835	-
TU2LZ9-3922	GMET_RS16925	+
TU2LZ9-4067	GMET_RS16175	+
TU2LZ9-2901	GMET_RS07490 // GMET_RS07485 // GMET_RS07480	+
TU2LZ9-3367	GMET_RS11980	-
TU2LZ9-2471	GMET_RS03515	+
TU2LZ9-4171	GMET_RS08285	+
TU2LZ9-3863	GMET_RS16280 // GMET_RS16275	+
TU2LZ9-3715	GMET_RS14895 // GMET_RS14890 // GMET_RS14885	-
TU2LZ9-3446	GMET_RS12600	-
TU2LZ9-2191	GMET_RS00500	+
TU2LZ9-2540	GMET_RS04115	+
TU2LZ9-3342	GMET_RS11630	-
TU2LZ9-4241	GMET_RS18220	-
TU2LZ9-4166	GMET_RS08715	+
TU2LZ9-2972	GMET_RS08200	+
TU2LZ9-2783	GMET_RS06300	+
TU2LZ9-3005	GMET_RS08475	+
TU2LZ9-3377	GMET_RS12050	-
TU2LZ9-3919	GMET_RS16910 // GMET_RS16905 // GMET_RS16900 // GMET_RS16895 // GMET_RS16890 // GMET_RS16885 // GMET_RS16880 // GMET_RS16875 // GMET_RS16870 // GMET_RS16865 // GMET_RS16860	+
TU2LZ9-2877	GMET_RS07295 // GMET_RS07290	+
TU2LZ9-2258	GMET_RS18710	-
TU2LZ9-2335	GMET_RS01880	+
TU2LZ9-2732	GMET_RS05880	-
TU2LZ9-2334	GMET_RS01875	+
TU2LZ9-3155	GMET_RS10040 // GMET_RS10035 // GMET_RS10030	-
TU2LZ9-3103	GMET_RS09560 // GMET_RS09555	-
TU2LZ9-2585	GMET_RS04505 // GMET_RS04500	-
TU2LZ9-4064	GMET_RS16395	+
TU2LZ9-2971	GMET_RS08195 // GMET_RS08190	-
TU2LZ9-2470	GMET_RS03510 // GMET_RS03505	+
TU2LZ9-3804	GMET_RS15730 // GMET_RS18485 // GMET_RS15725	-
TU2LZ9-2920	GMET_RS07715	+
TU2LZ9-3529	GMET_RS13260	-
TU2LZ9-2539	GMET_RS04110	-
TU2LZ9-3995	GMET_RS17500 // GMET_RS17495 // GMET_RS17490	-
TU2LZ9-2190	GMET_RS00495	+
TU2LZ9-2689	GMET_RS05465	-
TU2LZ9-2872	GMET_RS07245	+
TU2LZ9-3633	GMET_RS14175	-
TU2LZ9-3102	GMET_RS09550 // GMET_RS09545	-
TU2LZ9-3049	GMET_RS08965	-
TU2LZ9-3517	GMET_RS13160	-
TU2LZ9-3781	GMET_RS15480	-
TU2LZ9-3756	GMET_RS15265	-
TU2LZ9-2257	GMET_RS01190 // GMET_RS01185	+
TU2LZ9-3110	GMET_RS09630 // GMET_RS09625 // GMET_RS09620	-
TU2LZ9-2420	GMET_RS02900	+
TU2LZ9-4164	GMET_RS08800	-
TU2LZ9-3445	GMET_RS12595	-
TU2LZ9-2333	GMET_RS01870 // GMET_RS01865 // GMET_RS01860 // GMET_RS01855 // GMET_RS01850	-
TU2LZ9-3917	GMET_RS16850	-
TU2LZ9-2851	GMET_RS06960	+
TU2LZ9-2469	GMET_RS03500	+
TU2LZ9-2609	GMET_RS04730 // GMET_RS04725 // GMET_RS04720 // GMET_RS04715 // GMET_RS04710	+
TU2LZ9-3528	GMET_RS13255 // GMET_RS13250	-
TU2LZ9-2847	GMET_RS06930 // GMET_RS06925 // GMET_RS06920	-
TU2LZ9-3762	GMET_RS15325 // GMET_RS15320 // GMET_RS15315 // GMET_RS15310	-
TU2LZ9-2969	GMET_RS08180 // GMET_RS08175 // GMET_RS08170 // GMET_RS08165 // GMET_RS08160 // GMET_RS08155 // GMET_RS08150	+
TU2LZ9-2704	GMET_RS18255	-
TU2LZ9-4062	GMET_RS16580	+
TU2LZ9-3748	GMET_RS15170	+
TU2LZ9-2876	GMET_RS07285 // GMET_RS07280 // GMET_RS07275	+
TU2LZ9-2538	GMET_RS04105	-
TU2LZ9-2189	GMET_RS00490 // GMET_RS00485 // GMET_RS00480 // GMET_RS00475	-
TU2LZ9-3256	GMET_RS11035	-
TU2LZ9-3845	GMET_RS16095	-
TU2LZ9-3109	GMET_RS19020	-
TU2LZ9-2328	GMET_RS01790	+
TU2LZ9-3760	GMET_RS15300 // GMET_RS15295	+
TU2LZ9-3527	GMET_RS13245	-
TU2LZ9-2256	GMET_RS01180 // GMET_RS01175	+
TU2LZ9-2713	GMET_RS05745	+
TU2LZ9-2537	GMET_RS04100	-
TU2LZ9-2410	GMET_RS02815	+
TU2LZ9-4249	GMET_RS01325	-
TU2LZ9-2468	GMET_RS03495	+
TU2LZ9-2332	GMET_RS01845 // GMET_RS01840	-
TU2LZ9-3229	GMET_RS10820 // GMET_RS10815 // GMET_RS10810	-
TU2LZ9-3682	GMET_RS14625	-
TU2LZ9-3152	GMET_RS10005	-
TU2LZ9-2688	GMET_RS05460	-
TU2LZ9-2616	GMET_RS04780	+
TU2LZ9-3451	GMET_RS12645 // GMET_RS12640	+
TU2LZ9-4165	GMET_RS08720	-
TU2LZ9-2893	GMET_RS07420	+
TU2LZ9-3778	GMET_RS15465	-
TU2LZ9-4061	GMET_RS16585	-
TU2LZ9-3100	GMET_RS09500	-
TU2LZ9-4203	GMET_RS05170	-
TU2LZ9-3526	GMET_RS13240	-
