Transcription-Units	Genes of transcription unit	Direction
TU2LZ9-3062	GMET_RS09080 // GMET_RS09075 // GMET_RS09070	+
TU2LZ9-4054	GMET_RS17540	+
TU2LZ9-3796	GMET_RS15665 // GMET_RS15660 // GMET_RS15655 // GMET_RS15650	-
TU2LZ9-2168	GMET_RS00280	+
TU2LZ9-2449	GMET_RS03360	+
TU2LZ9-3061	GMET_RS09065	-
TU2LZ9-3496	GMET_RS12970	-
TU2LZ9-3135	GMET_RS18355	+
TU2LZ9-2595	GMET_RS04575	+
TU2LZ9-3877	GMET_RS16420 // GMET_RS16415	-
TU2LZ9-3745	GMET_RS15155	-
TU2LZ9-4023	GMET_RS17735	-
TU2LZ9-3656	GMET_RS14340	-
TU2LZ9-2670	GMET_RS05275	+
TU2LZ9-3289	GMET_RS11235	-
TU2LZ9-2409	GMET_RS02810 // GMET_RS02805 // GMET_RS02800	+
TU2LZ9-3654	GMET_RS14330 // GMET_RS14325 // GMET_RS14320	+
TU2LZ9-2312	GMET_RS01675	+
TU2LZ9-2239	GMET_RS00950	-
TU2LZ9-3570	GMET_RS13625 // GMET_RS13620	-
TU2LZ9-2714	GMET_RS05750	-
TU2LZ9-3208	GMET_RS18810	-
TU2LZ9-3060	GMET_RS09060	-
TU2LZ9-2519	GMET_RS03970	+
TU2LZ9-4022	GMET_RS17730 // GMET_RS17725	-
TU2LZ9-2810	GMET_RS06580	+
TU2LZ9-3875	GMET_RS16400	-
TU2LZ9-2954	GMET_RS08030 // GMET_RS08025	+
TU2LZ9-3743	GMET_RS15140 // GMET_RS15135 // GMET_RS15130 // GMET_RS15125 // GMET_RS15120 // GMET_RS15115	+
TU2LZ9-2762	GMET_RS06125	+
TU2LZ9-2693	GMET_RS05500	-
TU2LZ9-3876	GMET_RS16405	-
TU2LZ9-3772	GMET_RS15430	-
TU2LZ9-2167	GMET_RS00275	+
TU2LZ9-3653	GMET_RS14315 // GMET_RS14310	+
TU2LZ9-2816	GMET_RS18265 // GMET_RS06635	+
TU2LZ9-3416	GMET_RS12395	-
TU2LZ9-3882	GMET_RS16450 // GMET_RS16445	-
TU2LZ9-3493	GMET_RS19090	-
TU2LZ9-3059	GMET_RS09055	+
TU2LZ9-2681	GMET_RS05385	+
TU2LZ9-4179	GMET_RS07375	-
TU2LZ9-2669	GMET_RS05270 // GMET_RS05265	-
TU2LZ9-3022	GMET_RS08710	-
TU2LZ9-2865	GMET_RS07155 // GMET_RS07150 // GMET_RS07145 // GMET_RS07140 // GMET_RS07135 // GMET_RS07130 // GMET_RS07125	+
TU2LZ9-2308	GMET_RS01620	+
TU2LZ9-3494	GMET_RS12960	-
TU2LZ9-2448	GMET_RS03355	-
TU2LZ9-2238	GMET_RS00945	-
TU2LZ9-3036	GMET_RS08835 // GMET_RS08830 // GMET_RS08825 // GMET_RS08820	-
TU2LZ9-3134	GMET_RS09840 // GMET_RS09835 // GMET_RS09830	+
TU2LZ9-3207	GMET_RS10580	-
TU2LZ9-3652	GMET_RS14305	+
TU2LZ9-3874	GMET_RS16385 // GMET_RS16380 // GMET_RS16375	+
TU2LZ9-2594	GMET_RS04570 // GMET_RS04565 // GMET_RS04560	+
TU2LZ9-4219	GMET_RS03880	+
TU2LZ9-4020	GMET_RS17710 // GMET_RS17705	+
TU2LZ9-4047	GMET_RS18030	+
TU2LZ9-3058	GMET_RS09050	+
TU2LZ9-3421	GMET_RS12425	-
TU2LZ9-2166	GMET_RS00270 // GMET_RS00265	-
TU2LZ9-2766	GMET_RS06145	-
TU2LZ9-3206	GMET_RS10575	+
TU2LZ9-3051	GMET_RS08990	-
TU2LZ9-3616	GMET_RS14075 // GMET_RS14070	+
TU2LZ9-2518	GMET_RS03960	+
TU2LZ9-3820	GMET_RS15860	+
TU2LZ9-3423	GMET_RS12435	-
TU2LZ9-3264	GMET_RS11085	-
TU2LZ9-3871	GMET_RS16350	-
TU2LZ9-2791	GMET_RS06380	-
TU2LZ9-3650	GMET_RS14295	-
TU2LZ9-2668	GMET_RS05260	-
TU2LZ9-3057	GMET_RS09045 // GMET_RS09040	+
TU2LZ9-3866	GMET_RS16305	+
TU2LZ9-2311	GMET_RS01670 // GMET_RS01665 // GMET_RS01660 // GMET_RS01655 // GMET_RS01650 // GMET_RS01645 // GMET_RS01640	+
TU2LZ9-2408	GMET_RS02795 // GMET_RS02790	+
TU2LZ9-2356	GMET_RS02160 // GMET_RS02155 // GMET_RS02150 // GMET_RS02145 // GMET_RS02140 // GMET_RS02135 // GMET_RS02130	+
TU2LZ9-3649	GMET_RS18640	-
TU2LZ9-2447	GMET_RS03350	-
TU2LZ9-2237	GMET_RS00925	-
TU2LZ9-3691	GMET_RS14695	+
TU2LZ9-4247	GMET_RS01335	-
TU2LZ9-3056	GMET_RS09035 // GMET_RS09030	+
TU2LZ9-3872	GMET_RS16360 // GMET_RS16355	-
TU2LZ9-2593	GMET_RS04555 // GMET_RS04550 // GMET_RS04545	+
TU2LZ9-3282	GMET_RS11190	+
TU2LZ9-2953	GMET_RS08020 // GMET_RS08015 // GMET_RS08010 // GMET_RS08005	+
TU2LZ9-4018	GMET_RS17695 // GMET_RS17690 // GMET_RS17685 // GMET_RS17680 // GMET_RS17675	-
TU2LZ9-3359	GMET_RS11935 // GMET_RS11930 // GMET_RS11925 // GMET_RS11920 // GMET_RS11915 // GMET_RS11910 // GMET_RS11905	-
TU2LZ9-2165	GMET_RS00260 // GMET_RS00255	+
TU2LZ9-3648	GMET_RS14290	-
TU2LZ9-4065	GMET_RS16390	-
TU2LZ9-4017	GMET_RS17670 // GMET_RS17665	-
TU2LZ9-3646	GMET_RS14280 // GMET_RS14275	-
TU2LZ9-2517	GMET_RS03955	+
TU2LZ9-3291	GMET_RS11245	-
TU2LZ9-3679	GMET_RS14605 // GMET_RS14600	+
TU2LZ9-3067	GMET_RS09135 // GMET_RS09130 // GMET_RS09125 // GMET_RS09120	+
TU2LZ9-2665	GMET_RS05245	+
TU2LZ9-4190	GMET_RS06520	-
TU2LZ9-3358	GMET_RS11900	-
TU2LZ9-3055	GMET_RS09025 // GMET_RS09020	+
TU2LZ9-3462	GMET_RS12700	-
TU2LZ9-3420	GMET_RS12420 // GMET_RS12415	+
TU2LZ9-2857	GMET_RS07030 // GMET_RS07025 // GMET_RS07020	+
TU2LZ9-2310	GMET_RS01635 // GMET_RS01630	+
TU2LZ9-2446	GMET_RS03345	-
TU2LZ9-3741	GMET_RS15100 // GMET_RS15095 // GMET_RS15090	+
TU2LZ9-2711	GMET_RS05735	+
TU2LZ9-3114	GMET_RS09655	-
TU2LZ9-3412	GMET_RS12355 // GMET_RS12350 // GMET_RS12345	-
TU2LZ9-3491	GMET_RS12950 // GMET_RS12945	-
TU2LZ9-4100	GMET_RS13965	+
TU2LZ9-2864	GMET_RS07120 // GMET_RS07115 // GMET_RS07110 // GMET_RS07105	+
TU2LZ9-2592	GMET_RS04540	+
TU2LZ9-3873	GMET_RS16370 // GMET_RS16365	+
TU2LZ9-4016	GMET_RS17660 // GMET_RS17655	-
TU2LZ9-2727	GMET_RS05855	+
TU2LZ9-3642	GMET_RS14250 // GMET_RS14245 // GMET_RS14240 // GMET_RS14235	-
TU2LZ9-4104	GMET_RS13650	+
TU2LZ9-3054	GMET_RS09015	+
TU2LZ9-3738	GMET_RS15060	-
TU2LZ9-2164	GMET_RS00240 // GMET_RS00235	-
TU2LZ9-3740	GMET_RS15080 // GMET_RS15075 // GMET_RS15070	+
TU2LZ9-3200	GMET_RS10540	+
TU2LZ9-2731	GMET_RS05875	-
TU2LZ9-3490	GMET_RS12940	-
TU2LZ9-2516	GMET_RS03950	-
TU2LZ9-3869	GMET_RS16335 // GMET_RS16330	+
TU2LZ9-2795	GMET_RS06410	+
TU2LZ9-4015	GMET_RS17650	-
TU2LZ9-2765	GMET_RS06140	-
TU2LZ9-3594	GMET_RS13905 // GMET_RS13900 // GMET_RS13895	-
TU2LZ9-3644	GMET_RS14265 // GMET_RS14260	-
TU2LZ9-2666	GMET_RS05250	-
TU2LZ9-3053	GMET_RS09010 // GMET_RS09005	-
TU2LZ9-4145	GMET_RS11025	+
TU2LZ9-2407	GMET_RS02785 // GMET_RS02780	+
TU2LZ9-2367	GMET_RS02305 // GMET_RS02300	-
TU2LZ9-2309	GMET_RS01625	+
TU2LZ9-2445	GMET_RS03340	+
TU2LZ9-2236	GMET_RS00920	-
TU2LZ9-3925	GMET_RS16955 // GMET_RS16950 // GMET_RS16945 // GMET_RS16940	-
TU2LZ9-3643	GMET_RS14255	-
TU2LZ9-2591	GMET_RS04535	+
TU2LZ9-3281	GMET_RS11185	+
TU2LZ9-4216	GMET_RS04065	-
TU2LZ9-3356	GMET_RS11890 // GMET_RS11885	-
TU2LZ9-3052	GMET_RS08995	-
TU2LZ9-3418	GMET_RS12405	+
TU2LZ9-2163	GMET_RS00220	+
TU2LZ9-3658	GMET_RS14355	-
TU2LZ9-4013	GMET_RS17630 // GMET_RS17625	+
TU2LZ9-4149	GMET_RS10290	+
TU2LZ9-2710	GMET_RS05730	+
TU2LZ9-3043	GMET_RS08890 // GMET_RS08885	+
TU2LZ9-3489	GMET_RS12915 // GMET_RS12910	+
TU2LZ9-2515	GMET_RS03945 // GMET_RS03940 // GMET_RS03935 // GMET_RS03930 // GMET_RS03925	-
TU2LZ9-2863	GMET_RS07100 // GMET_RS18300 // GMET_RS07090	+
TU2LZ9-3018	GMET_RS08680	+
TU2LZ9-3637	GMET_RS14210	-
TU2LZ9-4271	GMET_RS18925	+
