Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
G12WB-3597,CD630_34200,4011101,4012601,G12WB-3597-MONOMER,AM180355.1
G12WB-160,CD630_01020,120121,120925,G12WB-160-MONOMER,AM180355.1
G12WB-514,CD630_04081,480596,480878,G12WB-514-MONOMER,AM180355.1
G12WB-3562,CD630_33880,3960450,3961641,G12WB-3562-MONOMER,AM180355.1
G12WB-943,CD630_08330,1009320,1011246,G12WB-943-MONOMER,AM180355.1
G12WB-474,CD630_03680,439345,440038,G12WB-474-MONOMER,AM180355.1
G12WB-2330,CD630_21730,2513980,2515156,G12WB-2330-MONOMER,AM180355.1
G12WB-911,CD630_08000,972320,973103,G12WB-911-MONOMER,AM180355.1
G12WB-1214,CD630_10910,1284506,1285700,G12WB-1214-MONOMER,AM180355.1
G12WB-2294,CD630_21370,2473757,2474315,G12WB-2294-MONOMER,AM180355.1
G12WB-2743,CD630_25870,2992699,2993899,G12WB-2743-MONOMER,AM180355.1
G12WB-2709,CD630_25540,2954591,2954699,G12WB-2709-MONOMER,AM180355.1
G12WB-3171,CD630_30060,3491473,3492619,G12WB-3171-MONOMER,AM180355.1
G12WB-3137,CD630_29710,3452890,3453436,G12WB-3137-MONOMER,AM180355.1
G12WB-1616,CD630_14790,1714821,1716978,G12WB-1616-MONOMER,AM180355.1
G12WB-1170,CD630_10510,1244384,1245071,G12WB-1170-MONOMER,AM180355.1
G12WB-3579,CD630_34050,3983986,3984484,G12WB-3579-MONOMER,AM180355.1
G12WB-1583,CD630_14460,1676722,1678081,G12WB-1583-MONOMER,AM180355.1
G12WB-3576,CD630_34020,3979912,3980827,G12WB-3576-MONOMER,AM180355.1
G12WB-3548,CD630_33741,3945831,3946062,G12WB-3548-MONOMER,AM180355.1
G12WB-488,CD630_03820,450810,451209,G12WB-488-MONOMER,AM180355.1
G12WB-457,CD630_03500,425142,425703,G12WB-457-MONOMER,AM180355.1
G12WB-926,CD630_08160,988672,992434,G12WB-926-MONOMER,AM180355.1
G12WB-2031,CD630_18850,2190782,2191631,G12WB-2031-MONOMER,AM180355.1
G12WB-2309,CD630_21520,2490553,2491594,G12WB-2309-MONOMER,AM180355.1
G12WB-893,CD630_07820,954570,955269,G12WB-893-MONOMER,AM180355.1
G12WB-2725,CD630_25690,2970720,2973399,G12WB-2725-MONOMER,AM180355.1
G12WB-700,CD630_05880,705086,705374,G12WB-700-MONOMER,AM180355.1
G12WB-2274,CD630_21190,2453143,2454037,G12WB-2274-MONOMER,AM180355.1
G12WB-3150,CD630_29850,3468521,3469268,G12WB-3150-MONOMER,AM180355.1
G12WB-729,CD630_06200,743234,743465,G12WB-729-MONOMER,AM180355.1
G12WB-2684,CD630_25290,2922573,2922885,G12WB-2684-MONOMER,AM180355.1
G12WB-269,CD630_01640,217380,217674,G12WB-269-MONOMER,AM180355.1
