Modified_enzyme,Core_enzyme,Modifications,Source
VC_0472-MONOMER_mod_na1(4)_mod_mg2(1),VC_0472-MONOMER,na1(4) AND mg2(1),Homology
VC_0472-MONOMER_mod_na1(4)_mod_mn2(1),VC_0472-MONOMER,na1(4) AND mn2(1),Homology
VC_0472-MONOMER_mod_na1(4)_mod_cobalt2(1),VC_0472-MONOMER,na1(4) AND cobalt2(1),Homology
VC_0472-MONOMER_mod_na1(4)_mod_zn2(1),VC_0472-MONOMER,na1(4) AND zn2(1),Homology
VC_0472-MONOMER_mod_na1(4)_mod_cd2(1),VC_0472-MONOMER,na1(4) AND cd2(1),Homology
VC_0472-MONOMER_mod_na1(4)_mod_ni2(1),VC_0472-MONOMER,na1(4) AND ni2(1),Homology
VC_0472-MONOMER_mod_na1(4)_mod_ca2(1),VC_0472-MONOMER,na1(4) AND ca2(1),Homology
VC_0473-MONOMER_mod_thmpp(1)_mod_mn2(1)_mod_mg2(1),VC_0473-MONOMER,thmpp(1) AND mn2(1) AND mg2(1),Homology
VC_0485-MONOMER_mod_mg2(1)_mod_k(1),VC_0485-MONOMER,mg2(1) AND k(1),Homology
VC_0485-MONOMER_mod_mn2(1)_mod_k(1),VC_0485-MONOMER,mn2(1) AND k(1),Homology
VC_0528-MONOMER_mod_mg2(1),VC_0528-MONOMER,mg2(1),Homology
VC_0528-MONOMER_mod_mn2(1),VC_0528-MONOMER,mn2(1),Homology
VC_0528-MONOMER_mod_cobalt2(1),VC_0528-MONOMER,cobalt2(1),Homology
VC_0529-MONOMER_mod_mn2(1),VC_0529-MONOMER,mn2(1),Homology
VC_0531-MONOMER_mod_cobalt2(1),VC_0531-MONOMER,cobalt2(1),Homology
VC_0537-MONOMER_mod_pydx5p(1),VC_0537-MONOMER,pydx5p(1),Homology
VC_0545-MONOMER_mod_zn2(4),VC_0545-MONOMER,zn2(4),Homology
VC_0556-MONOMER_mod_mg2(1),VC_0556-MONOMER,mg2(1),Homology
VC_0586-MONOMER_mod_zn2(1),VC_0586-MONOMER,zn2(1),Homology
VC_0591-MONOMER_mod_mg2(1)_mod_k(1),VC_0591-MONOMER,mg2(1) AND k(1),Homology
