Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Accession-2,replicon
FY484_RS10885,VC_t069,2331232,2331307,FY484_RS10885-tRNA,,AE003852.1
FY484_RS02220,maf,0,582,FY484_RS02220-MONOMER,,maf;FY484_RS10115
FY484_RS00820,VC_r005,153025,155912,FY484_RS00820-rRNA,,AE003852.1
FY484_RS13130,VC_2638,2810120,2811575,FY484_RS13130-MONOMER,,AE003852.1
FY484_RS05450,ffs,0,97,FY484_RS05450-RNA,,ffs
FY484_RS15480,VC_A0330,332489,332978,FY484_RS15480-MONOMER,,AE003853.1
FY484_RS04345,acfC,0,771,FY484_RS04345-MONOMER,,acfC
FY484_RS18095,FY484_RS18095,0,1980,FY484_RS18095-MONOMER,,FY484_RS18095
FY484_RS02925,VC_t042,581351,581428,FY484_RS02925-tRNA,,AE003852.1
FY484_RS06750,prpB,0,897,FY484_RS06750-MONOMER,,prpB
FY484_RS13685,VC_t090,2931505,2931580,FY484_RS13685-tRNA,,AE003852.1
FY484_RS08945,VC_1785,1935800,1936007,FY484_RS08945-MONOMER,,AE003852.1
FY484_RS02060,VC_r011,403798,406685,FY484_RS02060-rRNA,,AE003852.1
FY484_RS11050,flgT,0,1134,FY484_RS11050-MONOMER,,flgT
FY484_RS11105,VC_t082,2375623,2375700,FY484_RS11105-tRNA,,AE003852.1
FY484_RS02130,mshJ,0,651,FY484_RS02130-MONOMER,,mshJ
FY484_RS01635,VC_t013,329349,329426,FY484_RS01635-tRNA,,AE003852.1
FY484_RS13050,VC_2622,2793336,2794110,FY484_RS13050-MONOMER,,AE003852.1
FY484_RS10870,VC_t066,2330905,2330982,FY484_RS10870-tRNA,,AE003852.1
FY484_RS15340,parE1,0,318,FY484_RS15340-MONOMER,,parE1
FY484_RS00325,VC_t003,59046,59123,FY484_RS00325-tRNA,,AE003852.1
FY484_RS04265,tcpI,0,1863,FY484_RS04265-MONOMER,,tcpI
FY484_RS04690,VC_t053,973508,973593,FY484_RS04690-tRNA,,AE003852.1
FY484_RS18010,VC_A0809,753435,754986,FY484_RS18010-MONOMER,,AE003853.1
FY484_RS06665,VC_1317,1400320,1401241,FY484_RS06665-MONOMER,,AE003852.1
FY484_RS08850,VC_1766,1908885,1910877,FY484_RS08850-MONOMER,,AE003852.1
FY484_RS02910,VC_t039,580967,581060,FY484_RS02910-tRNA,,AE003852.1
FY484_RS10965,flgK,0,1875,FY484_RS10965-MONOMER,,flgK
FY484_RS13670,VC_r020,2928142,2931031,FY484_RS13670-rRNA,,AE003852.1
FY484_RS02010,pspG,0,213,FY484_RS02010-MONOMER,,pspG
FY484_RS02045,VC_r010,401750,403286,FY484_RS02045-rRNA,,AE003852.1
FY484_RS12965,slyD,0,606,FY484_RS12965-MONOMER,,slyD
FY484_RS10935,VC_t079,2332360,2332445,FY484_RS10935-tRNA,,AE003852.1
FY484_RS15180,infC,0,552,FY484_RS15180-MONOMER,,infC
FY484_RS01620,VC_t012,325829,325905,FY484_RS01620-tRNA,,AE003852.1
FY484_RS04150,citX,0,537,FY484_RS04150-MONOMER,,citX
FY484_RS10165,asd1,0,1113,FY484_RS10165-MONOMER,,asd1
FY484_RS17915,VC_A0788,732772,733402,FY484_RS17915-MONOMER,,AE003853.1
FY484_RS00310,VC_r002,55783,58670,FY484_RS00310-rRNA,,AE003852.1
FY484_RS06570,queD,0,363,FY484_RS06570-MONOMER,,queD
FY484_RS04385,ssrA,0,367,FY484_RS04385-RNA,,ssrA
FY484_RS08750,VC_1745,1880231,1881698,FY484_RS08750-MONOMER,,AE003852.1
FY484_RS10805,ybaK,0,483,FY484_RS10805-MONOMER,,ybaK
FY484_RS03740,rrf,0,116,FY484_RS03740-RNA,,rrf;FY484_RS12410
FY484_RS01930,tuf,0,1185,FY484_RS01930-MONOMER,,tuf;FY484_RS01685
FY484_RS17745,VC_At2,699562,699636,FY484_RS17745-tRNA,,AE003853.1
FY484_RS12880,rpmC,0,192,FY484_RS12880-MONOMER,,rpmC
FY484_RS02410,VC_t036,481373,481449,FY484_RS02410-tRNA,,AE003852.1
FY484_RS15075,emrD3,0,1140,FY484_RS15075-MONOMER,,emrD3
FY484_RS12440,VC_t086,2683337,2683422,FY484_RS12440-tRNA,,AE003852.1
FY484_RS04055,viuC,0,840,FY484_RS04055-MONOMER,,viuC
FY484_RS01815,VC_t023,362690,362767,FY484_RS01815-tRNA,,AE003852.1
FY484_RS17820,VC_A0768,711449,712718,FY484_RS17820-MONOMER,,AE003853.1
FY484_RS10920,VC_t076,2332040,2332117,FY484_RS10920-tRNA,,AE003852.1
FY484_RS06485,VC_1281,1356925,1357231,FY484_RS06485-MONOMER,,AE003852.1
FY484_RS00895,VC_t010,167719,167796,FY484_RS00895-tRNA,,AE003852.1
FY484_RS08660,tfoY,0,588,FY484_RS08660-MONOMER,,tfoY
FY484_RS08165,nspC,0,1134,FY484_RS08165-MONOMER,,nspC;FY484_RS08160
FY484_RS10725,dapE,0,1134,FY484_RS10725-MONOMER,,dapE
FY484_RS01840,amiB,0,1719,FY484_RS01840-MONOMER,,amiB
FY484_RS03725,VC_r013,762774,764309,FY484_RS03725-rRNA,,AE003852.1
FY484_RS12800,rpsD,0,621,FY484_RS12800-MONOMER,,rpsD
FY484_RS13720,VC_t094,2937320,2937396,FY484_RS13720-tRNA,,AE003852.1
FY484_RS14960,VC_A0241,261637,262522,FY484_RS14960-MONOMER,,AE003853.1
FY484_RS02390,VC_t033,478802,478878,FY484_RS02390-tRNA,,AE003852.1
FY484_RS03975,der,0,1485,FY484_RS03975-MONOMER,,der
FY484_RS12420,VC_t084,2679659,2679735,FY484_RS12420-tRNA,,AE003852.1
FY484_RS17720,glpC,0,1242,FY484_RS17720-MONOMER,,glpC
FY484_RS01800,VC_t020,362202,362278,FY484_RS01800-tRNA,,AE003852.1
FY484_RS06395,irpA,0,1263,FY484_RS06395-MONOMER,,irpA
FY484_RS10905,VC_t073,2331703,2331788,FY484_RS10905-tRNA,,AE003852.1
FY484_RS08570,metE,0,2286,FY484_RS08570-MONOMER,,metE
FY484_RS00880,VC_t007,167298,167374,FY484_RS00880-tRNA,,AE003852.1
FY484_RS10645,fliE,0,312,FY484_RS10645-MONOMER,,fliE
FY484_RS06180,VC_t059,1294226,1294302,FY484_RS06180-tRNA,,AE003852.1
FY484_RS01715,rplL,0,366,FY484_RS01715-MONOMER,,rplL
FY484_RS12720,VC_2555,2737361,2737883,FY484_RS12720-MONOMER,,AE003852.1
FY484_RS02945,VC_t046,581913,581990,FY484_RS02945-tRNA,,AE003852.1
FY484_RS14865,VC_A0220,240113,241760,FY484_RS14865-MONOMER,,AE003853.1
FY484_RS13705,VC_r023,2933890,2936778,FY484_RS13705-rRNA,,AE003852.1
FY484_RS03895,iscR,0,522,FY484_RS03895-MONOMER,,iscR
FY484_RS02375,VC_t030,478490,478566,FY484_RS02375-tRNA,,AE003852.1
FY484_RS17605,modA,0,759,FY484_RS17605-MONOMER,,modA
FY484_RS12405,VC_t083,2676116,2676192,FY484_RS12405-tRNA,,AE003852.1
FY484_RS06300,btuD,0,756,FY484_RS06300-MONOMER,,btuD
FY484_RS01680,VC_t017,335137,335213,FY484_RS01680-tRNA,,AE003852.1
FY484_RS08465,VC_1685,1819057,1819828,FY484_RS08465-MONOMER,,AE003852.1
FY484_RS10890,VC_t070,2331384,2331461,FY484_RS10890-tRNA,,AE003852.1
FY484_RS10560,prmB,0,933,FY484_RS10560-MONOMER,,prmB
FY484_RS00825,rrf,0,116,FY484_RS00825-RNA,,rrf;FY484_RS12410
FY484_RS01580,trxA,0,327,FY484_RS01580-MONOMER,,trxA
FY484_RS06165,VC_t056,1293913,1293987,FY484_RS06165-tRNA,,AE003852.1
FY484_RS12635,thiQ,0,717,FY484_RS12635-MONOMER,,thiQ
FY484_RS14755,VC_A0197,213206,214250,FY484_RS14755-MONOMER,,AE003853.1
FY484_RS03810,pstB1,0,822,FY484_RS03810-MONOMER,,pstB1
FY484_RS02930,VC_t043,581483,581560,FY484_RS02930-tRNA,,AE003852.1
FY484_RS17505,VC_A0705,645804,648174,FY484_RS17505-MONOMER,,AE003853.1
FY484_RS13690,VC_t091,2931599,2931675,FY484_RS13690-tRNA,,AE003852.1
FY484_RS06215,relV,0,780,FY484_RS06215-MONOMER,,relV
FY484_RS02065,rrf,0,116,FY484_RS02065-RNA,,rrf;FY484_RS12410
FY484_RS08385,VC_1669,1800424,1801771,FY484_RS08385-MONOMER,,AE003852.1
FY484_RS11985,rnpB,0,402,FY484_RS11985-RNA,,rnpB
FY484_RS10475,VC_2098,2259403,2259625,FY484_RS10475-MONOMER,,AE003852.1
FY484_RS01665,VC_t014,334818,334894,FY484_RS01665-tRNA,,AE003852.1
FY484_RS01490,VC_0287,296366,296882,FY484_RS01490-MONOMER,,AE003852.1
FY484_RS10875,VC_t067,2331010,2331096,FY484_RS10875-tRNA,,AE003852.1
FY484_RS12550,mlaE,0,777,FY484_RS12550-MONOMER,,mlaE
FY484_RS00810,VC_r004,151058,152593,FY484_RS00810-rRNA,,AE003852.1
FY484_RS14655,VC_A0176,192833,194768,FY484_RS14655-MONOMER,,AE003853.1
FY484_RS04695,VC_t054,973678,973763,FY484_RS04695-tRNA,,AE003852.1
FY484_RS03705,VC_0708,756970,757732,FY484_RS03705-MONOMER,,AE003852.1
FY484_RS17420,VC_A0685,621500,622535,FY484_RS17420-MONOMER,,AE003853.1
FY484_RS06110,VC_1205,1280553,1281762,FY484_RS06110-MONOMER,,AE003852.1
FY484_RS02915,VC_t040,581093,581170,FY484_RS02915-tRNA,,AE003852.1
FY484_RS08275,FY484_RS08275,0,609,FY484_RS08275-MONOMER,,FY484_RS08275
FY484_RS13675,VC_t088,2931318,2931394,FY484_RS13675-tRNA,,AE003852.1
FY484_RS10380,VC_2078,2236013,2236244,FY484_RS10380-MONOMER,,AE003852.1
FY484_RS02050,VC_t026,403349,403426,FY484_RS02050-tRNA,,AE003852.1
FY484_RS01385,VC_0265,270696,271935,FY484_RS01385-MONOMER,,AE003852.1
FY484_RS10940,VC_t080,2332483,2332558,FY484_RS10940-tRNA,,AE003852.1
FY484_RS12450,lptG,0,1071,FY484_RS12450-MONOMER,,lptG
FY484_RS01625,VC_r008,326192,329079,FY484_RS01625-rRNA,,AE003852.1
FY484_RS14555,mrpE,0,477,FY484_RS14555-MONOMER,,mrpE
FY484_RS10195,VC_t064,2199242,2199319,FY484_RS10195-tRNA,,AE003852.1
FY484_RS03605,ispH,0,963,FY484_RS03605-MONOMER,,ispH
FY484_RS00315,rrf,0,116,FY484_RS00315-RNA,,rrf;FY484_RS12410
FY484_RS17305,VC_A0659,596381,597005,FY484_RS17305-MONOMER,,AE003853.1
FY484_RS04680,VC_t051,973170,973255,FY484_RS04680-tRNA,,AE003852.1
FY484_RS06000,trxB,0,957,FY484_RS06000-MONOMER,,trxB
FY484_RS08185,VC_1628,1751442,1752561,FY484_RS08185-MONOMER,,AE003852.1
FY484_RS17750,VC_At3,699660,699747,FY484_RS17750-tRNA,,AE003853.1
FY484_RS10300,parC,0,2286,FY484_RS10300-MONOMER,,parC;FY484_RS12085
FY484_RS02415,VC_t037,481497,481573,FY484_RS02415-tRNA,,AE003852.1
FY484_RS01275,manB,0,1392,FY484_RS01275-MONOMER,,manB
FY484_RS13660,VC_t087,2927795,2927872,FY484_RS13660-tRNA,,AE003852.1
FY484_RS12330,rpiA,0,657,FY484_RS12330-MONOMER,,rpiA
FY484_RS01820,VC_t024,362809,362886,FY484_RS01820-tRNA,,AE003852.1
FY484_RS14470,VC_A0134,148507,149239,FY484_RS14470-MONOMER,,AE003853.1
