Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS05945-MONOMER	USA300HOU_RS05945	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	CCI-CYTOSOL-GP
USA300HOU_RS03700-MONOMER	USA300HOU_RS03700	cysteine ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
CPLX1OEB-33	USA300HOU_RS00740 // USA300HOU_RS00745 // USA300HOU_RS00750	predicted ATP-driven transporter of phosphonate	
USA300HOU_RS02065-MONOMER	USA300HOU_RS02065	IMP dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS07450-MONOMER	USA300HOU_RS07450	biotin--[acetyl-CoA-carboxylase] ligase	CCI-CYTOSOL-GP
USA300HOU_RS12735-MONOMER	USA300HOU_RS12735	Bcr/CflA family drug resistance efflux transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS13190-MONOMER	USA300HOU_RS13190	AraC family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS06655-MONOMER	USA300HOU_RS06655	hypothetical protein	
USA300HOU_RS09690-MONOMER	USA300HOU_RS09690	enterotoxin	CCI-CYTOSOL-GP
USA300HOU_RS12100-MONOMER	USA300HOU_RS12100	50S ribosomal protein L6	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS08430-MONOMER	USA300HOU_RS08430	nucleotide exchange factor GrpE	CCI-CYTOSOL-GP
USA300HOU_RS06290-MONOMER	USA300HOU_RS06290	type I DNA topoisomerase	
USA300HOU_RS09715-MONOMER	USA300HOU_RS09715	bi-component leukocidin LukED subunit D	CCI-EXTRACELLULAR-GP
USA300HOU_RS04735-MONOMER	USA300HOU_RS04735	general stress protein	CCI-CYTOSOL-GP
USA300HOU_RS12125-MONOMER	USA300HOU_RS12125	50S ribosomal protein L14	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS09820-MONOMER	USA300HOU_RS09820	HIT family protein	
USA300HOU_RS02990-MONOMER	USA300HOU_RS02990	3-hexulose-6-phosphate synthase	CCI-CYTOSOL-GP
USA300HOU_RS08695-MONOMER	USA300HOU_RS08695	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	CCI-CYTOSOL-GP
USA300HOU_RS15315-MONOMER	USA300HOU_RS15315	hypothetical protein	
USA300HOU_RS12810-MONOMER	USA300HOU_RS12810	CDP-glycerol glycerophosphotransferase family protein	
USA300HOU_RS07710-MONOMER	USA300HOU_RS07710	hypothetical protein	
USA300HOU_RS14490-MONOMER	USA300HOU_RS14490	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	CCI-EXTRACELLULAR-GP
USA300HOU_RS01020-MONOMER	USA300HOU_RS01020	MurR/RpiR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS08355-MONOMER	USA300HOU_RS08355	DNA repair protein RecO	
USA300HOU_RS10300-MONOMER	USA300HOU_RS10300	RNA methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05775-MONOMER	USA300HOU_RS05775	fibrinogen-binding protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS03580-MONOMER	USA300HOU_RS03580	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS13570-MONOMER	USA300HOU_RS13570	gluconate permease	CCI-PM-BAC-POS-GP
USA300HOU_RS13935-MONOMER	USA300HOU_RS13935	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06970-MONOMER	USA300HOU_RS06970	anthranilate phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS00735-MONOMER	USA300HOU_RS00735	phosphopentomutase	CCI-CYTOSOL-GP
USA300HOU_RS00015-MONOMER	USA300HOU_RS00015	S4 domain-containing protein YaaA	
USA300HOU_RS03405-MONOMER	USA300HOU_RS03405	cation:proton antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS11980-MONOMER	USA300HOU_RS11980	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS09335-MONOMER	USA300HOU_RS09335	leucine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS06260-MONOMER	USA300HOU_RS06260	ribonuclease HII	CCI-CYTOSOL-GP
USA300HOU_RS12560-MONOMER	USA300HOU_RS12560	haloacid dehalogenase	CCI-CYTOSOL-GP
USA300HOU_RS07100-MONOMER	USA300HOU_RS07100	aspartate-semialdehyde dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS04295-MONOMER	USA300HOU_RS04295	cold-shock protein	CCI-CYTOSOL-GP
USA300HOU_RS03505-MONOMER	USA300HOU_RS03505	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS09595-MONOMER	USA300HOU_RS09595	hypothetical protein	
USA300HOU_RS14660-MONOMER	USA300HOU_RS14660	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13205-MONOMER	USA300HOU_RS13205	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS11990-MONOMER	USA300HOU_RS11990	hypothetical protein	
USA300HOU_RS02655-MONOMER	USA300HOU_RS02655	lysine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS13565-MONOMER	USA300HOU_RS13565	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10470-MONOMER	USA300HOU_RS10470	membrane protein	
USA300HOU_RS02045-MONOMER	USA300HOU_RS02045	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10235-MONOMER	USA300HOU_RS10235	hypothetical protein	
USA300HOU_RS08815-MONOMER	USA300HOU_RS08815	DNA-3-methyladenine glycosylase I	
USA300HOU_RS02540-MONOMER	USA300HOU_RS02540	RidA family protein	CCI-CYTOSOL-GP
USA300HOU_RS10240-MONOMER	USA300HOU_RS10240	methionine aminopeptidase	CCI-CYTOSOL-GP
USA300HOU_RS07020-MONOMER	USA300HOU_RS07020	peptide ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01190-MONOMER	USA300HOU_RS01190	acetyl-CoA C-acyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS09315-MONOMER	USA300HOU_RS09315	polysaccharide biosynthesis protein	CCI-PM-BAC-POS-GP
USA300HOU_RS15215-MONOMER	USA300HOU_RS15215	hypothetical protein	
USA300HOU_RS13855-MONOMER	USA300HOU_RS13855	TetR/AcrR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS13650-MONOMER	USA300HOU_RS13650	membrane protein	
USA300HOU_RS07840-MONOMER	USA300HOU_RS07840	DUF1024 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS06450-MONOMER	USA300HOU_RS06450	KR domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12600-MONOMER	USA300HOU_RS12600	KR domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS08400-MONOMER	USA300HOU_RS08400	30S ribosomal protein S21	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS04835-MONOMER	USA300HOU_RS04835	chaperone protein ClpB	CCI-CYTOSOL-GP
USA300HOU_RS13140-MONOMER	USA300HOU_RS13140	hypothetical protein	
USA300HOU_RS00065-MONOMER	USA300HOU_RS00065	DUF2232 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10210-MONOMER	USA300HOU_RS10210	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02255-MONOMER	USA300HOU_RS02255	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS14685-MONOMER	USA300HOU_RS14685	transcriptional regulator	CCI-PM-BAC-POS-GP
USA300HOU_RS13895-MONOMER	USA300HOU_RS13895	N-succinyldiaminopimelate aminotransferase	CCI-CYTOSOL-GP
USA300HOU_RS13150-MONOMER	USA300HOU_RS13150	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11865-MONOMER	USA300HOU_RS11865	6-phospho-beta-galactosidase	CCI-CYTOSOL-GP
USA300HOU_RS10195-MONOMER	USA300HOU_RS10195	aminopeptidase	
USA300HOU_RS03930-MONOMER	USA300HOU_RS03930	peptide MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS10170-MONOMER	USA300HOU_RS10170	monofunctional glycosyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS13925-MONOMER	USA300HOU_RS13925	CHAP domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS03570-MONOMER	USA300HOU_RS03570	sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS13655-MONOMER	USA300HOU_RS13655	carboxylesterase	CCI-CYTOSOL-GP
USA300HOU_RS02360-MONOMER	USA300HOU_RS02360	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09235-MONOMER	USA300HOU_RS09235	hypothetical protein	CCI-CW-BAC-POS-GP
USA300HOU_RS00530-MONOMER	USA300HOU_RS00530	tandem-type lipoprotein	
USA300HOU_RS14295-MONOMER	USA300HOU_RS14295	clumping factor B	CCI-CW-BAC-POS-GP
USA300HOU_RS08425-MONOMER	USA300HOU_RS08425	molecular chaperone DnaK	CCI-CYTOSOL-GP
USA300HOU_RS07340-MONOMER	USA300HOU_RS07340	hyperosmolarity resistance protein Ebh	CCI-PM-BAC-POS-GP
USA300HOU_RS00555-MONOMER	USA300HOU_RS00555	oleate hydratase	
USA300HOU_RS11165-MONOMER	USA300HOU_RS11165	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11500-MONOMER	USA300HOU_RS11500	type II pantothenate kinase	
USA300HOU_RS00125-MONOMER	USA300HOU_RS00125	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase	CCI-CW-BAC-POS-GP
USA300HOU_RS10610-MONOMER	USA300HOU_RS10610	phage tail protein	CCI-CYTOSOL-GP
USA300HOU_RS05270-MONOMER	USA300HOU_RS05270	quinol oxidase subunit 3	CCI-PM-BAC-POS-GP
USA300HOU_RS13985-MONOMER	USA300HOU_RS13985	TetR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS02235-MONOMER	USA300HOU_RS02235	tandem-type lipoprotein Lpl9	
USA300HOU_RS05040-MONOMER	USA300HOU_RS05040	diacylglycerol beta-glucosyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS01975-MONOMER	USA300HOU_RS01975	peptidase	
USA300HOU_RS09700-MONOMER	USA300HOU_RS09700	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08345-MONOMER	USA300HOU_RS08345	transcriptional regulator	
USA300HOU_RS15590-MONOMER	USA300HOU_RS15590	hypothetical protein	
USA300HOU_RS11060-MONOMER	USA300HOU_RS11060	dihydroxy-acid dehydratase	CCI-CYTOSOL-GP
USA300HOU_RS01125-MONOMER	USA300HOU_RS01125	membrane protein	
USA300HOU_RS01545-MONOMER	USA300HOU_RS01545	DUF5079 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04255-MONOMER	USA300HOU_RS04255	hypothetical protein	
USA300HOU_RS00370-MONOMER	USA300HOU_RS00370	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS06795-MONOMER	USA300HOU_RS06795	30S ribosomal protein S14	CCI-CYTOSOL-GP
USA300HOU_RS15005-MONOMER	USA300HOU_RS15005	hypothetical protein	
USA300HOU_RS11425-MONOMER	USA300HOU_RS11425	threonylcarbamoyl-AMP synthase	
USA300HOU_RS13865-MONOMER	USA300HOU_RS13865	L-glutamate gamma-semialdehyde dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS06990-MONOMER	USA300HOU_RS06990	tryptophan synthase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS09075-MONOMER	USA300HOU_RS09075	acetate kinase	CCI-CYTOSOL-GP
USA300HOU_RS05430-MONOMER	USA300HOU_RS05430	ribonuclease J 1	CCI-CYTOSOL-GP
USA300HOU_RS08960-MONOMER	USA300HOU_RS08960	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03285-MONOMER	USA300HOU_RS03285	hypothetical protein	
USA300HOU_RS07670-MONOMER	USA300HOU_RS07670	XkdX family protein	CCI-CYTOSOL-GP
USA300HOU_RS11605-MONOMER	USA300HOU_RS11605	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02155-MONOMER	USA300HOU_RS02155	superantigen-like protein SSL9	CCI-EXTRACELLULAR-GP
USA300HOU_RS04485-MONOMER	USA300HOU_RS04485	phage capsid protein	CCI-CYTOSOL-GP
USA300HOU_RS08635-MONOMER	USA300HOU_RS08635	cysteine desulfurase	CCI-CYTOSOL-GP
USA300HOU_RS06770-MONOMER	USA300HOU_RS06770	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS04225-MONOMER	USA300HOU_RS04225	ribonuclease R	CCI-CYTOSOL-GP
USA300HOU_RS10135-MONOMER	USA300HOU_RS10135	A/G-specific adenine glycosylase	
USA300HOU_RS02405-MONOMER	USA300HOU_RS02405	hypothetical protein	
USA300HOU_RS00535-MONOMER	USA300HOU_RS00535	AraC family transcriptional regulator	
USA300HOU_RS04375-MONOMER	USA300HOU_RS04375	glycine cleavage system protein H	CCI-CYTOSOL-GP
USA300HOU_RS13195-MONOMER	USA300HOU_RS13195	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS13535-MONOMER	USA300HOU_RS13535	transcriptional regulator	
USA300HOU_RS04960-MONOMER	USA300HOU_RS04960	oligoendopeptidase F	CCI-CYTOSOL-GP
USA300HOU_RS02220-MONOMER	USA300HOU_RS02220	tandem-type lipoprotein Lpl6	
USA300HOU_RS13790-MONOMER	USA300HOU_RS13790	hypothetical protein	
USA300HOU_RS12485-MONOMER	USA300HOU_RS12485	N-acetylmuramoyl-L-alanine amidase	
USA300HOU_RS10580-MONOMER	USA300HOU_RS10580	hypothetical protein	
USA300HOU_RS00630-MONOMER	USA300HOU_RS00630	IucA/IucC family siderophore biosynthesis protein	
USA300HOU_RS03720-MONOMER	USA300HOU_RS03720	aldo/keto reductase	
USA300HOU_RS08350-MONOMER	USA300HOU_RS08350	glycine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS14530-MONOMER	USA300HOU_RS14530	imidazoleglycerol-phosphate dehydratase	CCI-CYTOSOL-GP
USA300HOU_RS05255-MONOMER	USA300HOU_RS05255	LytR family transcriptional regulator	CCI-PM-BAC-POS-GP
USA300HOU_RS02860-MONOMER	USA300HOU_RS02860	50S ribosomal protein L7ae-like protein	
USA300HOU_RS09835-MONOMER	USA300HOU_RS09835	foldase	CCI-PM-BAC-POS-GP
USA300HOU_RS09250-MONOMER	USA300HOU_RS09250	DNA translocase FtsK	CCI-PM-BAC-POS-GP
USA300HOU_RS12130-MONOMER	USA300HOU_RS12130	30S ribosomal protein S17	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS01890-MONOMER	USA300HOU_RS01890	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02535-MONOMER	USA300HOU_RS02535	pur operon repressor	CCI-CYTOSOL-GP
USA300HOU_RS08530-MONOMER	USA300HOU_RS08530	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04635-MONOMER	USA300HOU_RS04635	D-alanyl-lipoteichoic acid biosynthesis protein DltD	CCI-CYTOSOL-GP
USA300HOU_RS01030-MONOMER	USA300HOU_RS01030	type-1 restriction enzyme R protein	CCI-CYTOSOL-GP
USA300HOU_RS14865-MONOMER	USA300HOU_RS14865	Mph(C) family macrolide 2'-phosphotransferase	CCI-CYTOSOL-GP
USA300HOU_RS05320-MONOMER	USA300HOU_RS05320	phosphoribosylformylglycinamidine synthase subunit PurQ	CCI-CYTOSOL-GP
USA300HOU_RS03415-MONOMER	USA300HOU_RS03415	sodium:proton antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS05750-MONOMER	USA300HOU_RS05750	succinate dehydrogenase iron-sulfur subunit	CCI-CYTOSOL-GP
USA300HOU_RS00400-MONOMER	USA300HOU_RS00400	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05510-MONOMER	USA300HOU_RS05510	DUF4064 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08395-MONOMER	USA300HOU_RS08395	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09185-MONOMER	USA300HOU_RS09185	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06695-MONOMER	USA300HOU_RS06695	hypothetical protein	
USA300HOU_RS09860-MONOMER	USA300HOU_RS09860	YlbF/YmcA family competence regulator	CCI-CYTOSOL-GP
USA300HOU_RS02555-MONOMER	USA300HOU_RS02555	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06330-MONOMER	USA300HOU_RS06330	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08190-MONOMER	USA300HOU_RS08190	rhodanese-like domain-containing protein	
USA300HOU_RS05820-MONOMER	USA300HOU_RS05820	hypothetical protein	
USA300HOU_RS07660-MONOMER	USA300HOU_RS07660	phage holin	
USA300HOU_RS05075-MONOMER	USA300HOU_RS05075	bifunctional metallophosphatase/5'-nucleotidase	CCI-CYTOSOL-GP
USA300HOU_RS07555-MONOMER	USA300HOU_RS07555	hypothetical protein	
USA300HOU_RS02905-MONOMER	USA300HOU_RS02905	UDP-glucose 4-epimerase	
USA300HOU_RS14705-MONOMER	USA300HOU_RS14705	ribosomal RNA small subunit methyltransferase G	CCI-CYTOSOL-GP
USA300HOU_RS11640-MONOMER	USA300HOU_RS11640	mannitol-specific phosphotransferase enzyme IIA component	CCI-CYTOSOL-GP
USA300HOU_RS15040-MONOMER	USA300HOU_RS15040	hypothetical protein	
USA300HOU_RS14545-MONOMER	USA300HOU_RS14545	ATP phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS00700-MONOMER	USA300HOU_RS00700	Superoxide dismutase [Mn/Fe] 2	CCI-EXTRACELLULAR-GP
USA300HOU_RS05410-MONOMER	USA300HOU_RS05410	cytochrome ubiquinol oxidase subunit I	CCI-PM-BAC-POS-GP
USA300HOU_RS02350-MONOMER	USA300HOU_RS02350	DNA mismatch repair protein MutT	CCI-CYTOSOL-GP
USA300HOU_RS05310-MONOMER	USA300HOU_RS05310	phosphoribosylaminoimidazolesuccinocarboxamide synthase	CCI-CYTOSOL-GP
USA300HOU_RS07355-MONOMER	USA300HOU_RS07355	serine/threonine dehydratase	CCI-PM-BAC-POS-GP
USA300HOU_RS03595-MONOMER	USA300HOU_RS03595	peptidase M23	CCI-CW-BAC-POS-GP
USA300HOU_RS14400-MONOMER	USA300HOU_RS14400	accessory Sec system protein Asp3	
USA300HOU_RS12925-MONOMER	USA300HOU_RS12925	MerR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS10350-MONOMER	USA300HOU_RS10350	geranylgeranylglyceryl/heptaprenylglyceryl phosphate synthase	CCI-CYTOSOL-GP
USA300HOU_RS01810-MONOMER	USA300HOU_RS01810	hypothetical protein	
USA300HOU_RS09550-MONOMER	USA300HOU_RS09550	hypothetical protein	
USA300HOU_RS14340-MONOMER	USA300HOU_RS14340	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS06125-MONOMER	USA300HOU_RS06125	serine/threonine-protein phosphatase	CCI-CYTOSOL-GP
USA300HOU_RS03710-MONOMER	USA300HOU_RS03710	MarR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS02610-MONOMER	USA300HOU_RS02610	tRNA(Ile)-lysidine synthetase	CCI-CYTOSOL-GP
USA300HOU_RS01785-MONOMER	USA300HOU_RS01785	glycerol-3-phosphate transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS09245-MONOMER	USA300HOU_RS09245	UDP-N-acetylmuramate--L-alanine ligase	CCI-CYTOSOL-GP
USA300HOU_RS03630-MONOMER	USA300HOU_RS03630	DUF402 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS13775-MONOMER	USA300HOU_RS13775	holin-like protein CidB	CCI-PM-BAC-POS-GP
USA300HOU_RS13670-MONOMER	USA300HOU_RS13670	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS07090-MONOMER	USA300HOU_RS07090	ABC transporter ATP-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS12075-MONOMER	USA300HOU_RS12075	protein translocase subunit SecY	CCI-PM-BAC-POS-GP
USA300HOU_RS03325-MONOMER	USA300HOU_RS03325	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09440-MONOMER	USA300HOU_RS09440	competence protein ComK	CCI-PM-BAC-POS-GP
USA300HOU_RS08845-MONOMER	USA300HOU_RS08845	hydroxymethylbilane synthase	CCI-CYTOSOL-GP
USA300HOU_RS09085-MONOMER	USA300HOU_RS09085	2-Cys peroxiredoxin	
USA300HOU_RS08800-MONOMER	USA300HOU_RS08800	hypothetical protein	
USA300HOU_RS11615-MONOMER	USA300HOU_RS11615	Cof-type HAD-IIB family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS09150-MONOMER	USA300HOU_RS09150	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS15440-MONOMER	USA300HOU_RS15440	hypothetical protein	
USA300HOU_RS12815-MONOMER	USA300HOU_RS12815	hypothetical protein	
USA300HOU_RS14140-MONOMER	USA300HOU_RS14140	acetyl-CoA synthetase	CCI-CYTOSOL-GP
USA300HOU_RS15025-MONOMER	USA300HOU_RS15025	hypothetical protein	
USA300HOU_RS02625-MONOMER	USA300HOU_RS02625	redox-regulated molecular chaperone Hsp33	CCI-CYTOSOL-GP
USA300HOU_RS14375-MONOMER	USA300HOU_RS14375	cysteine hydrolase	
USA300HOU_RS02020-MONOMER	USA300HOU_RS02020	alkyl hydroperoxide reductase subunit C	CCI-CYTOSOL-GP
USA300HOU_RS00155-MONOMER	USA300HOU_RS00155	hypothetical protein	
USA300HOU_RS12615-MONOMER	USA300HOU_RS12615	urocanate hydratase	CCI-CYTOSOL-GP
USA300HOU_RS04850-MONOMER	USA300HOU_RS04850	Sua5/YciO/YrdC/YwlC family protein	CCI-CYTOSOL-GP
USA300HOU_RS07160-MONOMER	USA300HOU_RS07160	5-bromo-4-chloroindolyl phosphate hydrolysis protein	
USA300HOU_RS06920-MONOMER	USA300HOU_RS06920	AI-2E family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS12195-MONOMER	USA300HOU_RS12195	DNA topoisomerase III	CCI-CYTOSOL-GP
USA300HOU_RS07290-MONOMER	USA300HOU_RS07290	dihydrofolate reductase	CCI-CYTOSOL-GP
USA300HOU_RS02470-MONOMER	USA300HOU_RS02470	DNA polymerase III subunit delta'	CCI-CYTOSOL-GP
USA300HOU_RS14150-MONOMER	USA300HOU_RS14150	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS08735-MONOMER	USA300HOU_RS08735	Holliday junction branch migration protein RuvA	CCI-CYTOSOL-GP
USA300HOU_RS01325-MONOMER	USA300HOU_RS01325	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	
USA300HOU_RS00675-MONOMER	USA300HOU_RS00675	NAD-dependent dehydratase	
USA300HOU_RS11410-MONOMER	USA300HOU_RS11410	serine hydroxymethyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06755-MONOMER	USA300HOU_RS06755	threonine synthase	CCI-CYTOSOL-GP
USA300HOU_RS06960-MONOMER	USA300HOU_RS06960	anthranilate synthase component I	CCI-CYTOSOL-GP
USA300HOU_RS14015-MONOMER	USA300HOU_RS14015	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS07130-MONOMER	USA300HOU_RS07130	diaminopimelate decarboxylase	CCI-CYTOSOL-GP
USA300HOU_RS06405-MONOMER	USA300HOU_RS06405	tRNA pseudouridine(55) synthase TruB	CCI-CYTOSOL-GP
USA300HOU_RS04260-MONOMER	USA300HOU_RS04260	hypothetical protein	
USA300HOU_RS13665-MONOMER	USA300HOU_RS13665	MarR family transcriptional regulator	
USA300HOU_RS06775-MONOMER	USA300HOU_RS06775	hypothetical protein	
USA300HOU_RS07775-MONOMER	USA300HOU_RS07775	HNH endonuclease	CCI-CYTOSOL-GP
USA300HOU_RS05300-MONOMER	USA300HOU_RS05300	5-(carboxyamino)imidazole ribonucleotide mutase	
USA300HOU_RS07870-MONOMER	USA300HOU_RS07870	DNA polymerase	
USA300HOU_RS06370-MONOMER	USA300HOU_RS06370	DNA polymerase III subunit alpha	
USA300HOU_RS09195-MONOMER	USA300HOU_RS09195	formate--tetrahydrofolate ligase	CCI-CYTOSOL-GP
USA300HOU_RS08980-MONOMER	USA300HOU_RS08980	isocitrate dehydrogenase (NADP(+))	CCI-CYTOSOL-GP
USA300HOU_RS13905-MONOMER	USA300HOU_RS13905	dehydrosqualene synthase	CCI-CYTOSOL-GP
USA300HOU_RS01825-MONOMER	USA300HOU_RS01825	deferrochelatase/peroxidase EfeB	CCI-EXTRACELLULAR-GP
USA300HOU_RS08900-MONOMER	USA300HOU_RS08900	50S ribosomal protein L35	CCI-CYTOSOL-GP
USA300HOU_RS07600-MONOMER	USA300HOU_RS07600	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS03020-MONOMER	USA300HOU_RS03020	protein VraC	
USA300HOU_RS03815-MONOMER	USA300HOU_RS03815	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS14045-MONOMER	USA300HOU_RS14045	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12320-MONOMER	USA300HOU_RS12320	molybdenum cofactor biosynthesis protein	CCI-CYTOSOL-GP
USA300HOU_RS10820-MONOMER	USA300HOU_RS10820	DUF2829 domain-containing protein	
USA300HOU_RS10685-MONOMER	USA300HOU_RS10685	HNH endonuclease	CCI-CYTOSOL-GP
USA300HOU_RS04750-MONOMER	USA300HOU_RS04750	NAD-specific glutamate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS03475-MONOMER	USA300HOU_RS03475	DUF1958 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02630-MONOMER	USA300HOU_RS02630	cysteine synthase	CCI-CYTOSOL-GP
USA300HOU_RS01310-MONOMER	USA300HOU_RS01310	alcohol dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS13385-MONOMER	USA300HOU_RS13385	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12910-MONOMER	USA300HOU_RS12910	Hsp20/alpha crystallin family protein	
USA300HOU_RS09855-MONOMER	USA300HOU_RS09855	hypothetical protein	
USA300HOU_RS04575-MONOMER	USA300HOU_RS04575	bifunctional metallophosphatase/5'-nucleotidase	CCI-CW-BAC-POS-GP
USA300HOU_RS14300-MONOMER	USA300HOU_RS14300	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS14270-MONOMER	USA300HOU_RS14270	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11770-MONOMER	USA300HOU_RS11770	membrane protein	
USA300HOU_RS13050-MONOMER	USA300HOU_RS13050	amino acid ABC transporter substrate-binding protein	
USA300HOU_RS08665-MONOMER	USA300HOU_RS08665	tRNA threonylcarbamoyladenosine dehydratase	CCI-CYTOSOL-GP
USA300HOU_RS13250-MONOMER	USA300HOU_RS13250	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS10395-MONOMER	USA300HOU_RS10395	nitric oxide synthase oxygenase	CCI-CYTOSOL-GP
USA300HOU_RS01595-MONOMER	USA300HOU_RS01595	TIGR01741 family protein	CCI-CYTOSOL-GP
