Reaction	Complexes
DBTS	ALW85_RS11980-MONOMER_mod_mg2(1)
DDPA	ALW85_RS04350-MONOMER_mod_fe2(1)
DGK1	ALW85_RS11780-MONOMER_mod_mg2(1)
DHAD1	ALW85_RS00570-MONOMER_mod_4fe4s(1)
DHAD2	ALW85_RS00570-MONOMER_mod_4fe4s(1)
DHDPRy	ALW85_RS03225-MONOMER
DHDPS	ALW85_RS12520-MONOMER
DHFR	ALW85_RS02990-MONOMER
DHFS	ALW85_RS03635-MONOMER
DHNCOAT	ALW85_RS01110-MONOMER
DHNPA2r	ALW85_RS01155-MONOMER
DHNPA_1	ALW85_RS01155-MONOMER
DHORD2	ALW85_RS11605-MONOMER_mod_fmn(1)
DHORD5	CPLX_DHORD5-0 OR CPLX_DHORD5-1
DHORTS	CPLX_DHORTS-0
DHPPDA	ALW85_RS04145-MONOMER
DHPPDA2	ALW85_RS04145-MONOMER
DHPS	ALW85_RS02795-MONOMER_mod_mg2(1)
DHPS2	ALW85_RS02795-MONOMER_mod_mg2(1)
DHQS	ALW85_RS10315-MONOMER_mod_cobalt2(1)_mod_nad(1)
DHQTi	ALW85_RS03410-MONOMER
DMATT	ALW85_RS06025-MONOMER_mod_mg2(1) OR ALW85_RS06025-MONOMER_mod_mn2(1)
DMPPS	ALW85_RS03400-MONOMER_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1)
DMQMT	ALW85_RS13285-MONOMER_mod_zn2(1)
DNMPPA	ALW85_RS06855-MONOMER
DNTPPA	ALW85_RS11770-MONOMER_mod_mg2(1) OR ALW85_RS11575-MONOMER_mod_mg2(1) OR ALW85_RS11575-MONOMER_mod_mn2(1)
DPCOAK	ALW85_RS03145-MONOMER
DPR	ALW85_RS06890-MONOMER_mod_mg2(1)
DSBDR	CPLX_DSBDR-0
DTMPK	ALW85_RS11385-MONOMER_mod_mg2(1)
DUTPDP	ALW85_RS07650-MONOMER_mod_zn2(1)
DXPRIi	ALW85_RS08910-MONOMER_mod_mn2(1) OR ALW85_RS08910-MONOMER_mod_cobalt2(1) OR ALW85_RS08910-MONOMER_mod_mg2(1)
DXPS	ALW85_RS06030-MONOMER_mod_thmpp(1)
DYTK2	ALW85_RS10065-MONOMER_mod_mg2(1)
E4PD	ALW85_RS01725-MONOMER
EAR100x	ALW85_RS11515-MONOMER
EAR100y	ALW85_RS11515-MONOMER
EAR120x	ALW85_RS11515-MONOMER
EAR120y	ALW85_RS11515-MONOMER
EAR121x	ALW85_RS11515-MONOMER
EAR121y	ALW85_RS11515-MONOMER
EAR140x	ALW85_RS11515-MONOMER
EAR140y	ALW85_RS11515-MONOMER
EAR141x	ALW85_RS11515-MONOMER
EAR141y	ALW85_RS11515-MONOMER
EAR160x	ALW85_RS11515-MONOMER
EAR160y	ALW85_RS11515-MONOMER
EAR161x	ALW85_RS11515-MONOMER
EAR161y	ALW85_RS11515-MONOMER
EAR180x	ALW85_RS11515-MONOMER
EAR180y	ALW85_RS11515-MONOMER
EAR181x	ALW85_RS11515-MONOMER
EAR181y	ALW85_RS11515-MONOMER
EAR40x	ALW85_RS11515-MONOMER
EAR40y	ALW85_RS11515-MONOMER
EAR60x	ALW85_RS11515-MONOMER
EAR60y	ALW85_RS11515-MONOMER
EAR80x	ALW85_RS11515-MONOMER
EAR80y	ALW85_RS11515-MONOMER
EGMEACPR	ALW85_RS11515-MONOMER
ENO	ALW85_RS05435-MONOMER_mod_mg2(4)
EPMEACPR	ALW85_RS11515-MONOMER
ETHSO3abcpp	CPLX_BUTSO3abcpp-0
ETHSO3tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
