Modified_enzyme	Core_enzyme	Modifications	Source
CPLX-406_mod_mg2(1)	CPLX-406	mg2(1)	iJL965
CPLX-407_mod_mg2(4)	CPLX-407	mg2(4)	iJL965
CPLX-408_mod_mg2(1)	CPLX-408	mg2(1)	iJL965
CPLX-409_mod_nh4(1)	CPLX-409	nh4(1)	iJL965
#CODH_AC_SYN_mod_4fe4s(2)_mod_ni2(3)	CODH_AC_SYN	4fe4s(2) AND ni2(3)	iJL965
CODH_AC_SYN_mod_4fe4s(1)_mod_ni2(1)	CODH_AC_SYN	4fe4s(1) AND ni2(1)	iJL965
CPLX-433_mod_mg2(1)	CPLX-433	mg2(1)	iJL965
CPLX-439_mod_2fe2s(1)	CPLX-439	2fe2s(1)	iJL965
CPLX-440_mod_2fe2s(1)	CPLX-440	2fe2s(1)	iJL965
CPLX-442_mod_zn2(2)	CPLX-442	zn2(2)	iJL965
Rnf_CPLX_mod_fmn(1)_mod_4fe4s(2)	Rnf_CPLX	fmn(1) AND 4fe4s(2)	iJL965
CPLX-445_mod_mn2(1)	CPLX-445	mn2(1)	iJL965
CPLX-451_mod_mn2(1)	CPLX-451	mn2(1)	iJL965
HemN_mono_mod_2fe2s(1)	HemN_mono	2fe2s(1)	iJL965
CPLX-459_mod_zn2(1)	CPLX-459	zn2(1)	iJL965
Nfn_CPLX_mod_fad(1)_mod_2fe2s(1)	Nfn_CPLX	fad(1) AND 2fe2s(1)	iJL965
CPLX-463_mod_4fe4s(3)	CPLX-463	4fe4s(3)	iJL965
CPLX-464_mod_4fe4s(3)	CPLX-464	4fe4s(3)	iJL965
CPLX-470_mod_zn2(1)	CPLX-470	zn2(1)	iJL965
CPLX-471_mod_zn2(8)	CPLX-471	zn2(8)	iJL965
CPLX-481_mod_fad(1)	CPLX-481	fad(1)	iJL965
CPLX-490_mod_mn2(2)	CPLX-490	mn2(2)	iJL965
CPLX-491_mod_zn2(1)	CPLX-491	zn2(1)	iJL965
CPLX-493_mod_mn2(2)	CPLX-493	mn2(2)	iJL965
CPLX-495_mod_zn2(1)	CPLX-495	zn2(1)	iJL965
CPLX-498_mod_mg2(1)	CPLX-498	mg2(1)	iJL965
CPLX-503_mod_fmnh2(1)	CPLX-503	fmnh2(1)	iJL965
CPLX-506_mod_pydx5p(1)	CPLX-506	pydx5p(1)	iJL965
CPLX-507_mod_pydx5p(1)	CPLX-507	pydx5p(1)	iJL965
CPLX-508_mod_pydx5p(1)	CPLX-508	pydx5p(1)	iJL965
CPLX-511_mod_4fe4s(1)	CPLX-511	4fe4s(1)	iJL965
CPLX-512_mod_4fe4s(1)	CPLX-512	4fe4s(1)	iJL965
