Reaction	Complexes
GPDDA2	LLMG_RS11405-MONOMER OR LLMG_RS00415-MONOMER_mod_mg2(1)
GPDDA3	LLMG_RS11405-MONOMER OR LLMG_RS00415-MONOMER_mod_mg2(1)
GPDDA4	LLMG_RS11405-MONOMER OR LLMG_RS00415-MONOMER_mod_mg2(1)
GPDDA5	LLMG_RS11405-MONOMER OR LLMG_RS00415-MONOMER_mod_mg2(1)
GRTT	LLMG_RS08500-MONOMER_mod_mg2(1) OR LLMG_RS08500-MONOMER_mod_mn2(1)
GTHOr	LLMG_RS08560-MONOMER
GTHPi	LLMG_RS05525-MONOMER
GTPCI	LLMG_RS06775-MONOMER_mod_zn2(1)
GTPCII	LLMG_RS07700-MONOMER_mod_mg2(1)
GTPDPK	LLMG_RS01960-MONOMER OR LLMG_RS00605-MONOMER_mod_mn2(1)
GUAPRT	LLMG_RS05050-MONOMER OR LLMG_RS00090-MONOMER
GUAt2r	LLMG_RS09575-MONOMER
GUI1	LLMG_RS04410-MONOMER_mod_zn2(1)
GUI2	LLMG_RS04410-MONOMER_mod_zn2(1)
HARAAT	LLMG_RS02545-MONOMER
HBUHL1	LLMG_RS02815-MONOMER OR LLMG_RS08935-MONOMER
HBUR1	LLMG_RS08950-MONOMER
HCYSMT	LLMG_RS08455-MONOMER
HDDHL5	LLMG_RS02815-MONOMER OR LLMG_RS08935-MONOMER
HDDR5	LLMG_RS08950-MONOMER
HDEHL4	LLMG_RS02815-MONOMER OR LLMG_RS08935-MONOMER
HDER4	LLMG_RS08950-MONOMER
HDMAT7	LLMG_RS02820-MONOMER
HEMAT2	LLMG_RS02820-MONOMER
HETZK	LLMG_RS06145-MONOMER
HEX1	LLMG_RS11535-MONOMER
HEX7	LLMG_RS05120-MONOMER
HHDHL7	LLMG_RS08935-MONOMER OR LLMG_RS02815-MONOMER
HHDR7	LLMG_RS08950-MONOMER
HHYHL2	LLMG_RS02815-MONOMER OR LLMG_RS08935-MONOMER
HHYR2	LLMG_RS08950-MONOMER
HIBD	LLMG_RS12530-MONOMER
HISTD	LLMG_RS06565-MONOMER_mod_mn2(1)
HISTP	LLMG_RS06530-MONOMER
HISTRS_1	LLMG_RS11125-MONOMER_mod_mg2(4) OR LLMG_RS06580-MONOMER
HMGCOAR	LLMG_RS04750-MONOMER
HMGCOAS	LLMG_RS04740-MONOMER
HMPK1	LLMG_RS02355-MONOMER OR LLMG_RS06150-MONOMER
HOCHL3	LLMG_RS02815-MONOMER OR LLMG_RS08935-MONOMER
HOCR3	LLMG_RS08950-MONOMER
HODHL8	LLMG_RS08935-MONOMER OR LLMG_RS02815-MONOMER
HODR8	LLMG_RS08950-MONOMER
HPPK	LLMG_RS06775-MONOMER_mod_zn2(1)
HSDy	LLMG_RS06750-MONOMER
HSERTA	LLMG_RS10960-MONOMER
HSK	LLMG_RS06745-MONOMER_mod_k(1)_mod_mg2(1)
HSST	LLMG_RS10960-MONOMER
HSTPTr	LLMG_RS06585-MONOMER_mod_pydx5p(1)
HTDHL6	LLMG_RS02815-MONOMER OR LLMG_RS08935-MONOMER
HTDR6	LLMG_RS08950-MONOMER
HXANt2r	LLMG_RS09575-MONOMER
HXPRT	LLMG_RS05050-MONOMER OR LLMG_RS00090-MONOMER
ICDHyr	LLMG_RS03325-MONOMER_mod_mn2(1) OR LLMG_RS03325-MONOMER_mod_mg2(1)
ICHORS	LLMG_RS09155-MONOMER_mod_mg2(1)
IG3PS_1	CPLX_IG3PS_1-0
IGPDH_1	LLMG_RS06560-MONOMER_mod_mg2(1) OR LLMG_RS06560-MONOMER_mod_mn2(1)
IGPS	LLMG_RS05265-MONOMER
ILETA	LLMG_RS05980-MONOMER_mod_pydx5p(6) OR LLMG_RS05980-MONOMER_mod_pydx5p(1)
ILETRS_1	LLMG_RS10255-MONOMER_mod_zn2(2)
ILEt2r_copy2	LLMG_RS03390-MONOMER
IMPC	LLMG_RS05055-MONOMER
IMPD	LLMG_RS01210-MONOMER
IPDDI	LLMG_RS02185-MONOMER
IPPMIa	CPLX_IPPMIa-0
IPPMIb	CPLX_IPPMIa-0
ITCY	LLMG_RS03940-MONOMER_mod_mg2(1)
KARA1	LLMG_RS06475-MONOMER_mod_mg2(1)
KARA2	LLMG_RS06475-MONOMER_mod_mg2(1)
LACZ	LLMG_RS07350-MONOMER
LDH_L	LLMG_RS02010-MONOMER OR LLMG_RS07210-MONOMER OR LLMG_RS05690-MONOMER
LEUTA	LLMG_RS05980-MONOMER_mod_pydx5p(6) OR LLMG_RS05980-MONOMER_mod_pydx5p(1)
LEUTRS_1	LLMG_RS08750-MONOMER
LEUt2r_copy2	LLMG_RS03390-MONOMER
LYSTRS_1	LLMG_RS01995-MONOMER
LYSt2r	LLMG_RS12445-MONOMER OR LLMG_RS01980-MONOMER
M1PD	LLMG_RS00155-MONOMER
MACPMT	LLMG_RS08955-MONOMER
MALLAC	LLMG_RS08250-MONOMER_mod_mn2(1) OR LLMG_RS08250-MONOMER_mod_mg2(1)
MALT	LLMG_RS03845-MONOMER
MALTATr	LLMG_RS03835-MONOMER OR LLMG_RS08595-MONOMER
MALTabc	CPLX_MALTabc-0
MALt2r	LLMG_RS08245-MONOMER
MAN6PI	LLMG_RS08975-MONOMER
MANAO	LLMG_RS04390-MONOMER
MANpts	CPLX_GLCpts-0 OR CPLX_GLCpts-1 OR CPLX_GLCpts-2
MCMAT2	LLMG_RS08945-MONOMER
MCMAT3	LLMG_RS08945-MONOMER
MCMAT4	LLMG_RS08945-MONOMER
MCMAT5	LLMG_RS08945-MONOMER
MCMAT6	LLMG_RS08945-MONOMER
MCMAT7	LLMG_RS08945-MONOMER
MCMAT8	LLMG_RS08945-MONOMER
