Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2
B488_RS04540	B488_RS04540	1018891	1019562	B488_RS04540-MONOMER	B488_09470
B488_RS04690	B488_RS04690	1054263	1055465	B488_RS04690-MONOMER	B488_09740
B488_RS03850	B488_RS03850	879640	880023	B488_RS03850-MONOMER	B488_08070
B488_RS02930	B488_RS02930	662488	664644	B488_RS02930-MONOMER	B488_06010
B488_RS06665	B488_RS06665	1483469	1483948	B488_RS06665-MONOMER	B488_13620
B488_RS04660	B488_RS04660	1049874	1049947	B488_RS04660-tRNA	B488_14060
B488_RS03180	B488_RS03180	723146	724354	B488_RS03180-MONOMER	B488_06540
B488_RS01830	B488_RS01830	421876	423180	B488_RS01830-MONOMER	B488_03690
B488_RS04300	B488_RS04300	971514	971990	B488_RS04300-MONOMER	B488_08960
B488_RS03340	B488_RS03340	768702	769442	B488_RS03340-MONOMER	B488_06910
B488_RS01450	B488_RS01450	331768	332373	B488_RS01450-MONOMER	B488_02850
B488_RS06115	B488_RS06115	1370790	1372253	B488_RS06115-MONOMER	B488_12570
B488_RS02815	B488_RS02815	634117	634779	B488_RS02815-MONOMER	B488_05780
B488_RS01085	B488_RS01085	253934	254125	B488_RS01085-MONOMER	B488_02190
B488_RS06855	B488_RS06855	833863	834540	B488_RS06855-MONOMER	B488_07470
B488_RS04250	B488_RS04250	965762	966067	B488_RS04250-MONOMER	B488_08870
B488_RS06345	B488_RS06345	1415702	1416001	B488_RS06345-MONOMER	B488_13040
B488_RS01685	B488_RS01685	391647	392159	B488_RS01685-MONOMER	B488_03400
B488_RS00810	B488_RS00810	196111	196809	B488_RS00810-MONOMER	B488_01630
B488_RS00555	B488_RS00555	130405	132111	B488_RS00555-MONOMER	B488_01120
B488_RS05585	B488_RS05585	1243389	1244257	B488_RS05585-MONOMER	B488_11470
B488_RS04080	B488_RS04080	932777	933544	B488_RS04080-MONOMER	B488_08510
B488_RS04975	B488_RS04975	1121298	1122632	B488_RS04975-MONOMER	B488_10250
B488_RS00210	B488_RS00210	55456	56175	B488_RS00210-MONOMER	B488_00420
B488_RS00950	B488_RS00950	230884	231645	B488_RS00950-MONOMER	B488_01910
B488_RS02055	B488_RS02055	480946	481254	B488_RS02055-MONOMER	B488_04210
B488_RS07045	B488_RS07045	1177996	1179519	B488_RS07045-MONOMER	B488_10810
B488_RS02495	B488_RS02495	558287	560107	B488_RS02495-MONOMER	B488_05170
B488_RS02325	B488_RS02325	533265	533525	B488_RS02325-MONOMER	B488_04810
B488_RS01090	B488_RS01090	254497	255915	B488_RS01090-MONOMER	B488_02200
B488_RS04695	B488_RS04695	1055462	1055953	B488_RS04695-MONOMER	B488_09750
B488_RS06250	B488_RS06250	1398504	1399283	B488_RS06250-MONOMER	B488_12830
B488_RS00670	B488_RS00670	165418	166386	B488_RS00670-MONOMER	B488_01340
B488_RS03185	B488_RS03185	724367	725113	B488_RS03185-MONOMER	B488_06550
B488_RS05635	B488_RS05635	1257882	1257966	B488_RS05635-tRNA	B488_14200
B488_RS05870	B488_RS05870	1317903	1318217	B488_RS05870-MONOMER	B488_12050
B488_RS05975	B488_RS05975	1340218	1340604	B488_RS05975-MONOMER	B488_12270
B488_RS03475	B488_RS03475	801717	802742	B488_RS03475-MONOMER	B488_07190
B488_RS01095	B488_RS01095	255976	256527	B488_RS01095-MONOMER	B488_RS01095
B488_RS05445	B488_RS05445	1219598	1220257	B488_RS05445-MONOMER	B488_11190
B488_RS01540	B488_RS01540	354865	355791	B488_RS01540-MONOMER	B488_03090
B488_RS00565	B488_RS00565	132391	133680	B488_RS00565-MONOMER	B488_01130
B488_RS04980	B488_RS04980	1123083	1123823	B488_RS04980-MONOMER	B488_10260
B488_RS05725	B488_RS05725	1282732	1284179	B488_RS05725-MONOMER	B488_11770
B488_RS04150	B488_RS04150	946766	947074	B488_RS04150-MONOMER	B488_08680
B488_RS02060	B488_RS02060	481247	481804	B488_RS02060-MONOMER	B488_04220
B488_RS05265	B488_RS05265	1179516	1180439	B488_RS05265-MONOMER	B488_10820
B488_RS02330	B488_RS02330	533665	533949	B488_RS02330-MONOMER	B488_RS02330
B488_RS06960	B488_RS06960	70491	70584	B488_RS06960-RNA	
B488_RS01100	B488_RS01100	257001	257933	B488_RS01100-MONOMER	B488_02230
B488_RS06200	B488_RS06200	1387810	1389224	B488_RS06200-MONOMER	B488_12730
B488_RS06985	B488_RS06985	586092	586853	B488_RS06985-MONOMER	B488_05420
B488_RS04700	B488_RS04700	1056024	1056314	B488_RS04700-MONOMER	B488_09760
B488_RS03855	B488_RS03855	880048	880425	B488_RS03855-MONOMER	B488_08080
B488_RS02935	B488_RS02935	665199	666581	B488_RS02935-MONOMER	B488_06020
B488_RS06670	B488_RS06670	1484006	1487152	B488_RS06670-MONOMER	B488_13630
B488_RS06405	B488_RS06405	1429409	1430230	B488_RS06405-MONOMER	
B488_RS03190	B488_RS03190	725106	725420	B488_RS03190-MONOMER	B488_06560
B488_RS01835	B488_RS01835	423316	424617	B488_RS01835-MONOMER	B488_03700
B488_RS03345	B488_RS03345	769520	769924	B488_RS03345-MONOMER	B488_06920
B488_RS05000	B488_RS05000	1127471	1127746	B488_RS05000-MONOMER	B488_10300
B488_RS01455	B488_RS01455	332563	333186	B488_RS01455-MONOMER	B488_02860
B488_RS02820	B488_RS02820	634589	635674	B488_RS02820-MONOMER	B488_05790
B488_RS01105	B488_RS01105	258203	259297	B488_RS01105-MONOMER	B488_02240
B488_RS03615	B488_RS03615	834613	835392	B488_RS03615-MONOMER	B488_07480
B488_RS04815	B488_RS04815	1083759	1085054	B488_RS04815-MONOMER	B488_09930
B488_RS01690	B488_RS01690	392209	393732	B488_RS01690-MONOMER	B488_03410
B488_RS00815	B488_RS00815	196832	197092	B488_RS00815-MONOMER	B488_01640
B488_RS05590	B488_RS05590	1244441	1245742	B488_RS05590-MONOMER	B488_11480
B488_RS00955	B488_RS00955	231709	232869	B488_RS00955-MONOMER	B488_01920
B488_RS07035	B488_RS07035	906550	907344	B488_RS07035-MONOMER	
B488_RS04985	B488_RS04985	1123820	1124701	B488_RS04985-MONOMER	B488_10270
B488_RS00215	B488_RS00215	56221	56782	B488_RS00215-MONOMER	B488_00430
B488_RS02065	B488_RS02065	481842	482147	B488_RS02065-MONOMER	B488_04230
B488_RS05270	B488_RS05270	1180432	1180896	B488_RS05270-MONOMER	B488_10830
B488_RS02500	B488_RS02500	560107	561723	B488_RS02500-MONOMER	B488_05180
B488_RS03745	B488_RS03745	856854	857177	B488_RS03745-MONOMER	B488_07790
B488_RS02335	B488_RS02335	534096	534716	B488_RS02335-MONOMER	B488_04820
B488_RS00325	B488_RS00325	79190	79266	B488_RS00325-tRNA	B488_13790
B488_RS04395	B488_RS04395	990010	990495	B488_RS04395-MONOMER	B488_09180
B488_RS04705	B488_RS04705	1056521	1058023	B488_RS04705-MONOMER	B488_09770
B488_RS06730	B488_RS06730	1500520	1501116	B488_RS06730-MONOMER	B488_13750
B488_RS03195	B488_RS03195	725466	727670	B488_RS03195-MONOMER	B488_06570
B488_RS04600	B488_RS04600	1032741	1033694	B488_RS04600-MONOMER	B488_09590
B488_RS06480	B488_RS06480	1444109	1445041	B488_RS06480-MONOMER	B488_13310
B488_RS03480	B488_RS03480	802765	803199	B488_RS03480-MONOMER	B488_07200
B488_RS04205	B488_RS04205	958072	958275	B488_RS04205-MONOMER	B488_08790
B488_RS01110	B488_RS01110	259287	260406	B488_RS01110-MONOMER	B488_02250
B488_RS05450	B488_RS05450	1220250	1221218	B488_RS05450-MONOMER	B488_11200
B488_RS01545	B488_RS01545	356538	357362	B488_RS01545-MONOMER	B488_03100
B488_RS04710	B488_RS04710	1058145	1059626	B488_RS04710-MONOMER	B488_09780
B488_RS04045	B488_RS04045	929501	929875	B488_RS04045-MONOMER	B488_08450
B488_RS05800	B488_RS05800	1301788	1303293	B488_RS05800-MONOMER	B488_11930
B488_RS05730	B488_RS05730	1284207	1285094	B488_RS05730-MONOMER	B488_11780
B488_RS04990	B488_RS04990	1124720	1126066	B488_RS04990-MONOMER	B488_10280
B488_RS00220	B488_RS00220	56823	57566	B488_RS00220-MONOMER	B488_00440
B488_RS02070	B488_RS02070	482160	482552	B488_RS02070-MONOMER	B488_04240
B488_RS05275	B488_RS05275	1180935	1181405	B488_RS05275-MONOMER	B488_10840
B488_RS02340	B488_RS02340	535090	535980	B488_RS02340-MONOMER	B488_04830
B488_RS00440	B488_RS00440	105462	105537	B488_RS00440-tRNA	B488_13800
B488_RS01115	B488_RS01115	260566	261033	B488_RS01115-MONOMER	B488_02260
B488_RS04450	B488_RS04450	1002175	1002708	B488_RS04450-MONOMER	B488_09290
B488_RS03860	B488_RS03860	880624	881082	B488_RS03860-MONOMER	B488_08090
B488_RS02940	B488_RS02940	667066	668115	B488_RS02940-MONOMER	B488_06040
B488_RS06675	B488_RS06675	1487142	1490681	B488_RS06675-MONOMER	B488_13640
B488_RS04665	B488_RS04665	1050346	1050420	B488_RS04665-tRNA	B488_14070
B488_RS03200	B488_RS03200	727908	728576	B488_RS03200-MONOMER	B488_06580
B488_RS01840	B488_RS01840	424638	426323	B488_RS01840-MONOMER	B488_03720
B488_RS04305	B488_RS04305	972282	972614	B488_RS04305-MONOMER	B488_08970
B488_RS03350	B488_RS03350	770143	772329	B488_RS03350-MONOMER	B488_06930
B488_RS02825	B488_RS02825	635722	636753	B488_RS02825-MONOMER	B488_05800
B488_RS06120	B488_RS06120	1372829	1373326	B488_RS06120-MONOMER	B488_12580
B488_RS03620	B488_RS03620	835413	837266	B488_RS03620-MONOMER	B488_07490
B488_RS01120	B488_RS01120	261164	262540	B488_RS01120-MONOMER	
