Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS05875-MONOMER	peptide synthetase	ABAYE_RS05875	CCI-CYTOSOL-GN
ABAYE_RS07780-MONOMER	hypothetical protein	ABAYE_RS07780	
ABAYE_RS16250-MONOMER	type IV pilus biogenesis/stability protein PilW	ABAYE_RS16250	CCI-OUTER-MEM-GN
ABAYE_RS04335-MONOMER	serine--tRNA ligase	ABAYE_RS04335	CCI-CYTOSOL-GN
ABAYE_RS07415-MONOMER	hypothetical protein	ABAYE_RS07415	CCI-PM-BAC-NEG-GN
ABAYE_RS10100-MONOMER	hypothetical protein	ABAYE_RS10100	
ABAYE_RS05420-MONOMER	rRNA large subunit pseudouridine synthase E	ABAYE_RS05420	CCI-CYTOSOL-GN
ABAYE_RS13650-MONOMER	hypothetical protein	ABAYE_RS13650	
ABAYE_RS10820-MONOMER	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-69	ABAYE_RS10820	
CPLX1SOZ-9	DNA-directed RNA polymerase	ABAYE_RS17330 // ABAYE_RS17335	
ABAYE_RS04900-MONOMER	TolC family protein	ABAYE_RS04900	CCI-OUTER-MEM-GN
ABAYE_RS05610-MONOMER	aromatic amino acid transporter AroP	ABAYE_RS05610	CCI-PM-BAC-NEG-GN
ABAYE_RS04800-MONOMER	EF-P lysine aminoacylase GenX	ABAYE_RS04800	CCI-CYTOSOL-GN
ABAYE_RS16125-MONOMER	bifunctional diguanylate cyclase/phosphodiesterase	ABAYE_RS16125	CCI-PM-BAC-NEG-GN
ABAYE_RS12855-MONOMER	ATP-dependent RNA helicase HrpA	ABAYE_RS12855	CCI-CYTOSOL-GN
ABAYE_RS04955-MONOMER	phosphoribosylglycinamide formyltransferase	ABAYE_RS04955	
ABAYE_RS04120-MONOMER	fatty acid desaturase	ABAYE_RS04120	CCO-MEMBRANE
ABAYE_RS17695-MONOMER	signal peptidase II	ABAYE_RS17695	CCI-PM-BAC-NEG-GN
ABAYE_RS06970-MONOMER	alpha/beta hydrolase	ABAYE_RS06970	CCI-CYTOSOL-GN
ABAYE_RS15580-MONOMER	hypothetical protein	ABAYE_RS15580	CCI-EXTRACELLULAR-GN
ABAYE_RS05335-MONOMER	DUF1615 domain-containing protein	ABAYE_RS05335	
ABAYE_RS14420-MONOMER	hypothetical protein	ABAYE_RS14420	
ABAYE_RS02590-MONOMER	50S ribosomal protein L16	ABAYE_RS02590	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS19505-MONOMER	IS3 family transposase	ABAYE_RS19505	
ABAYE_RS04935-MONOMER	DNA internalization-related competence protein ComEC/Rec2	ABAYE_RS04935	CCI-PM-BAC-NEG-GN
ABAYE_RS17895-MONOMER	mercury transporter	ABAYE_RS17895	CCI-PM-BAC-NEG-GN
ABAYE_RS18385-MONOMER	hypothetical protein	ABAYE_RS18385	CCI-PM-BAC-NEG-GN
ABAYE_RS03280-MONOMER	hypothetical protein	ABAYE_RS03280	CCO-MEMBRANE
ABAYE_RS17175-MONOMER	YqgE/AlgH family protein	ABAYE_RS17175	CCI-CYTOSOL-GN
ABAYE_RS04970-MONOMER	DnaA regulatory inactivator Hda	ABAYE_RS04970	CCI-CYTOSOL-GN
ABAYE_RS04550-MONOMER	ribosome assembly RNA-binding protein YhbY	ABAYE_RS04550	CCI-CYTOSOL-GN
ABAYE_RS09975-MONOMER	diaminohydroxyphosphoribosylaminopyrimidine deaminase	ABAYE_RS09975	CCI-CYTOSOL-GN
ABAYE_RS01540-MONOMER	AzlD domain-containing protein	ABAYE_RS01540	CCI-PM-BAC-NEG-GN
ABAYE_RS07435-MONOMER	peptide chain release factor N(5)-glutamine methyltransferase	ABAYE_RS07435	CCI-CYTOSOL-GN
ABAYE_RS15605-MONOMER	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	ABAYE_RS15605	CCI-CYTOSOL-GN
ABAYE_RS00485-MONOMER	hypothetical protein	ABAYE_RS00485	CCI-CYTOSOL-GN
ABAYE_RS02060-MONOMER	hypothetical protein	ABAYE_RS02060	CCI-PM-BAC-NEG-GN
ABAYE_RS17625-MONOMER	hypothetical protein	ABAYE_RS17625	CCI-CYTOSOL-GN
ABAYE_RS02285-MONOMER	arginine N-succinyltransferase	ABAYE_RS02285	CCI-CYTOSOL-GN
ABAYE_RS19985-MONOMER	DUF3330 domain-containing protein	ABAYE_RS19985	
ABAYE_RS03035-MONOMER	phosphohydrolase	ABAYE_RS03035	CCI-PM-BAC-NEG-GN
ABAYE_RS08955-MONOMER	aldehyde dehydrogenase (NADP(+))	ABAYE_RS08955	CCI-CYTOSOL-GN
ABAYE_RS06500-MONOMER	thiazole synthase	ABAYE_RS06500	CCI-CYTOSOL-GN
ABAYE_RS10040-MONOMER	YcgL domain-containing protein	ABAYE_RS10040	CCI-CYTOSOL-GN
ABAYE_RS13360-MONOMER	YraN family protein	ABAYE_RS13360	
ABAYE_RS18940-MONOMER	tyrosine protein kinase	ABAYE_RS18940	CCI-PM-BAC-NEG-GN
ABAYE_RS15985-MONOMER	copper resistance protein C	ABAYE_RS15985	CCI-PERI-BAC-GN
ABAYE_RS08930-MONOMER	hypothetical protein	ABAYE_RS08930	
ABAYE_RS13120-MONOMER	outer membrane porin, OprD family	ABAYE_RS13120	CCI-OUTER-MEM-GN
ABAYE_RS02260-MONOMER	class I SAM-dependent methyltransferase	ABAYE_RS02260	CCI-CYTOSOL-GN
ABAYE_RS17045-MONOMER	DNA helicase	ABAYE_RS17045	
ABAYE_RS04525-MONOMER	transcription elongation factor GreA	ABAYE_RS04525	CCI-CYTOSOL-GN
ABAYE_RS05495-MONOMER	type I-F CRISPR-associated protein Csy1	ABAYE_RS05495	
ABAYE_RS16145-MONOMER	DUF4124 domain-containing protein	ABAYE_RS16145	
ABAYE_RS12635-MONOMER	hypothetical protein	ABAYE_RS12635	
ABAYE_RS01415-MONOMER	acetate--CoA ligase	ABAYE_RS01415	CCI-CYTOSOL-GN
ABAYE_RS09830-MONOMER	LysR family transcriptional regulator	ABAYE_RS09830	CCI-CYTOSOL-GN
ABAYE_RS04455-MONOMER	succinate--CoA ligase subunit alpha	ABAYE_RS04455	CCI-CYTOSOL-GN
ABAYE_RS11430-MONOMER	amino acid ABC transporter permease	ABAYE_RS11430	CCI-PM-BAC-NEG-GN
ABAYE_RS18870-MONOMER	UTP--glucose-1-phosphate uridylyltransferase	ABAYE_RS18870	CCI-CYTOSOL-GN
ABAYE_RS10120-MONOMER	HIT family protein	ABAYE_RS10120	CCI-CYTOSOL-GN
ABAYE_RS00855-MONOMER	bifunctional pyrazinamidase/nicotinamidase	ABAYE_RS00855	CCI-CYTOSOL-GN
ABAYE_RS07440-MONOMER	ABC transporter permease	ABAYE_RS07440	CCI-PM-BAC-NEG-GN
ABAYE_RS04410-MONOMER	type II citrate synthase	ABAYE_RS04410	CCI-CYTOSOL-GN
ABAYE_RS17300-MONOMER	membrane protein	ABAYE_RS17300	CCI-OUTER-MEM-GN
ABAYE_RS08220-MONOMER	30S ribosomal protein S12 methylthiotransferase RimO	ABAYE_RS08220	CCI-CYTOSOL-GN
ABAYE_RS01745-MONOMER	DUF1294 domain-containing protein	ABAYE_RS01745	CCI-PM-BAC-NEG-GN
ABAYE_RS03110-MONOMER	thioredoxin TrxC	ABAYE_RS03110	CCI-CYTOSOL-GN
