Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS13715-MONOMER	hypothetical protein	ABAYE_RS13715	
ABAYE_RS11585-MONOMER	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha	ABAYE_RS11585	CCI-CYTOSOL-GN
ABAYE_RS01060-MONOMER	phosphatidylserine decarboxylase proenzyme	ABAYE_RS01060	CCI-PM-BAC-NEG-GN
ABAYE_RS16185-MONOMER	membrane protein	ABAYE_RS16185	CCI-PM-BAC-NEG-GN
ABAYE_RS11365-MONOMER	glutathione S-transferase	ABAYE_RS11365	CCI-PM-BAC-NEG-GN
ABAYE_RS11470-MONOMER	DNA polymerase V	ABAYE_RS11470	CCI-CYTOSOL-GN
ABAYE_RS17705-MONOMER	Cd(II)/Pb(II)-responsive transcriptional regulator	ABAYE_RS17705	CCI-CYTOSOL-GN
ABAYE_RS06140-MONOMER	PAS domain S-box protein	ABAYE_RS06140	CCI-PM-BAC-NEG-GN
ABAYE_RS15300-MONOMER	hypothetical protein	ABAYE_RS15300	CCI-EXTRACELLULAR-GN
ABAYE_RS15275-MONOMER	DNA-binding response regulator	ABAYE_RS15275	CCI-CYTOSOL-GN
ABAYE_RS04020-MONOMER	peptide transporter	ABAYE_RS04020	CCI-PM-BAC-NEG-GN
ABAYE_RS15315-MONOMER	hypothetical protein	ABAYE_RS15315	CCI-CYTOSOL-GN
ABAYE_RS03080-MONOMER	dihydrolipoyl dehydrogenase	ABAYE_RS03080	CCI-CYTOSOL-GN
ABAYE_RS00010-MONOMER	hypothetical protein	ABAYE_RS00010	
ABAYE_RS17740-MONOMER	sulfonamide-resistant dihydropteroate synthase Sul1	ABAYE_RS17740	CCI-CYTOSOL-GN
ABAYE_RS10535-MONOMER	cytidylate kinase	ABAYE_RS10535	CCI-CYTOSOL-GN
ABAYE_RS15675-MONOMER	MarR family transcriptional regulator	ABAYE_RS15675	CCI-CYTOSOL-GN
ABAYE_RS05220-MONOMER	GTPase Era	ABAYE_RS05220	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
ABAYE_RS08015-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS08015	
ABAYE_RS15615-MONOMER	ribosomal subunit interface protein	ABAYE_RS15615	CCI-CYTOSOL-GN
ABAYE_RS17350-MONOMER	50S ribosomal protein L1	ABAYE_RS17350	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS11195-MONOMER	LysR family transcriptional regulator	ABAYE_RS11195	CCI-CYTOSOL-GN
ABAYE_RS14185-MONOMER	glyoxalase	ABAYE_RS14185	CCI-CYTOSOL-GN
ABAYE_RS10740-MONOMER	NAD-dependent deacylase	ABAYE_RS10740	CCI-CYTOSOL-GN
ABAYE_RS14890-MONOMER	3,4-dihydroxy-2-butanone-4-phosphate synthase	ABAYE_RS14890	CCI-CYTOSOL-GN
ABAYE_RS11315-MONOMER	malonate decarboxylase acyl carrier protein	ABAYE_RS11315	CCI-CYTOSOL-GN
ABAYE_RS16295-MONOMER	alpha/beta hydrolase	ABAYE_RS16295	CCI-CYTOSOL-GN
ABAYE_RS03190-MONOMER	tRNA guanosine(34) transglycosylase Tgt	ABAYE_RS03190	CCI-CYTOSOL-GN
ABAYE_RS18025-MONOMER	ATP-dependent DNA helicase RecG	ABAYE_RS18025	
ABAYE_RS10295-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS10295	CCI-CYTOSOL-GN
ABAYE_RS09725-MONOMER	molybdate ABC transporter substrate-binding protein	ABAYE_RS09725	CCI-PERI-BAC-GN
ABAYE_RS06430-MONOMER	penicillin-binding protein 1B	ABAYE_RS06430	CCI-CW-BAC-NEG-GN // CCO-MEMBRANE
ABAYE_RS07030-MONOMER	protein CsuA	ABAYE_RS07030	
ABAYE_RS12485-MONOMER	HlyD family type I secretion periplasmic adaptor subunit	ABAYE_RS12485	CCI-PM-BAC-NEG-GN
ABAYE_RS14870-MONOMER	peptidyl-tRNA hydrolase	ABAYE_RS14870	CCI-CYTOSOL-GN
ABAYE_RS08905-MONOMER	3-oxoadipate CoA-transferase subunit A	ABAYE_RS08905	CCI-CYTOSOL-GN
ABAYE_RS16500-MONOMER	peptide-methionine (S)-S-oxide reductase	ABAYE_RS16500	
ABAYE_RS13945-MONOMER	lysine--tRNA ligase	ABAYE_RS13945	CCI-CYTOSOL-GN
ABAYE_RS03880-MONOMER	response regulator	ABAYE_RS03880	CCI-CYTOSOL-GN
ABAYE_RS14140-MONOMER	hypothetical protein	ABAYE_RS14140	CCI-OUTER-MEM-GN
ABAYE_RS18280-MONOMER	TIGR00730 family Rossman fold protein	ABAYE_RS18280	CCI-CYTOSOL-GN
ABAYE_RS01805-MONOMER	GNAT family acetyltransferase	ABAYE_RS01805	
ABAYE_RS06040-MONOMER	TonB-dependent receptor	ABAYE_RS06040	CCI-OUTER-MEM-GN
ABAYE_RS03115-MONOMER	acyl-CoA thioesterase	ABAYE_RS03115	
ABAYE_RS02865-MONOMER	hypothetical protein	ABAYE_RS02865	CCI-CYTOSOL-GN
ABAYE_RS16540-MONOMER	50S ribosomal protein L33	ABAYE_RS16540	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS03545-MONOMER	DNA-binding response regulator	ABAYE_RS03545	CCI-CYTOSOL-GN
ABAYE_RS20045-MONOMER	transcriptional regulator	ABAYE_RS20045	
ABAYE_RS12850-MONOMER	beta-ketoacyl-ACP synthase III	ABAYE_RS12850	CCI-CYTOSOL-GN
ABAYE_RS14410-MONOMER	single-stranded DNA-binding protein	ABAYE_RS14410	
ABAYE_RS01115-MONOMER	glutamate--cysteine ligase	ABAYE_RS01115	CCI-CYTOSOL-GN
ABAYE_RS04145-MONOMER	protein deglycase HchA	ABAYE_RS04145	CCI-PERI-BAC-GN
ABAYE_RS04500-MONOMER	metallophosphatase	ABAYE_RS04500	CCI-PM-BAC-NEG-GN
ABAYE_RS01475-MONOMER	carbapenem susceptibility porin CarO	ABAYE_RS01475	CCI-OUTER-MEM-GN
ABAYE_RS06760-MONOMER	hypothetical protein	ABAYE_RS06760	
ABAYE_RS06535-MONOMER	hypothetical protein	ABAYE_RS06535	
ABAYE_RS13385-MONOMER	cation transporter	ABAYE_RS13385	CCI-PM-BAC-NEG-GN
ABAYE_RS12210-MONOMER	transcriptional regulator	ABAYE_RS12210	
ABAYE_RS14625-MONOMER	threonine export protein RhtC	ABAYE_RS14625	CCI-PM-BAC-NEG-GN
ABAYE_RS13835-MONOMER	hypothetical protein	ABAYE_RS13835	
ABAYE_RS17160-MONOMER	hypothetical protein	ABAYE_RS17160	CCI-CYTOSOL-GN
ABAYE_RS09845-MONOMER	hypothetical protein	ABAYE_RS09845	
ABAYE_RS12865-MONOMER	KTSC domain-containing protein	ABAYE_RS12865	
ABAYE_RS17475-MONOMER	Fe(2+)-trafficking protein	ABAYE_RS17475	
ABAYE_RS13985-MONOMER	polyphosphate kinase	ABAYE_RS13985	CCI-PM-BAC-NEG-GN
ABAYE_RS00250-MONOMER	LysR family transcriptional regulator	ABAYE_RS00250	
ABAYE_RS12880-MONOMER	alkyl hydroperoxide reductase subunit F	ABAYE_RS12880	CCI-PM-BAC-NEG-GN
ABAYE_RS17070-MONOMER	Na+/H+ antiporter subunit E	ABAYE_RS17070	CCI-PM-BAC-NEG-GN
ABAYE_RS00900-MONOMER	aromatic amino acid transporter AroP	ABAYE_RS00900	CCI-PM-BAC-NEG-GN
ABAYE_RS11125-MONOMER	RNA methyltransferase	ABAYE_RS11125	CCI-CYTOSOL-GN
ABAYE_RS17620-MONOMER	DNA polymerase III subunit chi	ABAYE_RS17620	CCI-CYTOSOL-GN
ABAYE_RS15425-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS15425	CCI-CYTOSOL-GN
ABAYE_RS11515-MONOMER	hypothetical protein	ABAYE_RS11515	
ABAYE_RS14250-MONOMER	hypothetical protein	ABAYE_RS14250	CCI-CYTOSOL-GN
ABAYE_RS12900-MONOMER	tRNA (guanosine(46)-N7)-methyltransferase TrmB	ABAYE_RS12900	CCI-CYTOSOL-GN
ABAYE_RS17120-MONOMER	preprotein translocase subunit SecG	ABAYE_RS17120	CCI-PM-BAC-NEG-GN
ABAYE_RS16800-MONOMER	short chain dehydrogenase	ABAYE_RS16800	CCI-CYTOSOL-GN
ABAYE_RS09370-MONOMER	alpha/beta hydrolase	ABAYE_RS09370	
ABAYE_RS12065-MONOMER	N-acetyltransferase	ABAYE_RS12065	CCI-CYTOSOL-GN
ABAYE_RS18230-MONOMER	outer membrane porin, OprD family	ABAYE_RS18230	CCI-OUTER-MEM-GN
ABAYE_RS02915-MONOMER	GFA family protein	ABAYE_RS02915	
ABAYE_RS01990-MONOMER	membrane protein	ABAYE_RS01990	CCI-PM-BAC-NEG-GN
ABAYE_RS01430-MONOMER	dimethyl sulfone monooxygenase SfnG	ABAYE_RS01430	CCI-CYTOSOL-GN
ABAYE_RS02140-MONOMER	ribosome maturation factor RimM	ABAYE_RS02140	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS09005-MONOMER	hydrolase	ABAYE_RS09005	
ABAYE_RS15090-MONOMER	DUF2062 domain-containing protein	ABAYE_RS15090	CCI-PM-BAC-NEG-GN
ABAYE_RS12365-MONOMER	type VI secretion system tip protein VgrG	ABAYE_RS12365	
ABAYE_RS14175-MONOMER	MFS transporter	ABAYE_RS14175	CCI-PM-BAC-NEG-GN
ABAYE_RS15845-MONOMER	polynucleotide adenylyltransferase PcnB	ABAYE_RS15845	CCI-CYTOSOL-GN
ABAYE_RS02965-MONOMER	hypothetical protein	ABAYE_RS02965	CCO-MEMBRANE
CPLX1SOZ-1	acetolactate synthase	ABAYE_RS16135 // ABAYE_RS16140	
ABAYE_RS09185-MONOMER	EamA-like transporter family protein	ABAYE_RS09185	CCI-PM-BAC-NEG-GN
ABAYE_RS20080-MONOMER	hypothetical protein	ABAYE_RS20080	
ABAYE_RS15410-MONOMER	tricarballylate utilization protein TcuB	ABAYE_RS15410	CCI-PM-BAC-NEG-GN
ABAYE_RS13030-MONOMER	cytochrome b	ABAYE_RS13030	CCI-PM-BAC-NEG-GN
ABAYE_RS08315-MONOMER	hypothetical protein	ABAYE_RS08315	
ABAYE_RS16360-MONOMER	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP	ABAYE_RS16360	CCI-CYTOSOL-GN
ABAYE_RS10265-MONOMER	lysine/ornithine N-monooxygenase	ABAYE_RS10265	CCI-CYTOSOL-GN
ABAYE_RS19090-MONOMER	bifunctional riboflavin kinase/FAD synthetase	ABAYE_RS19090	CCI-CYTOSOL-GN
ABAYE_RS13600-MONOMER	hypothetical protein	ABAYE_RS13600	
ABAYE_RS03610-MONOMER	tryptophan synthase subunit alpha	ABAYE_RS03610	CCI-CYTOSOL-GN
ABAYE_RS06005-MONOMER	GTP cyclohydrolase I FolE	ABAYE_RS06005	CCI-CYTOSOL-GN
ABAYE_RS14750-MONOMER	alpha/beta hydrolase	ABAYE_RS14750	CCI-CYTOSOL-GN
ABAYE_RS16765-MONOMER	RluA family pseudouridine synthase	ABAYE_RS16765	CCI-CYTOSOL-GN
ABAYE_RS05900-MONOMER	ferric anguibactin-binding protein	ABAYE_RS05900	
ABAYE_RS12335-MONOMER	hypothetical protein	ABAYE_RS12335	
ABAYE_RS18345-MONOMER	GNAT family N-acetyltransferase	ABAYE_RS18345	
ABAYE_RS11955-MONOMER	phenylacetate-CoA oxygenase/reductase subunit PaaK	ABAYE_RS11955	CCI-CYTOSOL-GN
ABAYE_RS10865-MONOMER	ferrous iron transporter B	ABAYE_RS10865	CCI-EXTRACELLULAR-GN
ABAYE_RS12500-MONOMER	LPS export ABC transporter ATP-binding protein	ABAYE_RS12500	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS16070-MONOMER	hypothetical protein	ABAYE_RS16070	
ABAYE_RS18825-MONOMER	GntR family transcriptional regulator	ABAYE_RS18825	CCI-CYTOSOL-GN
ABAYE_RS02705-MONOMER	membrane protein	ABAYE_RS02705	CCI-PM-BAC-NEG-GN
ABAYE_RS17420-MONOMER	general secretion pathway protein	ABAYE_RS17420	CCO-MEMBRANE
ABAYE_RS12835-MONOMER	benzoate transporter	ABAYE_RS12835	CCI-PM-BAC-NEG-GN
ABAYE_RS18585-MONOMER	DedA family protein	ABAYE_RS18585	CCI-PM-BAC-NEG-GN
ABAYE_RS19195-MONOMER	hypothetical protein	ABAYE_RS19195	CCI-CYTOSOL-GN
ABAYE_RS11165-MONOMER	arsenical-resistance protein	ABAYE_RS11165	CCI-PM-BAC-NEG-GN
ABAYE_RS04355-MONOMER	flavodoxin family protein	ABAYE_RS04355	
ABAYE_RS11965-MONOMER	phenylacetate-CoA oxygenase subunit PaaI	ABAYE_RS11965	CCI-CYTOSOL-GN
ABAYE_RS05465-MONOMER	DUF3144 domain-containing protein	ABAYE_RS05465	
ABAYE_RS14340-MONOMER	LysR family transcriptional regulator	ABAYE_RS14340	CCI-CYTOSOL-GN
ABAYE_RS05165-MONOMER	aminodeoxychorismate lyase	ABAYE_RS05165	CCI-CYTOSOL-GN
ABAYE_RS16315-MONOMER	permease	ABAYE_RS16315	CCI-PM-BAC-NEG-GN
ABAYE_RS05105-MONOMER	ATPase	ABAYE_RS05105	CCI-CYTOSOL-GN
ABAYE_RS15070-MONOMER	hypothetical protein	ABAYE_RS15070	CCI-EXTRACELLULAR-GN
ABAYE_RS05555-MONOMER	acyl-CoA desaturase	ABAYE_RS05555	CCI-CYTOSOL-GN
ABAYE_RS09895-MONOMER	fumarate reductase/succinate dehydrogenase flavoprotein subunit	ABAYE_RS09895	CCI-PM-BAC-NEG-GN
ABAYE_RS07605-MONOMER	N-acetyltransferase	ABAYE_RS07605	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS02195-MONOMER	FAD-binding oxidoreductase	ABAYE_RS02195	CCI-CYTOSOL-GN
ABAYE_RS11500-MONOMER	iron-containing redox enzyme family protein	ABAYE_RS11500	CCI-CYTOSOL-GN
ABAYE_RS12455-MONOMER	ferredoxin family protein	ABAYE_RS12455	CCI-CYTOSOL-GN
ABAYE_RS17880-MONOMER	TetR family transcriptional regulator	ABAYE_RS17880	
ABAYE_RS10700-MONOMER	transcriptional regulator	ABAYE_RS10700	
ABAYE_RS01145-MONOMER	DUF1311 domain-containing protein	ABAYE_RS01145	CCI-CYTOSOL-GN
ABAYE_RS02070-MONOMER	regulatory or redox protein complexing with Bfr in iron storage and mobility (BFD)	ABAYE_RS02070	CCI-CYTOSOL-GN
ABAYE_RS15695-MONOMER	mechanosensitive ion channel family protein	ABAYE_RS15695	CCI-PM-BAC-NEG-GN
ABAYE_RS07900-MONOMER	membrane protein	ABAYE_RS07900	CCI-PM-BAC-NEG-GN
ABAYE_RS03305-MONOMER	transcriptional regulator	ABAYE_RS03305	
CPLX1SOZ-41	predicted ABC transporter of an amino acid	ABAYE_RS10970 // ABAYE_RS10975 // ABAYE_RS10980 // ABAYE_RS10985	
ABAYE_RS18415-MONOMER	threonylcarbamoyl-AMP synthase	ABAYE_RS18415	CCI-CYTOSOL-GN
ABAYE_RS10580-MONOMER	type II secretion system protein	ABAYE_RS10580	CCO-MEMBRANE
ABAYE_RS05140-MONOMER	sulfate ABC transporter ATP-binding protein	ABAYE_RS05140	CCI-PM-BAC-NEG-GN
ABAYE_RS07155-MONOMER	DUF1295 domain-containing protein	ABAYE_RS07155	CCI-PM-BAC-NEG-GN
ABAYE_RS09540-MONOMER	alpha/beta hydrolase	ABAYE_RS09540	CCO-MEMBRANE
ABAYE_RS13575-MONOMER	hypothetical protein	ABAYE_RS13575	
ABAYE_RS05275-MONOMER	hypothetical protein	ABAYE_RS05275	
ABAYE_RS08295-MONOMER	RNA-binding protein	ABAYE_RS08295	CCI-CYTOSOL-GN
ABAYE_RS09885-MONOMER	nitrate ABC transporter substrate-binding protein	ABAYE_RS09885	
ABAYE_RS08265-MONOMER	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	ABAYE_RS08265	CCI-CYTOSOL-GN
ABAYE_RS15755-MONOMER	phenylalanine--tRNA ligase subunit beta	ABAYE_RS15755	CCI-CYTOSOL-GN
ABAYE_RS02035-MONOMER	metal-dependent hydrolase	ABAYE_RS02035	CCI-CYTOSOL-GN
ABAYE_RS11975-MONOMER	1,2-phenylacetyl-CoA epoxidase subunit A	ABAYE_RS11975	CCI-CYTOSOL-GN
ABAYE_RS03740-MONOMER	prepilin-type N-terminal cleavage/methylation domain-containing protein	ABAYE_RS03740	CCO-MEMBRANE
ABAYE_RS02990-MONOMER	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	ABAYE_RS02990	
ABAYE_RS15165-MONOMER	hypothetical protein	ABAYE_RS15165	CCI-CYTOSOL-GN
ABAYE_RS14400-MONOMER	nucleoid-associated protein	ABAYE_RS14400	CCI-CYTOSOL-GN // CCI-BAC-NUCLEOID-GN
ABAYE_RS17315-MONOMER	DUF4442 domain-containing protein	ABAYE_RS17315	CCI-CYTOSOL-GN
ABAYE_RS10995-MONOMER	SfnB family sulfur acquisition oxidoreductase	ABAYE_RS10995	CCI-CYTOSOL-GN
ABAYE_RS03010-MONOMER	LrgB family protein	ABAYE_RS03010	CCI-PM-BAC-NEG-GN
ABAYE_RS04095-MONOMER	phosphoadenylyl-sulfate reductase	ABAYE_RS04095	CCI-CYTOSOL-GN
ABAYE_RS07510-MONOMER	sensor histidine kinase KdpD	ABAYE_RS07510	CCI-PM-BAC-NEG-GN
ABAYE_RS02780-MONOMER	hypothetical protein	ABAYE_RS02780	CCI-PM-BAC-NEG-GN
ABAYE_RS09160-MONOMER	C4-dicarboxylate ABC transporter	ABAYE_RS09160	CCI-PM-BAC-NEG-GN
ABAYE_RS12990-MONOMER	adenylosuccinate synthase	ABAYE_RS12990	CCI-CYTOSOL-GN
ABAYE_RS13870-MONOMER	urease subunit alpha	ABAYE_RS13870	CCI-CYTOSOL-GN
ABAYE_RS11710-MONOMER	phosphonoacetaldehyde hydrolase	ABAYE_RS11710	CCI-CYTOSOL-GN
ABAYE_RS17965-MONOMER	quaternary ammonium compound efflux SMR transporter QacE delta 1	ABAYE_RS17965	CCI-PM-BAC-NEG-GN
ABAYE_RS06935-MONOMER	class I SAM-dependent methyltransferase	ABAYE_RS06935	
ABAYE_RS14990-MONOMER	trehalose-6-phosphate synthase	ABAYE_RS14990	CCI-CYTOSOL-GN
ABAYE_RS16845-MONOMER	fluoride efflux transporter CrcB	ABAYE_RS16845	CCI-PM-BAC-NEG-GN
ABAYE_RS13450-MONOMER	hypothetical protein	ABAYE_RS13450	CCI-CYTOSOL-GN
CPLX1SOZ-18	exo	ABAYE_RS16990 // ABAYE_RS16995 // ABAYE_RS17000	
ABAYE_RS01515-MONOMER	GlpM family protein	ABAYE_RS01515	CCI-PM-BAC-NEG-GN
ABAYE_RS10385-MONOMER	peroxidase	ABAYE_RS10385	CCI-CYTOSOL-GN
ABAYE_RS14470-MONOMER	EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit	ABAYE_RS14470	CCI-PM-BAC-NEG-GN
ABAYE_RS08630-MONOMER	NADPH-dependent 2,4-dienoyl-CoA reductase	ABAYE_RS08630	CCI-CYTOSOL-GN
ABAYE_RS15500-MONOMER	hypothetical protein	ABAYE_RS15500	
ABAYE_RS17820-MONOMER	Tn3 family transposase	ABAYE_RS17820	
ABAYE_RS05985-MONOMER	DUF4105 domain-containing protein	ABAYE_RS05985	
ABAYE_RS03830-MONOMER	folate-binding protein YgfZ	ABAYE_RS03830	CCI-CYTOSOL-GN
ABAYE_RS11105-MONOMER	pyridoxal phosphate-dependent aminotransferase	ABAYE_RS11105	CCI-CYTOSOL-GN
ABAYE_RS10270-MONOMER	siderophore biosynthesis protein	ABAYE_RS10270	CCI-CYTOSOL-GN
ABAYE_RS15535-MONOMER	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	ABAYE_RS15535	
ABAYE_RS04805-MONOMER	Tim44 domain-containing protein	ABAYE_RS04805	CCI-PM-BAC-NEG-GN
ABAYE_RS19175-MONOMER	nucleotide exchange factor GrpE	ABAYE_RS19175	CCI-CYTOSOL-GN
ABAYE_RS05640-MONOMER	hypothetical protein	ABAYE_RS05640	CCI-EXTRACELLULAR-GN
ABAYE_RS04050-MONOMER	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	ABAYE_RS04050	CCI-CYTOSOL-GN
ABAYE_RS07740-MONOMER	molecular chaperone	ABAYE_RS07740	CCI-OUTER-MEM-GN // CCI-PERI-BAC-GN
ABAYE_RS12815-MONOMER	benzoate 1,2-dioxygenase large subunit	ABAYE_RS12815	CCI-CYTOSOL-GN
ABAYE_RS09090-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS09090	CCI-CYTOSOL-GN
ABAYE_RS11495-MONOMER	catalase HPII	ABAYE_RS11495	
ABAYE_RS07820-MONOMER	hypothetical protein	ABAYE_RS07820	
ABAYE_RS06230-MONOMER	branched-chain amino acid ABC transporter permease	ABAYE_RS06230	CCI-PM-BAC-NEG-GN
ABAYE_RS16175-MONOMER	adeC/adeK/oprM family multidrug efflux complex outer membrane factor	ABAYE_RS16175	CCI-OUTER-MEM-GN
ABAYE_RS01030-MONOMER	phosphoserine phosphatase SerB	ABAYE_RS01030	CCI-CYTOSOL-GN
ABAYE_RS05175-MONOMER	thymidylate kinase	ABAYE_RS05175	CCI-CYTOSOL-GN
ABAYE_RS03105-MONOMER	alpha/beta hydrolase	ABAYE_RS03105	
ABAYE_RS07965-MONOMER	phospholipase C, phosphocholine-specific	ABAYE_RS07965	CCI-EXTRACELLULAR-GN
ABAYE_RS04415-MONOMER	succinate dehydrogenase, cytochrome b556 subunit	ABAYE_RS04415	CCI-PM-BAC-NEG-GN
ABAYE_RS04440-MONOMER	dihydrolipoyllysine-residue succinyltransferase	ABAYE_RS04440	CCI-CYTOSOL-GN
ABAYE_RS13045-MONOMER	hypothetical protein	ABAYE_RS13045	
ABAYE_RS17570-MONOMER	threonine synthase	ABAYE_RS17570	CCI-CYTOSOL-GN
ABAYE_RS14500-MONOMER	VOC family protein	ABAYE_RS14500	
ABAYE_RS11650-MONOMER	enoyl-CoA hydratase	ABAYE_RS11650	CCI-CYTOSOL-GN
ABAYE_RS00840-MONOMER	phosphoribosylaminoimidazolesuccinocarboxamide synthase	ABAYE_RS00840	CCI-CYTOSOL-GN
ABAYE_RS10515-MONOMER	orotidine-5'-phosphate decarboxylase	ABAYE_RS10515	CCI-CYTOSOL-GN
ABAYE_RS03655-MONOMER	MFS transporter	ABAYE_RS03655	CCI-PM-BAC-NEG-GN
ABAYE_RS11385-MONOMER	rhodanese-like domain-containing protein	ABAYE_RS11385	
ABAYE_RS16275-MONOMER	glycosyltransferase family 1 protein	ABAYE_RS16275	CCI-CYTOSOL-GN
ABAYE_RS00735-MONOMER	hypothetical protein	ABAYE_RS00735	
ABAYE_RS06780-MONOMER	lipase	ABAYE_RS06780	
ABAYE_RS02620-MONOMER	30S ribosomal protein S14	ABAYE_RS02620	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS06850-MONOMER	30S ribosomal protein S21	ABAYE_RS06850	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS01195-MONOMER	hydroxyisourate hydrolase	ABAYE_RS01195	
ABAYE_RS15720-MONOMER	tRNA lysidine(34) synthetase TilS	ABAYE_RS15720	CCI-CYTOSOL-GN
CPLX1SOZ-23	cytochrome o ubiquinol oxidase	ABAYE_RS07340 // ABAYE_RS07345 // ABAYE_RS07350 // ABAYE_RS07355	
ABAYE_RS12600-MONOMER	hypothetical protein	ABAYE_RS12600	CCI-CYTOSOL-GN
ABAYE_RS16060-MONOMER	integrase	ABAYE_RS16060	CCI-CYTOSOL-GN
ABAYE_RS12320-MONOMER	hypothetical protein	ABAYE_RS12320	CCI-CYTOSOL-GN
ABAYE_RS15135-MONOMER	HlyD family secretion protein	ABAYE_RS15135	CCI-PM-BAC-NEG-GN
ABAYE_RS02945-MONOMER	acetyl-CoA carboxylase carboxyltransferase subunit	ABAYE_RS02945	CCI-CYTOSOL-GN
ABAYE_RS08085-MONOMER	molybdenum cofactor guanylyltransferase	ABAYE_RS08085	CCI-CYTOSOL-GN
ABAYE_RS10320-MONOMER	poly(hydroxyalcanoate) granule associated protein	ABAYE_RS10320	CCI-CYTOSOL-GN
ABAYE_RS12080-MONOMER	nucleoside deaminase	ABAYE_RS12080	CCI-CYTOSOL-GN
ABAYE_RS07585-MONOMER	LysR family transcriptional regulator	ABAYE_RS07585	CCI-CYTOSOL-GN
ABAYE_RS06875-MONOMER	protein kinase	ABAYE_RS06875	
ABAYE_RS16960-MONOMER	DNA-binding protein	ABAYE_RS16960	CCI-CYTOSOL-GN
ABAYE_RS13560-MONOMER	hypothetical protein	ABAYE_RS13560	CCO-MEMBRANE
ABAYE_RS07805-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS07805	CCI-CYTOSOL-GN
ABAYE_RS13280-MONOMER	RHS repeat-associated core domain-containing protein	ABAYE_RS13280	CCI-PM-BAC-NEG-GN
ABAYE_RS06695-MONOMER	hypothetical protein	ABAYE_RS06695	
ABAYE_RS03670-MONOMER	GNAT family N-acetyltransferase	ABAYE_RS03670	CCI-CYTOSOL-GN
ABAYE_RS16380-MONOMER	2-isopropylmalate synthase	ABAYE_RS16380	CCI-CYTOSOL-GN
ABAYE_RS01635-MONOMER	aldo/keto reductase	ABAYE_RS01635	CCI-CYTOSOL-GN
ABAYE_RS04445-MONOMER	dihydrolipoyl dehydrogenase	ABAYE_RS04445	CCI-CYTOSOL-GN
ABAYE_RS06295-MONOMER	hypothetical protein	ABAYE_RS06295	
ABAYE_RS08405-MONOMER	alpha/beta hydrolase	ABAYE_RS08405	CCI-PM-BAC-NEG-GN
ABAYE_RS13905-MONOMER	LysR family transcriptional regulator	ABAYE_RS13905	CCI-CYTOSOL-GN
ABAYE_RS03205-MONOMER	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	ABAYE_RS03205	CCI-CYTOSOL-GN
ABAYE_RS11000-MONOMER	SfnB family sulfur acquisition oxidoreductase	ABAYE_RS11000	CCI-CYTOSOL-GN
ABAYE_RS12980-MONOMER	M48 family peptidase	ABAYE_RS12980	
ABAYE_RS20040-MONOMER	class 1 integron integrase IntI1	ABAYE_RS20040	CCI-CYTOSOL-GN
ABAYE_RS02145-MONOMER	tRNA (guanosine(37)-N1)-methyltransferase TrmD	ABAYE_RS02145	CCI-CYTOSOL-GN
ABAYE_RS12170-MONOMER	type VI secretion system contractile sheath large subunit	ABAYE_RS12170	CCI-CYTOSOL-GN
ABAYE_RS15485-MONOMER	cation transporter	ABAYE_RS15485	CCI-PM-BAC-NEG-GN
ABAYE_RS10595-MONOMER	type 4 fimbrial biogenesis protein	ABAYE_RS10595	
ABAYE_RS00920-MONOMER	histidine utilization repressor	ABAYE_RS00920	CCI-CYTOSOL-GN
ABAYE_RS12450-MONOMER	GNAT family N-acetyltransferase	ABAYE_RS12450	CCI-CYTOSOL-GN
ABAYE_RS09260-MONOMER	methylenetetrahydrofolate reductase	ABAYE_RS09260	CCI-CYTOSOL-GN
ABAYE_RS14995-MONOMER	MFS transporter	ABAYE_RS14995	CCI-PM-BAC-NEG-GN
ABAYE_RS01070-MONOMER	phosphate regulon sensor histidine kinase PhoR	ABAYE_RS01070	CCI-PM-BAC-NEG-GN
ABAYE_RS07930-MONOMER	acetyl-CoA C-acyltransferase	ABAYE_RS07930	CCI-CYTOSOL-GN
