Category	CLJU
RNA Metabolism	CLJU_c41120
RNA Metabolism	CLJU_c11120
RNA Metabolism	CLJU_c02680
RNA Metabolism	CLJU_c26390
RNA Metabolism	CLJU_c02220
RNA Metabolism	CLJU_c41170
RNA Metabolism	CLJU_c41720
RNA Metabolism	CLJU_c13140
RNA Metabolism	CLJU_c13130
RNA Metabolism	CLJU_c13110
RNA Metabolism	CLJU_c13120
RNA Metabolism	CLJU_c34000
RNA Metabolism	CLJU_c12100
Nucleosides and Nucleotides	CLJU_c01390
Nucleosides and Nucleotides	CLJU_c19230
Nucleosides and Nucleotides	CLJU_c27330
Nucleosides and Nucleotides	CLJU_c18160
Nucleosides and Nucleotides	CLJU_c21330
Nucleosides and Nucleotides	CLJU_c20750
Nucleosides and Nucleotides	CLJU_c23320
Nucleosides and Nucleotides	CLJU_c18120
Nucleosides and Nucleotides	CLJU_c02840
Nucleosides and Nucleotides	CLJU_c02320
Nucleosides and Nucleotides	CLJU_c02200
Nucleosides and Nucleotides	CLJU_c10730
Nucleosides and Nucleotides	CLJU_c35910
Nucleosides and Nucleotides	CLJU_c35900
Nucleosides and Nucleotides	CLJU_c35870
Nucleosides and Nucleotides	CLJU_c23790
Nucleosides and Nucleotides	CLJU_c35710
Nucleosides and Nucleotides	CLJU_c35700
Nucleosides and Nucleotides	CLJU_c15290
Nucleosides and Nucleotides	CLJU_c35690
Nucleosides and Nucleotides	CLJU_c04400
Nucleosides and Nucleotides	CLJU_c35680
Nucleosides and Nucleotides	CLJU_c35720
Nucleosides and Nucleotides	CLJU_c04410
Nucleosides and Nucleotides	CLJU_c30030
Nucleosides and Nucleotides	CLJU_c10740
Nucleosides and Nucleotides	CLJU_c08600
Nucleosides and Nucleotides	CLJU_c08590
Nucleosides and Nucleotides	CLJU_c08560
Nucleosides and Nucleotides	CLJU_c41770
Nucleosides and Nucleotides	CLJU_c08540
Nucleosides and Nucleotides	CLJU_c08580
Nucleosides and Nucleotides	CLJU_c08550
Nucleosides and Nucleotides	CLJU_c41800
Nucleosides and Nucleotides	CLJU_c13370
Nucleosides and Nucleotides	CLJU_c08570
Nucleosides and Nucleotides	CLJU_c11540
Nucleosides and Nucleotides	CLJU_c06770
Nucleosides and Nucleotides	CLJU_c23590
Nucleosides and Nucleotides	CLJU_c23610
Nucleosides and Nucleotides	CLJU_c15130
Nucleosides and Nucleotides	CLJU_c23990
Nucleosides and Nucleotides	CLJU_c23600
Nucleosides and Nucleotides	CLJU_c15120
Nucleosides and Nucleotides	CLJU_c23850
Nucleosides and Nucleotides	CLJU_c15320
Nucleosides and Nucleotides	CLJU_c08480
Nucleosides and Nucleotides	CLJU_c23960
Nucleosides and Nucleotides	CLJU_c37170
Nucleosides and Nucleotides	CLJU_c40830
Nucleosides and Nucleotides	CLJU_c42350
Nucleosides and Nucleotides	CLJU_c02930
Nucleosides and Nucleotides	CLJU_c33920
Nucleosides and Nucleotides	CLJU_c23940
Nucleosides and Nucleotides	CLJU_c33720
Nucleosides and Nucleotides	CLJU_c28280
Nucleosides and Nucleotides	CLJU_c12520
Nucleosides and Nucleotides	CLJU_c01850
Nucleosides and Nucleotides	CLJU_c01840
Nucleosides and Nucleotides	CLJU_c06840
Nucleosides and Nucleotides	CLJU_c12350
Nucleosides and Nucleotides	CLJU_c27900
Nucleosides and Nucleotides	CLJU_c10700
Nucleosides and Nucleotides	CLJU_c41680
Nucleosides and Nucleotides	CLJU_c24610
Nucleosides and Nucleotides	CLJU_c17640
Nucleosides and Nucleotides	CLJU_c10140
Nucleosides and Nucleotides	CLJU_c13420
Nucleosides and Nucleotides	CLJU_c11240
Nucleosides and Nucleotides	CLJU_c00910
Nucleosides and Nucleotides	CLJU_c14320
Nucleosides and Nucleotides	CLJU_c34740
Nucleosides and Nucleotides	CLJU_c42050
Nucleosides and Nucleotides	CLJU_c36850
Protein Metabolism	CLJU_c07970
Protein Metabolism	CLJU_c07960
Protein Metabolism	CLJU_c07980
Protein Metabolism	CLJU_c02780
Protein Metabolism	CLJU_c37200
Protein Metabolism	CLJU_c37190
Protein Metabolism	CLJU_c19770
Protein Metabolism	CLJU_c06170
Protein Metabolism	CLJU_c02270
Protein Metabolism	CLJU_c01180
Protein Metabolism	CLJU_c07470
Protein Metabolism	CLJU_c07480
Protein Metabolism	CLJU_c07460
Protein Metabolism	CLJU_c34690
Protein Metabolism	CLJU_c01730
Protein Metabolism	CLJU_c01890
Protein Metabolism	CLJU_c21700
Protein Metabolism	CLJU_c40820
Protein Metabolism	CLJU_c12570
Protein Metabolism	CLJU_c20760
Protein Metabolism	CLJU_c13150
Protein Metabolism	CLJU_c13160
Protein Metabolism	CLJU_c42770
Protein Metabolism	CLJU_c40790
Protein Metabolism	CLJU_c21320
Protein Metabolism	CLJU_c42790
Protein Metabolism	CLJU_c13200
Protein Metabolism	CLJU_c40910
Protein Metabolism	CLJU_c40870
Protein Metabolism	CLJU_c40950
Protein Metabolism	CLJU_c07900
Protein Metabolism	CLJU_c41090
Protein Metabolism	CLJU_c40700
Protein Metabolism	CLJU_c40900
Protein Metabolism	CLJU_c40780
Protein Metabolism	CLJU_c41000
Protein Metabolism	CLJU_c41050
Protein Metabolism	CLJU_c12890
Protein Metabolism	CLJU_c40980
Protein Metabolism	CLJU_c41080
Protein Metabolism	CLJU_c13020
Protein Metabolism	CLJU_c08040
Protein Metabolism	CLJU_c40800
Protein Metabolism	CLJU_c41460
Protein Metabolism	CLJU_c12150
Protein Metabolism	CLJU_c02620
Protein Metabolism	CLJU_c38290
Protein Metabolism	CLJU_c12910
Protein Metabolism	CLJU_c10720
Protein Metabolism	CLJU_c17350
Protein Metabolism	CLJU_c01770
Protein Metabolism	CLJU_c12920
Protein Metabolism	CLJU_c38200
Protein Metabolism	CLJU_c01760
Protein Metabolism	CLJU_c17400
Protein Metabolism	CLJU_c08000
Protein Metabolism	CLJU_c00990
Protein Metabolism	CLJU_c40880
Protein Metabolism	CLJU_c15890
Protein Metabolism	CLJU_c40920
Protein Metabolism	CLJU_c41020
Protein Metabolism	CLJU_c40940
Protein Metabolism	CLJU_c02230
Protein Metabolism	CLJU_c41010
Protein Metabolism	CLJU_c40890
Protein Metabolism	CLJU_c07360
Protein Metabolism	CLJU_c40930
Protein Metabolism	CLJU_c40960
Protein Metabolism	CLJU_c40860
Protein Metabolism	CLJU_c41150
Protein Metabolism	CLJU_c41190
Protein Metabolism	CLJU_c40970
Protein Metabolism	CLJU_c41040
Protein Metabolism	CLJU_c40850
Protein Metabolism	CLJU_c41100
Protein Metabolism	CLJU_c40710
Protein Metabolism	CLJU_c40990
Protein Metabolism	CLJU_c42970
Protein Metabolism	CLJU_c41140
Protein Metabolism	CLJU_c42730
Protein Metabolism	CLJU_c41130
Protein Metabolism	CLJU_c12670
Protein Metabolism	CLJU_c12930
Protein Metabolism	CLJU_c34450
Protein Metabolism	CLJU_c40810
Protein Metabolism	CLJU_c34440
Protein Metabolism	CLJU_c12800
Protein Metabolism	CLJU_c40760
Protein Metabolism	CLJU_c07380
Protein Metabolism	CLJU_c41030
Protein Metabolism	CLJU_c02640
Protein Metabolism	CLJU_c20850
Protein Metabolism	CLJU_c02250
Protein Metabolism	CLJU_c13050
Protein Metabolism	CLJU_c41730
Protein Metabolism	CLJU_c12560
Protein Metabolism	CLJU_c38280
Protein Metabolism	CLJU_c39080
Protein Metabolism	CLJU_c17840
Protein Metabolism	CLJU_c02260
Protein Metabolism	CLJU_c35780
Protein Metabolism	CLJU_c12880
Protein Metabolism	CLJU_c12470
Protein Metabolism	CLJU_c33910
Protein Metabolism	CLJU_c41070
Protein Metabolism	CLJU_c12860
Protein Metabolism	CLJU_c08100
Protein Metabolism	CLJU_c12950
Protein Metabolism	CLJU_c12220
Protein Metabolism	CLJU_c42920
Protein Metabolism	CLJU_c07940
Protein Metabolism	CLJU_c41060
Protein Metabolism	CLJU_c10520
Protein Metabolism	CLJU_c12630
Protein Metabolism	CLJU_c35610
Protein Metabolism	CLJU_c07390
Protein Metabolism	CLJU_c33670
Protein Metabolism	CLJU_c36930
Protein Metabolism	CLJU_c36910
Protein Metabolism	CLJU_c33660
Protein Metabolism	CLJU_c06740
Protein Metabolism	CLJU_c36920
Protein Metabolism	CLJU_c13030
Protein Metabolism	CLJU_c11010
Protein Metabolism	CLJU_c41380
Protein Metabolism	CLJU_c01170
Protein Metabolism	CLJU_c00200
Protein Metabolism	CLJU_c00770
Protein Metabolism	CLJU_c00840
Protein Metabolism	CLJU_c41830
Protein Metabolism	CLJU_c01330
Protein Metabolism	CLJU_c41480
Protein Metabolism	CLJU_c34470
Protein Metabolism	CLJU_c38360
Protein Metabolism	CLJU_c42630
Protein Metabolism	CLJU_c21150
Protein Metabolism	CLJU_c37150
