,value
S0834,MONOMER
S0836,MONOMER
S0837,MONOMER
S0838,MONOMER
S0839,MONOMER
S0840,MONOMER
S0841,MONOMER
S0842,MONOMER
S0843,MONOMER
S0844,MONOMER
S0845,MONOMER
S0846,MONOMER
S0847,MONOMER
S0848,MONOMER
S0849,MONOMER
S0850,MONOMER
S0851,MONOMER
S0852,MONOMER
S0853,MONOMER
S0854,MONOMER
S0855,MONOMER
S0856,MONOMER
S0857,MONOMER
S0858,MONOMER
S0859,MONOMER
S0860,MONOMER
S0861,MONOMER
S0862,MONOMER
S0863,MONOMER
S0864,MONOMER
S0865,MONOMER
S0866,MONOMER
S0867,MONOMER
S0868,MONOMER
S0869,MONOMER
S0870,MONOMER
S0871,MONOMER
S0872,MONOMER
S0873,MONOMER
S0874,MONOMER
S0875,MONOMER
S0876,MONOMER
S0877,MONOMER
S0878,MONOMER
S0879,MONOMER
S0880,MONOMER
S0881,MONOMER
S0882,MONOMER
S0883,tRNA
S0884,MONOMER
S0885,MONOMER
S0886,MONOMER
S0887,MONOMER
S0888,MONOMER
S0889,MONOMER
S0890,MONOMER
S0891,MONOMER
S0892,MONOMER
S0893,MONOMER
S0894,MONOMER
S0895,MONOMER
S0896,MONOMER
S0897,MONOMER
S0898,MONOMER
S0899,MONOMER
S0900,MONOMER
S0901,MONOMER
S0903,MONOMER
S0905,MONOMER
S0906,MONOMER
S0907,MONOMER
S0908,MONOMER
S0909,MONOMER
S0910,MONOMER
S0911,MONOMER
S0912,MONOMER
S0913,MONOMER
S0914,MONOMER
S0917,MONOMER
S0918,MONOMER
S0919,MONOMER
S0920,MONOMER
S0921,MONOMER
S0922,MONOMER
S0923,MONOMER
S0924,MONOMER
S0925,MONOMER
S0927,MONOMER
S0928,MONOMER
S0929,MONOMER
S0930,MONOMER
S0931,MONOMER
S0932,MONOMER
S0934,MONOMER
S0935,MONOMER
S0937,MONOMER
S0938,MONOMER
S0939,MONOMER
S0940,MONOMER
S0941,MONOMER
S0942,MONOMER
S0943,MONOMER
S0944,MONOMER
S0945,MONOMER
S0946,MONOMER
S0947,MONOMER
S0948,MONOMER
S0949,MONOMER
S0950,MONOMER
S0952,MONOMER
S0953,MONOMER
S0956,MONOMER
S0957,MONOMER
S0958,MONOMER
S0959,MONOMER
S0960,MONOMER
S0961,MONOMER
S0962,MONOMER
S0963,MONOMER
S0964,MONOMER
S0966,MONOMER
S0967,MONOMER
S0968,MONOMER
S0969,MONOMER
S0970,MONOMER
S0971,MONOMER
S0972,MONOMER
S0974,MONOMER
S0975,MONOMER
S0976,MONOMER
S0977,MONOMER
S0978,MONOMER
S0979,MONOMER
S0980,MONOMER
S0981,MONOMER
S0982,MONOMER
S0983,MONOMER
S0984,MONOMER
S0985,MONOMER
S0986,MONOMER
S0987,MONOMER
S0988,MONOMER
S0989,MONOMER
S0990,MONOMER
S0991,MONOMER
S0992,MONOMER
S0993,MONOMER
S0994,MONOMER
S0996,MONOMER
S0997,MONOMER
S0999,MONOMER
S1000,MONOMER
S1001,MONOMER
S1002,MONOMER
S1004,MONOMER
S1005,MONOMER
S1006,MONOMER
S1007,MONOMER
S1008,MONOMER
S1009,MONOMER
S1010,MONOMER
S1011,MONOMER
S1012,MONOMER
S1013,MONOMER
S1014,MONOMER
S1015,MONOMER
S1016,MONOMER
S1017,MONOMER
S1018,MONOMER
S1019,MONOMER
S1020,MONOMER
S1021,MONOMER
S1022,MONOMER
S1023,MONOMER
S1024,MONOMER
S1025,MONOMER
S1026,MONOMER
S1027,MONOMER
S1028,MONOMER
S1029,MONOMER
S1030,MONOMER
S1031,MONOMER
S1032,MONOMER
S1033,MONOMER
S1034,MONOMER
S1035,MONOMER
S1036,MONOMER
S1037,MONOMER
S1038,MONOMER
S1039,tRNA
S1040,MONOMER
S1041,MONOMER
S1042,MONOMER
S1043,MONOMER
S1044,MONOMER
S1045,MONOMER
S1046,MONOMER
S1047,MONOMER
S1048,MONOMER
S1051,MONOMER
S1052,MONOMER
S1053,MONOMER
S1054,MONOMER
S1055,MONOMER
S1056,MONOMER
S1057,MONOMER
S1058,MONOMER
S1059,MONOMER
S1060,MONOMER
S1061,MONOMER
S1062,MONOMER
