Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
CPLX_3PEPTabcpp-0,Plasma_Membrane,S1333(),Plasma_Membrane,s
CPLX_4PEPTabcpp-0,Plasma_Membrane,S1333(),Plasma_Membrane,s
S4206-MONOMER,Plasma_Membrane,S4206(),Plasma_Membrane,s
S1512-MONOMER,Plasma_Membrane,S1512(),Plasma_Membrane,s
S2030-MONOMER,Plasma_Membrane,S2030(),Plasma_Membrane,s
S1185-MONOMER,Plasma_Membrane,S1185(),Plasma_Membrane,s
CPLX_ACGAptspp-0,Plasma_Membrane,S1185(),Plasma_Membrane,s
S1840-MONOMER,Cell_Wall,S1840(),Cell_Wall,s
S2381-MONOMER,Plasma_Membrane,S2381(),Plasma_Membrane,s
CPLX_FRUptspp-0,Plasma_Membrane,S2381(),Plasma_Membrane,s
S2803-MONOMER,Plasma_Membrane,S2803(),Plasma_Membrane,s
S0083-MONOMER,Plasma_Membrane,S0083(),Plasma_Membrane,s
S0086-MONOMER,Plasma_Membrane,S0086(),Plasma_Membrane,s
S0088-MONOMER,Plasma_Membrane,S0088(),Plasma_Membrane,s
S0089-MONOMER,Plasma_Membrane,S0089(),Plasma_Membrane,s
S0093-MONOMER,Plasma_Membrane,S0093(),Plasma_Membrane,s
S0552-MONOMER,Plasma_Membrane,S0552(),Plasma_Membrane,s
S0026-MONOMER,Plasma_Membrane,S0026(),Plasma_Membrane,s
S2690-MONOMER,Plasma_Membrane,S2690(),Plasma_Membrane,s
S4510-MONOMER,Plasma_Membrane,S4510(),Plasma_Membrane,s
S4281-MONOMER,Plasma_Membrane,S4281(),Plasma_Membrane,s
S2078-MONOMER,Plasma_Membrane,S2078(),Plasma_Membrane,s
S2080-MONOMER,Plasma_Membrane,S2080(),Plasma_Membrane,s
S2084-MONOMER,Plasma_Membrane,S2084(),Plasma_Membrane,s
S2085-MONOMER,Plasma_Membrane,S2085(),Plasma_Membrane,s
S2088-MONOMER,Plasma_Membrane,S2088(),Plasma_Membrane,s
S2089-MONOMER,Plasma_Membrane,S2089(),Plasma_Membrane,s
S2014-MONOMER,Plasma_Membrane,S2014(),Plasma_Membrane,s
S0299-MONOMER,Plasma_Membrane,S0299(),Plasma_Membrane,s
S2028-MONOMER,Plasma_Membrane,S2028(),Plasma_Membrane,s
S0168-MONOMER,Plasma_Membrane,S0168(),Plasma_Membrane,s
S0169-MONOMER,Plasma_Membrane,S0169(),Plasma_Membrane,s
S2051-MONOMER,Plasma_Membrane,S2051(),Plasma_Membrane,s
S0259-MONOMER,Plasma_Membrane,S0259(),Plasma_Membrane,s
S4821-MONOMER,Plasma_Membrane,S4821(),Plasma_Membrane,s
S2409-MONOMER,Plasma_Membrane,S2409(),Plasma_Membrane,s
S3305-MONOMER,Plasma_Membrane,S3305(),Plasma_Membrane,s
S3440-MONOMER,Extracellular_Space,S3440(),Extracellular_Space,s
S4298-MONOMER,Extracellular_Space,S4298(),Extracellular_Space,s
S0894-MONOMER,Plasma_Membrane,S0894(),Plasma_Membrane,t
S1688-MONOMER,Plasma_Membrane,S1688(),Plasma_Membrane,s
S1805-MONOMER,Plasma_Membrane,S1805(),Plasma_Membrane,s
S1823-MONOMER,Plasma_Membrane,S1823(),Plasma_Membrane,s
S3858-MONOMER,Plasma_Membrane,S3858(),Plasma_Membrane,s
S1932-MONOMER,Plasma_Membrane,S1932(),Plasma_Membrane,s
S3084-MONOMER,Plasma_Membrane,S3084(),Plasma_Membrane,s
S3073-MONOMER,Plasma_Membrane,S3073(),Plasma_Membrane,s
S3762-MONOMER,Plasma_Membrane,S3762(),Plasma_Membrane,s
S2618-MONOMER,Plasma_Membrane,S2618(),Plasma_Membrane,s
CPLX_ACGAptspp-0,Plasma_Membrane,S2618(),Plasma_Membrane,s
CPLX_ACMUMptspp-0,Plasma_Membrane,S2618(),Plasma_Membrane,s
CPLX_MALTptspp-0,Plasma_Membrane,S2618(),Plasma_Membrane,s
CPLX_TREptspp-0,Plasma_Membrane,S2618(),Plasma_Membrane,s
S4348-MONOMER,Plasma_Membrane,S4348(),Plasma_Membrane,s
CPLX_MPTG-0,Plasma_Membrane,S4348(),Plasma_Membrane,s
S0345-MONOMER,Plasma_Membrane,S0345(),Plasma_Membrane,s
S0671-MONOMER,Extracellular_Space,S0671(),Extracellular_Space,s
S2753-MONOMER,Plasma_Membrane,S2753(),Plasma_Membrane,s
S1687-MONOMER,Plasma_Membrane,S1687(),Plasma_Membrane,s
S0804-MONOMER,Plasma_Membrane,S0804(),Plasma_Membrane,s
CPLX_GLNabcpp-0,Plasma_Membrane,S0804(),Plasma_Membrane,s
S3146-MONOMER,Plasma_Membrane,S3146(),Plasma_Membrane,s
S3861-MONOMER,Plasma_Membrane,S3861(),Plasma_Membrane,s
S4042-MONOMER,Plasma_Membrane,S4042(),Plasma_Membrane,s
CPLX_PIuabcpp-0,Plasma_Membrane,S4042(),Plasma_Membrane,s
S4043-MONOMER,Plasma_Membrane,S4043(),Plasma_Membrane,s
CPLX_PIuabcpp-0,Plasma_Membrane,S4043(),Plasma_Membrane,s
S4044-MONOMER,Plasma_Membrane,S4044(),Plasma_Membrane,s
CPLX_PIuabcpp-0,Plasma_Membrane,S4044(),Plasma_Membrane,s
S2801-MONOMER,Plasma_Membrane,S2801(),Plasma_Membrane,s
S3644-MONOMER,Plasma_Membrane,S3644(),Plasma_Membrane,s
S2804-MONOMER,Plasma_Membrane,S2804(),Plasma_Membrane,s
S0393-MONOMER,Plasma_Membrane,S0393(),Plasma_Membrane,s
S2711-MONOMER,Plasma_Membrane,S2711(),Plasma_Membrane,s
S3556-MONOMER,Plasma_Membrane,S3556(),Plasma_Membrane,s
S0560-MONOMER,Plasma_Membrane,S0560(),Plasma_Membrane,s
S1524-MONOMER,Plasma_Membrane,S1524(),Plasma_Membrane,s
CPLX_ACMANAptspp-0,Plasma_Membrane,S1524(),Plasma_Membrane,s
S1525-MONOMER,Plasma_Membrane,S1525(),Plasma_Membrane,s
CPLX_ACMANAptspp-0,Plasma_Membrane,S1525(),Plasma_Membrane,s
S0963-MONOMER,Plasma_Membrane,S0963(),Plasma_Membrane,s
S1181-MONOMER,Plasma_Membrane,S1181(),Plasma_Membrane,s
S3527-MONOMER,Plasma_Membrane,S3527(),Plasma_Membrane,s
S0353-MONOMER,Plasma_Membrane,S0353(),Plasma_Membrane,s
S0352-MONOMER,Plasma_Membrane,S0352(),Plasma_Membrane,s
S1248-MONOMER,Plasma_Membrane,S1248(),Plasma_Membrane,s
S4577-MONOMER,Plasma_Membrane,S4577(),Plasma_Membrane,s
CPLX_FRD2-0,Plasma_Membrane,S4577(),Plasma_Membrane,s
S1849-MONOMER,Plasma_Membrane,S1849(),Plasma_Membrane,s
S0518-MONOMER,Plasma_Membrane,S0518(),Plasma_Membrane,s
S1400-MONOMER,Plasma_Membrane,S1400(),Plasma_Membrane,s
S2325-MONOMER,Plasma_Membrane,S2325(),Plasma_Membrane,s
S1593-MONOMER,Plasma_Membrane,S1593(),Plasma_Membrane,s
S1817-MONOMER,Plasma_Membrane,S1817(),Plasma_Membrane,s
S1550-MONOMER,Plasma_Membrane,S1550(),Plasma_Membrane,s
S0803-MONOMER,Plasma_Membrane,S0803(),Plasma_Membrane,s
CPLX_GLNabcpp-0,Plasma_Membrane,S0803(),Plasma_Membrane,s
S1572-MONOMER,Plasma_Membrane,S1572(),Plasma_Membrane,s
S0346-MONOMER,Plasma_Membrane,S0346(),Plasma_Membrane,s
S3971-MONOMER,Plasma_Membrane,S3971(),Plasma_Membrane,s
S0039-MONOMER,Plasma_Membrane,S0039(),Plasma_Membrane,s
S3715-MONOMER,Plasma_Membrane,S3715(),Plasma_Membrane,s
S1466-MONOMER,Plasma_Membrane,S1466(),Plasma_Membrane,s
S0347-MONOMER,Plasma_Membrane,S0347(),Plasma_Membrane,s
S1966-MONOMER,Plasma_Membrane,S1966(),Plasma_Membrane,s
CPLX_MNabc_1-0,Plasma_Membrane,S1966(),Plasma_Membrane,s
S1965-MONOMER,Plasma_Membrane,S1965(),Plasma_Membrane,s
CPLX_MNabc_1-0,Plasma_Membrane,S1965(),Plasma_Membrane,s
S1964-MONOMER,Plasma_Membrane,S1964(),Plasma_Membrane,s
CPLX_MNabc_1-0,Plasma_Membrane,S1964(),Plasma_Membrane,s
S1165-MONOMER,Cell_Wall,S1165(),Cell_Wall,s
S3303-MONOMER,Plasma_Membrane,S3303(),Plasma_Membrane,s
S1485-MONOMER,Plasma_Membrane,S1485(),Plasma_Membrane,s
S4533-MONOMER,Plasma_Membrane,S4533(),Plasma_Membrane,s
S3632-MONOMER,Plasma_Membrane,S3632(),Plasma_Membrane,s
