TU_start	TU_end	Genes	Strand	Rho_independent	Stable_RNA
1503699	1505498	CLJU_c14070 CLJU_c14080	1	f	f
1505021	1507503	CLJU_c14090 CLJU_c14100	-1	f	f
1506891	1509593	CLJU_c14110	1	f	f
150728	151775	CLJU_c01500	1	f	f
150728	152213	CLJU_c01510	-1	t	f
1507808	1510991	CLJU_c14120	-1	f	f
1509830	1511834	CLJU_c14130	1	t	f
1511998	1513234	CLJU_c14140	1	f	f
1513366	1513966	CLJU_c14150	1	f	f
1514030	1514831	CLJU_c14160	1	f	f
1514963	1516650	CLJU_c14170 CLJU_c14180	1	t	f
1516808	1518573	CLJU_c14190 CLJU_c14200	1	f	f
1518228	1519030	CLJU_c14210	-1	f	f
1518598	1519679	CLJU_c14220	1	f	f
151967	154156	CLJU_c01520	1	t	f
1519764	1520730	CLJU_c14230	1	t	f
1520868	1523572	CLJU_c14240 CLJU_c14250	1	f	f
1521628	1524835	CLJU_c14260	-1	f	f
15221	18500	CLJU_c00130 CLJU_c00140	1	f	f
1524946	1526155	CLJU_c14270	-1	f	f
1524946	1527907	CLJU_c14280	1	f	f
1526692	1530961	CLJU_c14290 CLJU_c14300	-1	f	f
152755	156199	CLJU_c01530 CLJU_c01540 CLJU_c01550	-1	t	f
1531031	1533266	CLJU_c14310	-1	f	f
1533826	1534225	CLJU_c14320	-1	f	f
1533826	1537949	CLJU_c14330 CLJU_c14340	1	f	f
1535279	1539562	CLJU_c14350 CLJU_c14360	-1	t	f
1539655	1541474	CLJU_c14370 CLJU_c14380	-1	t	f
1540775	1543669	CLJU_c14390 CLJU_c14400	1	f	f
1543843	1547748	CLJU_c14410 CLJU_c14420 CLJU_c14430	1	f	f
1548001	1548373	CLJU_c14440	1	f	f
1548513	1549584	CLJU_c14450	1	f	f
1550453	1551710	CLJU_c14460	1	f	f
1551960	1553170	CLJU_c14470 CLJU_c14480	1	f	f
1553336	1562401	CLJU_c14490 CLJU_c14500 CLJU_c14510	1	f	f
155683	157192	CLJU_c01560	1	t	f
1562735	1565841	CLJU_c14520 CLJU_c14530	1	f	f
1563756	1572300	CLJU_c14540 CLJU_c14550 CLJU_c14560 CLJU_c14570 CLJU_c14580	-1	t	f
