,value
STM0678,tRNA
STM0679,tRNA
STM0680,MONOMER
STM0681,MONOMER
STM0682,MONOMER
STM0683,MONOMER
STM0684,MONOMER
STM0685,MONOMER
STM0686,MONOMER
STM0687,MONOMER
STM0688,MONOMER
STM0689,MONOMER
STM0690,MONOMER
STM0691,MONOMER
STM0692,MONOMER
STM0693,MONOMER
STM0694,MONOMER
STM0695,MONOMER
STM0696,MONOMER
STM0697,MONOMER
STM0698,MONOMER
STM0699,MONOMER
STM0700,MONOMER
STM0701,MONOMER
STM0702,MONOMER
STM0703,MONOMER
STM0704,MONOMER
STM0705,MONOMER
STM0706,MONOMER
STM0707,MONOMER
STM0708,MONOMER
STM0709,MONOMER
STM0710,MONOMER
STM0711,MONOMER
STM0712,MONOMER
STM0713,MONOMER
STM0714,MONOMER
STM0715,MONOMER
STM0716,MONOMER
STM0717,MONOMER
STM0718,MONOMER
STM0719,MONOMER
STM0720,MONOMER
STM0721,MONOMER
STM0722,MONOMER
STM0723,MONOMER
STM0724,MONOMER
STM0725,MONOMER
STM0726,MONOMER
STM0727,MONOMER
STM0728,MONOMER
STM0729,MONOMER
STM0730,MONOMER
STM0731,MONOMER
STM0732,MONOMER
STM0733,MONOMER
STM0734,MONOMER
STM0735,MONOMER
STM0736,MONOMER
STM0737,MONOMER
STM0738,MONOMER
STM0739,MONOMER
STM0740,MONOMER
STM0741,MONOMER
STM0742,MONOMER
STM0743,MONOMER
STM0744,MONOMER
STM0745,MONOMER
STM0746,MONOMER
STM0747,MONOMER
STM0748,MONOMER
STM0749,MONOMER
STM0750,MONOMER
STM0751,tRNA
STM0752,tRNA
STM0753,tRNA
STM0754,tRNA
STM0755,tRNA
STM0756,MONOMER
STM0757,MONOMER
STM0758,MONOMER
STM0759,MONOMER
STM0760,MONOMER
STM0761,MONOMER
STM0762,MONOMER
STM0763,MONOMER
STM0764,MONOMER
STM0765,MONOMER
STM0766,MONOMER
STM0768,MONOMER
STM0769,MONOMER
STM0770,MONOMER
STM0771,MONOMER
STM0772,MONOMER
STM0773,MONOMER
STM0774,MONOMER
STM0775,MONOMER
STM0776,MONOMER
STM0777,MONOMER
STM0778,MONOMER
STM0779,MONOMER
STM0780,MONOMER
STM0781,MONOMER
STM0782,MONOMER
STM0783,MONOMER
STM0784,MONOMER
STM0785,MONOMER
STM0786,MONOMER
STM0787,MONOMER
STM0788,MONOMER
STM0789,MONOMER
STM0791,MONOMER
STM0792,MONOMER
STM0793,MONOMER
STM0794,MONOMER
STM0795,MONOMER
STM0796,MONOMER
STM0797,MONOMER
STM0798,MONOMER
STM0799,MONOMER
STM0800,MONOMER
STM0801,MONOMER
STM0802,MONOMER
STM0803,MONOMER
STM0804,MONOMER
STM0805,MONOMER
STM0806,MONOMER
STM0807,MONOMER
STM0808,MONOMER
STM0809,MONOMER
STM0810,MONOMER
STM0811,MONOMER
STM0812,MONOMER
STM0813,MONOMER
STM0814,MONOMER
STM0815,MONOMER
STM0816,MONOMER
STM0817,MONOMER
STM0818,MONOMER
STM0819,MONOMER
STM0820,MONOMER
STM0821,MONOMER
STM0822,MONOMER
STM0823,MONOMER
STM0825,MONOMER
STM0826,MONOMER
STM0827,MONOMER
STM0828,MONOMER
STM0829,MONOMER
STM0830,MONOMER
STM0831,MONOMER
STM0832,MONOMER
STM0833,MONOMER
STM0834,MONOMER
STM0835,MONOMER
STM0836,MONOMER
STM0837,MONOMER
STM0838,MONOMER
STM0839,MONOMER
STM0840,MONOMER
STM0841,MONOMER
STM0842,MONOMER
STM0843,MONOMER
STM0844,MONOMER
STM0845,MONOMER
STM0846,MONOMER
STM0847,MONOMER
STM0848,MONOMER
STM0849,MONOMER
STM0850,MONOMER
STM0851,MONOMER
STM0852,MONOMER
STM0853,MONOMER
STM0854,MONOMER
STM0855,MONOMER
STM0856,MONOMER
STM0857,MONOMER
STM0858,MONOMER
STM0859,MONOMER
STM0860,MONOMER
STM0861,MONOMER
STM0862,MONOMER
STM0863,MONOMER
STM0864,MONOMER
STM0865,MONOMER
STM0866,MONOMER
STM0867,MONOMER
STM0868,MONOMER
STM0869,MONOMER
STM0870,MONOMER
STM0871,MONOMER
STM0872,MONOMER
STM0873,MONOMER
STM0874,MONOMER
STM0875,MONOMER
STM0876,MONOMER
STM0877,MONOMER
STM0878,MONOMER
STM0879,MONOMER
STM0880,MONOMER
STM0881,MONOMER
STM0882,MONOMER
STM0884,MONOMER
STM0885,MONOMER
STM0886,MONOMER
STM0887,MONOMER
STM0888,MONOMER
STM0889,MONOMER
STM0890,MONOMER
STM0891,MONOMER
STM0892,MONOMER
STM0893,MONOMER
STM0894,MONOMER
STM0895,MONOMER
STM0896,MONOMER
STM0897,MONOMER
STM0898,MONOMER
STM0898A,MONOMER
STM0899,MONOMER
STM0900,MONOMER
STM0901,MONOMER
STM0902,MONOMER
STM0903,MONOMER
STM0904,MONOMER
STM0905,MONOMER
STM0906,MONOMER
STM0907,MONOMER
STM0908,MONOMER
STM0909,MONOMER
STM0910,MONOMER
STM0911,MONOMER
STM0912,MONOMER
STM0913,MONOMER
STM0914,MONOMER
STM0915,MONOMER
STM0916,MONOMER
STM0917,MONOMER
STM0918,MONOMER
STM0919,MONOMER
STM0920,MONOMER
STM0921,MONOMER
STM0922,MONOMER
STM0923,MONOMER
STM0924,MONOMER
STM0925,MONOMER
STM0926,MONOMER
STM0927,MONOMER
STM0928,MONOMER
STM0929,MONOMER
STM0930,MONOMER
STM0931,MONOMER
STM0932,MONOMER
STM0933,MONOMER
STM0934,MONOMER
STM0935,MONOMER
STM0936,MONOMER
STM0937,MONOMER
STM0938,MONOMER
STM0939,MONOMER
STM0940,MONOMER
STM0941,MONOMER
STM0942,MONOMER
STM0943,MONOMER
STM0944,MONOMER
STM0945,MONOMER
STM0946,MONOMER
STM0947,MONOMER
STM0948,MONOMER
STM0949,tRNA
STM0950,MONOMER
STM0951,MONOMER
STM0952,MONOMER
STM0953,MONOMER
STM0954,MONOMER
STM0955,MONOMER
STM0956,MONOMER
STM0957,MONOMER
STM0958,MONOMER
STM0959,MONOMER
STM0960,MONOMER
STM0961,MONOMER
STM0962,MONOMER
STM0963,MONOMER
STM0964,MONOMER
STM0965,MONOMER
STM0966,MONOMER
STM0968,MONOMER
STM0969,MONOMER
STM0970,MONOMER
STM0971,MONOMER
STM0972,MONOMER
STM0973,MONOMER
STM0974,MONOMER
STM0975,MONOMER
STM0976,MONOMER
STM0977,MONOMER
STM0978,MONOMER
STM0979,MONOMER
STM0980,MONOMER
STM0981,MONOMER
STM0982,MONOMER
STM0983,MONOMER
STM0984,MONOMER
STM0985,MONOMER
STM0986,MONOMER
STM0987,MONOMER
STM0988,MONOMER
STM0989,MONOMER
STM0990,MONOMER
STM0991,MONOMER
STM0992,MONOMER
STM0993,MONOMER
STM0994,MONOMER
STM0995,MONOMER
STM0996,MONOMER
STM0997,MONOMER
STM0998,MONOMER
STM0999,MONOMER
STM1000,MONOMER
STM1001,MONOMER
STM1002,MONOMER
STM1003,MONOMER
STM1004,MONOMER
STM1005,MONOMER
STM1006,MONOMER
STM1007,MONOMER
STM1008,MONOMER
STM1009,MONOMER
STM1010,MONOMER
STM1011,MONOMER
STM1012,MONOMER
STM1013,MONOMER
STM1014,MONOMER
STM1015,MONOMER
STM1016,MONOMER
STM1017,MONOMER
STM1018,MONOMER
STM1019,MONOMER
STM1020,MONOMER
STM1021,MONOMER
STM1022,MONOMER
STM1023,MONOMER
STM1024,MONOMER
STM1025,MONOMER
STM1026,MONOMER
STM1027,MONOMER
STM1028,MONOMER
STM1029,MONOMER
STM1030,MONOMER
STM1031,MONOMER
STM1032,MONOMER
STM1033,MONOMER
STM1034,MONOMER
STM1035,MONOMER
STM1036,MONOMER
STM1037,MONOMER
STM1038,MONOMER
STM1039,MONOMER
STM1040,MONOMER
STM1041,MONOMER
STM1042,MONOMER
STM1043,MONOMER
STM1044,MONOMER
STM1045,MONOMER
STM1046,MONOMER
STM1047,MONOMER
STM1048,MONOMER
STM1049,MONOMER
STM1050,MONOMER
STM1051,MONOMER
STM1053,MONOMER
STM1054,MONOMER
STM1055,MONOMER
STM1056,MONOMER
STM1057,MONOMER
STM1058,MONOMER
STM1059,MONOMER
STM1060,MONOMER
STM1061,MONOMER
STM1062,MONOMER
STM1063,MONOMER
STM1064,MONOMER
STM1065,MONOMER
STM1066,MONOMER
STM1067,MONOMER
STM1068,MONOMER
STM1069,MONOMER
STM1070,MONOMER
STM1071,MONOMER
STM1072,MONOMER
STM1073,MONOMER
STM1074,MONOMER
STM1075,MONOMER
STM1076,MONOMER
STM1077,MONOMER
STM1078,MONOMER
STM1079,MONOMER
STM1080,MONOMER
STM1081,MONOMER
STM1082,MONOMER
STM1083,MONOMER
STM1084,MONOMER
STM1085,MONOMER
STM1086,tRNA
STM1087,MONOMER
STM1088,MONOMER
STM1089,MONOMER
STM1090,MONOMER
STM1091,MONOMER
STM1092,MONOMER
STM1093,MONOMER
STM1094,MONOMER
STM1095,MONOMER
STM1096,MONOMER
STM1097,MONOMER
STM1098,MONOMER
STM1099,MONOMER
STM1100,MONOMER
STM1101,MONOMER
STM1102,MONOMER
STM1103,MONOMER
STM1104,MONOMER
STM1105,MONOMER
STM1106,MONOMER
STM1107,MONOMER
STM1108,MONOMER
STM1109,MONOMER
STM1110,MONOMER
STM1111,MONOMER
STM1112,MONOMER
STM1113,MONOMER
STM1114,MONOMER
STM1115,MONOMER
STM1116,MONOMER
STM1117,MONOMER
STM1118,MONOMER
STM1119,MONOMER
STM1121,MONOMER
STM1122,MONOMER
STM1123,MONOMER
STM1124,MONOMER
STM1125,MONOMER
STM1126,MONOMER
STM1127,MONOMER
STM1128,MONOMER
STM1129,MONOMER
STM1130,MONOMER
STM1131,MONOMER
STM1132,MONOMER
STM1133,MONOMER
STM1134,tRNA
STM1135,MONOMER
STM1136,MONOMER
STM1137,MONOMER
STM1138,MONOMER
STM1139,MONOMER
STM1140,MONOMER
STM1141,MONOMER
STM1142,MONOMER
STM1143,MONOMER
STM1144,MONOMER
STM1145,MONOMER
STM1146,MONOMER
STM1147,MONOMER
STM1148,MONOMER
STM1149,MONOMER
STM1150,MONOMER
STM1151,MONOMER
STM1152,MONOMER
STM1153,MONOMER
STM1154,MONOMER
STM1155,MONOMER
STM1156,MONOMER
STM1157,MONOMER
STM1158,MONOMER
STM1159,MONOMER
STM1160,MONOMER
STM1161,MONOMER
STM1162,MONOMER
STM1163,MONOMER
STM1164,MONOMER
STM1165,MONOMER
STM1166,MONOMER
STM1167,MONOMER
STM1168,MONOMER
STM1169,MONOMER
STM1170,MONOMER
