,name,genes,source
TM0248-MONOMER,electron transport complex subunit RsxA,TM0248(),GenBank
TM0249-MONOMER,RnfABCDGE type electron transport complex subunit B,TM0249(),GenBank
TM0250-MONOMER,DNA-processing protein DprA,TM0250(),GenBank
TM0251-MONOMER,carbon storage regulator CsrA,TM0251(),GenBank
TM0252-MONOMER,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,TM0252(),GenBank
TM0253-MONOMER,YraN family protein,TM0253(),GenBank
TM0254-MONOMER,SsrA-binding protein SmpB,TM0254(),GenBank
TM0255-MONOMER,50S ribosomal protein L28,TM0255(),GenBank
TM0257-MONOMER,HD domain-containing protein,TM0257(),GenBank
TM0258-MONOMER,type I DNA topoisomerase,TM0258(),GenBank
TM0259-MONOMER,D-alanine--D-alanine ligase,TM0259(2),GenBank
TM0260-MONOMER,DUF47 domain-containing protein,TM0260(),GenBank
TM0261-MONOMER,inorganic phosphate transporter,TM0261(),GenBank
TM0262-MONOMER,DNA polymerase III subunit beta,TM0262(),GenBank
TM0263-MONOMER,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,TM0263(2),GenBank
TM0264-MONOMER,pseudouridine synthase,TM0264(1),GenBank
TM0265-MONOMER,excinuclease ABC subunit UvrC,TM0265(),GenBank
TM0266-MONOMER,DNA-binding protein HU,TM0266(),GenBank
TM0267-MONOMER,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,TM0267(2),GenBank
TM0268-MONOMER,homocysteine S-methyltransferase family protein,TM0268(1),GenBank
TM0269-MONOMER,hypothetical protein,TM0269(),GenBank
TM0270-MONOMER,methylenetetrahydrofolate reductase,TM0270(),GenBank
TM0271-MONOMER,hypothetical protein,TM0271(),GenBank
TM0272-MONOMER,"pyruvate, phosphate dikinase",TM0272(1),GenBank
TM0273-MONOMER,"class II fructose-1,6-bisphosphate aldolase",TM0273(),GenBank
TM0274-MONOMER,acetate kinase,TM0274(1),GenBank
TM0275-MONOMER,GntR family transcriptional regulator,TM0275(),GenBank
TM0276-MONOMER,L-arabinose isomerase,TM0276(6),GenBank
TM0277-MONOMER,sugar ABC transporter substrate-binding protein,TM0277(),GenBank
TM0278-MONOMER,sugar ABC transporter permease,TM0278(),GenBank
TM0279-MONOMER,carbohydrate ABC transporter permease,TM0279(),GenBank
TM0280-MONOMER,glycoside hydrolase family 127 protein,TM0280(),GenBank
TM0281-MONOMER,alpha-N-arabinofuranosidase,TM0281(),GenBank
TM0282-MONOMER,galactose mutarotase,TM0282(1),GenBank
TM0283-MONOMER,L-ribulose-5-phosphate 4-epimerase,TM0283(1),GenBank
TM0284-MONOMER,FGGY-family carbohydrate kinase,TM0284(),GenBank
TM0285-MONOMER,sn-glycerol-1-phosphate dehydrogenase,TM0285(),GenBank
TM0286-MONOMER,PadR family transcriptional regulator,TM0286(),GenBank
TM0287-MONOMER,ABC transporter ATP-binding protein,TM0287(),GenBank
TM0288-MONOMER,ABC transporter ATP-binding protein,TM0288(2),GenBank
TM0289-MONOMER,diphosphate--fructose-6-phosphate 1-phosphotransferase,TM0289(),GenBank
TM0290-MONOMER,citrate synthase/methylcitrate synthase,TM0290(2),GenBank
TM0291-MONOMER,3-isopropylmalate dehydratase large subunit,TM0291(),GenBank
TM0292-MONOMER,3-isopropylmalate dehydratase small subunit,TM0292(),GenBank
TM0293-MONOMER,glutamate-5-semialdehyde dehydrogenase,TM0293(4),GenBank
TM0294-MONOMER,glutamate 5-kinase,TM0294(4),GenBank
TM0295-MONOMER,fructose-6-phosphate aldolase,TM0295(12),GenBank
TM0296-MONOMER,carbohydrate kinase,TM0296(),GenBank
TM0297-MONOMER,SDR family oxidoreductase,TM0297(),GenBank
TM0298-MONOMER,mannitol dehydrogenase,TM0298(1),GenBank
TM0299-MONOMER,LacI family DNA-binding transcriptional regulator,TM0299(),GenBank
TM0300-MONOMER,ABC transporter substrate-binding protein,TM0300(),GenBank
TM0301-MONOMER,ABC transporter permease,TM0301(),GenBank
TM0302-MONOMER,ABC transporter permease,TM0302(),GenBank
TM0303-MONOMER,ABC transporter ATP-binding protein,TM0303(),GenBank
TM0304-MONOMER,ABC transporter ATP-binding protein,TM0304(),GenBank
TM0305-MONOMER,endoglucanase,TM0305(),GenBank
TM0306-MONOMER,alpha-L-fucosidase,TM0306(),GenBank
TM0307-MONOMER,L-fucose/L-arabinose isomerase family protein,TM0307(6),GenBank
TM0308-MONOMER,alpha-xylosidase,TM0308(),GenBank
TM0309-MONOMER,ABC transporter substrate-binding protein,TM0309(),GenBank
TM0310-MONOMER,beta-galactosidase,TM0310(),GenBank
TM0311-MONOMER,DUF6512 family protein,TM0311(),GenBank
TM0312-MONOMER,Gfo/Idh/MocA family oxidoreductase,TM0312(),GenBank
TM0313-MONOMER,aldo/keto reductase,TM0313(1),GenBank
TM0314-MONOMER,YHS domain-containing protein,TM0314(),GenBank
TM0315-MONOMER,SHOCT domain-containing protein,TM0315(),GenBank
TM0316-MONOMER,carboxymuconolactone decarboxylase family protein,TM0316(),GenBank
TM0317-MONOMER,heavy metal translocating P-type ATPase,TM0317(1),GenBank
TM0318-MONOMER,class I SAM-dependent methyltransferase,TM0318(),GenBank
TM0319-MONOMER,hypothetical protein,TM0319(),GenBank
TM0320-MONOMER,heavy-metal-associated domain-containing protein,TM0320(),GenBank
TM0321-MONOMER,hypothetical protein,TM0321(),GenBank
TM0322-MONOMER,C4-dicarboxylate TRAP transporter substrate-binding protein,TM0322(),GenBank
TM0323-MONOMER,TRAP transporter small permease subunit,TM0323(),GenBank
TM0324-MONOMER,TRAP transporter large permease subunit,TM0324(),GenBank
TM0325-MONOMER,SDR family oxidoreductase,TM0325(),GenBank
TM0326-MONOMER,MurR/RpiR family transcriptional regulator,TM0326(),GenBank
TM0327-MONOMER,phosphoglycerate dehydrogenase,TM0327(),GenBank
TM0328-MONOMER,site-specific DNA-methyltransferase,TM0328(),GenBank
TM0329-MONOMER,hypothetical protein,TM0329(),GenBank
TM0330-MONOMER,amidohydrolase,TM0330(),GenBank
TM0331-MONOMER,orotate phosphoribosyltransferase,TM0331(),GenBank
TM0332-MONOMER,orotidine-5'-phosphate decarboxylase,TM0332(2),GenBank
TM0333-MONOMER,tRNA-dihydrouridine synthase,TM0333(1),GenBank
TM0334-MONOMER,dihydroorotate dehydrogenase,TM0334(),GenBank
TM0335-MONOMER,dihydroorotase,TM0335(),GenBank
TM0336-MONOMER,esterase EstD,TM0336(),GenBank
TM0337-MONOMER,YgiQ family radical SAM protein,TM0337(),GenBank
TM0339-MONOMER,DUF2089 family protein,TM0339(),GenBank
TM0340-MONOMER,hypothetical protein,TM0340(),GenBank
TM0341-MONOMER,hypothetical protein,TM0341(),GenBank
TM_RS09550-MONOMER,hypothetical protein,TM_RS09550(),GenBank
TM0342-MONOMER,MFS transporter,TM0342(),GenBank
TM0343-MONOMER,3-deoxy-7-phosphoheptulonate synthase,TM0343(4),GenBank
TM0344-MONOMER,prephenate dehydrogenase,TM0344(),GenBank
TM0345-MONOMER,3-phosphoshikimate 1-carboxyvinyltransferase,TM0345(1),GenBank
TM0346-MONOMER,shikimate 5-dehydrogenase,TM0346(1),GenBank
TM0347-MONOMER,chorismate synthase,TM0347(4),GenBank
TM0348-MONOMER,bifunctional shikimate kinase AroK/3-dehydroquinate synthase AroB,TM0348(1),GenBank
TM0349-MONOMER,type II 3-dehydroquinate dehydratase,TM0349(),GenBank
TM0350-MONOMER,LysE family translocator,TM0350(),GenBank
TM0351-MONOMER,ABC transporter permease,TM0351(),GenBank
TM0352-MONOMER,ABC transporter ATP-binding protein,TM0352(),GenBank
TM0353-MONOMER,efflux RND transporter periplasmic adaptor subunit,TM0353(),GenBank
TM0354-MONOMER,TolC family protein,TM0354(),GenBank
TM0355-MONOMER,TolC family protein,TM0355(),GenBank
TM0356-MONOMER,threonine ammonia-lyase,TM0356(4),GenBank
TM0357-MONOMER,hypothetical protein,TM0357(),GenBank
TM0358-MONOMER,diacylglycerol kinase family lipid kinase,TM0358(),GenBank
TM0359-MONOMER,"GDP-mannose:di-myo-inositol-1,3'-phosphate beta-1,2-mannosyltransferase",TM0359(),GenBank
TM0360-MONOMER,MazG nucleotide pyrophosphohydrolase domain-containing protein,TM0360(),GenBank
TM0361-MONOMER,hypothetical protein,TM0361(),GenBank
TM0362-MONOMER,deoxyribonuclease IV,TM0362(),GenBank
TM0363-MONOMER,NFACT family protein,TM0363(),GenBank
TM0364-MONOMER,4-alpha-glucanotransferase,TM0364(),GenBank
TM0365-MONOMER,aminopeptidase,TM0365(),GenBank
TM0366-MONOMER,endonuclease III,TM0366(),GenBank
TM0367-MONOMER,TIGR00266 family protein,TM0367(),GenBank
TM0368-MONOMER,MFS transporter,TM0368(),GenBank
TM0369-MONOMER,transcriptional regulator,TM0369(),GenBank
TM0370-MONOMER,KaiC domain-containing protein,TM0370(),GenBank
TM0371-MONOMER,arginine repressor,TM0371(),GenBank
TM0372-MONOMER,efflux RND transporter permease subunit,TM0372(),GenBank
TM0373-MONOMER,molecular chaperone DnaK,TM0373(1),GenBank
TM0374-MONOMER,Hsp20/alpha crystallin family protein,TM0374(),GenBank
TM0375-MONOMER,phosphate propanoyltransferase,TM0375(),GenBank
TM0376-MONOMER,sulfite exporter TauE/SafE family protein,TM0376(),GenBank
TM0378-MONOMER,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,TM0378(),GenBank
TM0379-MONOMER,FAD-dependent oxidoreductase,TM0379(),GenBank
TM0380-MONOMER,carboxymuconolactone decarboxylase family protein,TM0380(),GenBank
