,name,genes,source
TM1146-MONOMER,methyl-accepting chemotaxis protein,TM1146(),GenBank
TM1147-MONOMER,two-component system response regulator,TM1147(),GenBank
TM1148-MONOMER,NADP-dependent isocitrate dehydrogenase,TM1148(),GenBank
TM1149-MONOMER,ABC transporter permease,TM1149(),GenBank
TM1150-MONOMER,ABC transporter substrate-binding protein,TM1150(),GenBank
TM1151-MONOMER,ABC transporter ATP-binding protein,TM1151(),GenBank
TM1152-MONOMER,ABC transporter ATP-binding protein,TM1152(),GenBank
TM1153-MONOMER,ABC transporter permease,TM1153(),GenBank
TM1154-MONOMER,6-phosphogluconolactonase,TM1154(),GenBank
TM1155-MONOMER,glucose-6-phosphate dehydrogenase,TM1155(1),GenBank
TM1156-MONOMER,PspC domain-containing protein,TM1156(),GenBank
TM1157-MONOMER,hypothetical protein,TM1157(),GenBank
TM1158-MONOMER,GMP synthase,TM1158(),GenBank
TM_RS05890-MONOMER,hypothetical protein,TM_RS05890(),GenBank
TM1159-MONOMER,alpha/beta hydrolase,TM1159(),GenBank
TM1160-MONOMER,prolyl oligopeptidase family serine peptidase,TM1160(),GenBank
TM1161-MONOMER,magnesium transporter,TM1161(),GenBank
TM1162-MONOMER,metal-dependent hydrolase,TM1162(),GenBank
TM1163-MONOMER,sensor domain-containing diguanylate cyclase,TM1163(),GenBank
TM1164-MONOMER,2-oxoacid:acceptor oxidoreductase subunit alpha,TM1164(),GenBank
TM1165-MONOMER,thiamine pyrophosphate-dependent enzyme,TM1165(),GenBank
TM1166-MONOMER,radical SAM family heme chaperone HemW,TM1166(),GenBank
TM1167-MONOMER,hypothetical protein,TM1167(),GenBank
TM1168-MONOMER,glycosyltransferase family 1 protein,TM1168(),GenBank
TM1169-MONOMER,SDR family oxidoreductase,TM1169(),GenBank
TM1170-MONOMER,transporter substrate-binding domain-containing protein,TM1170(),GenBank
TM1171-MONOMER,Crp/Fnr family transcriptional regulator,TM1171(),GenBank
TM1172-MONOMER,hydroxylamine reductase,TM1172(),GenBank
TM1173-MONOMER,arsenic resistance protein,TM1173(),GenBank
TM1174-MONOMER,hypothetical protein,TM1174(),GenBank
TM1175-MONOMER,4Fe-4S binding protein,TM1175(),GenBank
TM1176-MONOMER,metalloregulator ArsR/SmtB family transcription factor,TM1176(),GenBank
TM1177-MONOMER,YjjG family noncanonical pyrimidine nucleotidase,TM1177(1),GenBank
TM1178-MONOMER,GNAT family N-acetyltransferase,TM1178(),GenBank
TM1179-MONOMER,flagellar export chaperone FliS,TM1179(),GenBank
TM1180-MONOMER,hypothetical protein,TM1180(),GenBank
TM1181-MONOMER,NUDIX hydrolase,TM1181(2),GenBank
TM1182-MONOMER,chromosome segregation protein SMC,TM1182(),GenBank
TM1183-MONOMER,aldo/keto reductase,TM1183(),GenBank
TM1184-MONOMER,diguanylate cyclase,TM1184(),GenBank
TM1185-MONOMER,methylglyoxal synthase,TM1185(6),GenBank
TM1186-MONOMER,zinc ribbon domain-containing protein,TM1186(),GenBank
TM1187-MONOMER,AI-2E family transporter,TM1187(),GenBank
TM1188-MONOMER,acyltransferase family protein,TM1188(),GenBank
TM1189-MONOMER,KAP family P-loop domain protein,TM1189(),GenBank
TM1190-MONOMER,galactokinase,TM1190(1),GenBank
TM1191-MONOMER,galactose-1-phosphate uridylyltransferase,TM1191(2),GenBank
TM1192-MONOMER,alpha-galactosidase,TM1192(),GenBank
TM1193-MONOMER,beta-galactosidase LacZ,TM1193(),GenBank
TM1194-MONOMER,ATP-binding cassette domain-containing protein,TM1194(),GenBank
TM1195-MONOMER,beta-galactosidase,TM1195(),GenBank
TM1196-MONOMER,ABC transporter ATP-binding protein,TM1196(),GenBank
TM1197-MONOMER,ABC transporter permease,TM1197(),GenBank
TM1198-MONOMER,ABC transporter permease,TM1198(),GenBank
TM1199-MONOMER,ABC transporter substrate-binding protein,TM1199(),GenBank
TM1200-MONOMER,LacI family DNA-binding transcriptional regulator,TM1200(),GenBank
TM1201-MONOMER,glycosyl hydrolase 53 family protein,TM1201(),GenBank
TM1202-MONOMER,ABC transporter permease subunit,TM1202(),GenBank
TM1203-MONOMER,ABC transporter permease subunit,TM1203(),GenBank
TM1204-MONOMER,maltose/maltodextrin ABC transporter substrate-binding protein MalE,TM1204(),GenBank
TM1205-MONOMER,Na+/H+ antiporter subunit E,TM1205(),GenBank
TM1206-MONOMER,cation:proton antiporter,TM1206(),GenBank
TM1207-MONOMER,monovalent cation/H(+) antiporter subunit G,TM1207(),GenBank
TM1208-MONOMER,Na(+)/H(+) antiporter subunit B,TM1208(),GenBank
TM1209-MONOMER,Na(+)/H(+) antiporter subunit B,TM1209(),GenBank
TM1210-MONOMER,sodium:proton antiporter,TM1210(),GenBank
TM1211-MONOMER,complex I subunit 5 family protein,TM1211(),GenBank
TM1212-MONOMER,proton-conducting transporter membrane subunit,TM1212(),GenBank
TM1213-MONOMER,respiratory chain complex I subunit 1 family protein,TM1213(),GenBank
TM1214-MONOMER,NADH-quinone oxidoreductase subunit B,TM1214(),GenBank
TM1215-MONOMER,NADH-quinone oxidoreductase subunit C,TM1215(),GenBank
TM1216-MONOMER,NADH-quinone oxidoreductase subunit D,TM1216(),GenBank
TM1217-MONOMER,FAD-dependent oxidoreductase,TM1217(),GenBank
TM1218-MONOMER,LacI family DNA-binding transcriptional regulator,TM1218(),GenBank
TM1219-MONOMER,ABC transporter ATP-binding protein,TM1219(),GenBank
TM1220-MONOMER,ABC transporter ATP-binding protein,TM1220(),GenBank
TM1221-MONOMER,ABC transporter permease,TM1221(),GenBank
TM1222-MONOMER,ABC transporter permease,TM1222(),GenBank
TM1223-MONOMER,ABC transporter substrate-binding protein,TM1223(),GenBank
TM1224-MONOMER,ROK family transcriptional regulator,TM1224(),GenBank
TM1225-MONOMER,glycoside hydrolase family 130 protein,TM1225(),GenBank
TM1226-MONOMER,ABC transporter substrate-binding protein,TM1226(),GenBank
TM1227-MONOMER,cellulase family glycosylhydrolase,TM1227(),GenBank
TM1228-MONOMER,MurR/RpiR family transcriptional regulator,TM1228(),GenBank
TM1229-MONOMER,glycosyltransferase,TM1229(),GenBank
TM1230-MONOMER,mannosylglucosylglycerate synthase,TM1230(),GenBank
TM1231-MONOMER,alpha-mannosidase,TM1231(1),GenBank
TM1232-MONOMER,ABC transporter ATP-binding protein,TM1232(),GenBank
TM1233-MONOMER,carbohydrate ABC transporter permease,TM1233(),GenBank
TM1234-MONOMER,sugar ABC transporter permease,TM1234(),GenBank
TM1235-MONOMER,ABC transporter substrate-binding protein,TM1235(),GenBank
TM1237-MONOMER,radical SAM protein,TM1237(),GenBank
TM1238-MONOMER,ATP-dependent helicase,TM1238(),GenBank
TM1239-MONOMER,divergent PAP2 family protein,TM1239(),GenBank
TM1240-MONOMER,redox-regulated ATPase YchF,TM1240(),GenBank
TM1241-MONOMER,hypothetical protein,TM1241(),GenBank
TM1243-MONOMER,phosphoribosylaminoimidazolesuccinocarboxamide synthase,TM1243(3),GenBank
TM1244-MONOMER,phosphoribosylformylglycinamidine synthase subunit PurS,TM1244(),GenBank
TM1245-MONOMER,phosphoribosylformylglycinamidine synthase subunit PurQ,TM1245(),GenBank
TM1246-MONOMER,phosphoribosylformylglycinamidine synthase subunit PurL,TM1246(1),GenBank
TM1247-MONOMER,amidophosphoribosyltransferase,TM1247(4),GenBank
TM1248-MONOMER,phosphoribosylglycinamide formyltransferase,TM1248(1),GenBank
TM1249-MONOMER,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase,TM1249(1),GenBank
TM1250-MONOMER,phosphoribosylamine--glycine ligase,TM1250(1),GenBank
TM1251-MONOMER,phosphoribosylformylglycinamidine cyclo-ligase,TM1251(2),GenBank
TM1252-MONOMER,hypothetical protein,TM1252(),GenBank
TM1253-MONOMER,NAD+ synthase,TM1253(),GenBank
TM1254-MONOMER,HAD family phosphatase,TM1254(1),GenBank
TM1255-MONOMER,aspartate aminotransferase,TM1255(),GenBank
TM1256-MONOMER,ABC transporter ATP-binding protein,TM1256(),GenBank
TM1257-MONOMER,ATP-binding protein,TM1257(),GenBank
TM1258-MONOMER,HAMP domain-containing sensor histidine kinase,TM1258(),GenBank
TM1259-MONOMER,response regulator transcription factor,TM1259(),GenBank
TM1260-MONOMER,phosphate signaling complex protein PhoU,TM1260(),GenBank
TM1261-MONOMER,phosphate ABC transporter ATP-binding protein PstB,TM1261(),GenBank
TM1262-MONOMER,phosphate ABC transporter permease PstA,TM1262(),GenBank
TM1263-MONOMER,PstC family ABC transporter permease,TM1263(),GenBank
TM1264-MONOMER,phosphate ABC transporter substrate-binding protein PstS,TM1264(),GenBank
TM1265-MONOMER,ATP-binding protein,TM1265(),GenBank
TM1266-MONOMER,iron-only hydrogenase system regulator,TM1266(),GenBank
TM1267-MONOMER,[FeFe] hydrogenase H-cluster radical SAM maturase HydG,TM1267(),GenBank
TM1268-MONOMER,hypothetical protein,TM1268(),GenBank
TM1269-MONOMER,[FeFe] hydrogenase H-cluster radical SAM maturase HydE,TM1269(2),GenBank
TM1270-MONOMER,bifunctional L-alanine/L-glutamate racemase,TM1270(4),GenBank
TM1271-MONOMER,type II secretion system protein,TM1271(),GenBank
TM1272-MONOMER,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,TM1272(),GenBank
TM1273-MONOMER,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,TM1273(),GenBank
TM1274-MONOMER,hypothetical protein,TM1274(),GenBank
TM1275-MONOMER,type II toxin-antitoxin system Phd/YefM family antitoxin,TM1275(),GenBank
TM1276-MONOMER,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,TM1276(),GenBank
TM1277-MONOMER,cell division protein FtsA,TM1277(),GenBank
TM1278-MONOMER,endonuclease MutS2,TM1278(),GenBank
TM1279-MONOMER,hypothetical protein,TM1279(),GenBank
TM1280-MONOMER,N-acetylglucosamine kinase,TM1280(),GenBank
TM1281-MONOMER,6-phospho-beta-glucosidase BglT,TM1281(1),GenBank
TM1282-MONOMER,glycosyltransferase family A protein,TM1282(),GenBank
TM1283-MONOMER,glycerol-3-phosphate acyltransferase,TM1283(),GenBank
TM1284-MONOMER,aromatic ring-hydroxylating dioxygenase subunit alpha,TM1284(),GenBank
TM_RS06525-MONOMER,hypothetical protein,TM_RS06525(),GenBank
TM1286-MONOMER,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,TM1286(1),GenBank
TM1287-MONOMER,cupin domain-containing protein,TM1287(),GenBank
TM1288-MONOMER,radical SAM protein,TM1288(),GenBank
TM1289-MONOMER,4Fe-4S binding protein,TM1289(),GenBank
TM1290-MONOMER,NifB/NifX family molybdenum-iron cluster-binding protein,TM1290(),GenBank
TM1291-MONOMER,ATP-binding protein,TM1291(),GenBank
TM1292-MONOMER,ATP-binding protein,TM1292(),GenBank
TM1293-MONOMER,class I SAM-dependent methyltransferase,TM1293(),GenBank
TM1294-MONOMER,RND family transporter,TM1294(),GenBank
TM1295-MONOMER,MBL fold metallo-hydrolase,TM1295(),GenBank
TM1296-MONOMER,viroplasmin family protein,TM1296(),GenBank
TM1297-MONOMER,aldo/keto reductase,TM1297(),GenBank
TM1298-MONOMER,hypothetical protein,TM1298(),GenBank
TM1300-MONOMER,hypothetical protein,TM1300(),GenBank
TM1301-MONOMER,radical SAM protein,TM1301(),GenBank
TM1302-MONOMER,ABC transporter ATP-binding protein,TM1302(),GenBank
TM1303-MONOMER,ABC transporter permease,TM1303(),GenBank
TM1304-MONOMER,ABC transporter permease,TM1304(),GenBank
TM1306-MONOMER,ABC transporter permease,TM1306(),GenBank
TM_RS09685-MONOMER,hypothetical protein,TM_RS09685(),GenBank
TM1310-MONOMER,ABC transporter ATP-binding protein,TM1310(),GenBank
TM1311-MONOMER,hypothetical protein,TM1311(),GenBank
TM1312-MONOMER,type II toxin-antitoxin system HicA family toxin,TM1312(),GenBank
TM1313-MONOMER,type II toxin-antitoxin system HicB family antitoxin,TM1313(),GenBank
TM1314-MONOMER,helix-turn-helix domain-containing protein,TM1314(),GenBank
TM1315-MONOMER,hypothetical protein,TM1315(),GenBank
TM1316-MONOMER,Cys-rich RiPP peptide,TM1316(),GenBank
TM1317-MONOMER,radical SAM protein,TM1317(),GenBank
TM1318-MONOMER,ABC transporter ATP-binding protein/permease,TM1318(),GenBank
TM1319-MONOMER,ABC transporter ATP-binding protein,TM1319(),GenBank
TM1320-MONOMER,type II toxin-antitoxin system HicA family toxin,TM1320(),GenBank
TM1321-MONOMER,type II toxin-antitoxin system HicB family antitoxin,TM1321(),GenBank
TM1322-MONOMER,hypothetical protein,TM1322(),GenBank
TM1324-MONOMER,radical SAM protein,TM1324(),GenBank
TM1325-MONOMER,radical SAM protein,TM1325(),GenBank
TM_RS06715-MONOMER,hypothetical protein,TM_RS06715(),GenBank
TM1326-MONOMER,ABC transporter permease,TM1326(),GenBank
TM1327-MONOMER,ATP-binding cassette domain-containing protein,TM1327(),GenBank
TM1328-MONOMER,ABC transporter ATP-binding protein,TM1328(),GenBank
TM1329-MONOMER,hypothetical protein,TM1329(),GenBank
TM1330-MONOMER,helix-turn-helix transcriptional regulator,TM1330(),GenBank
TM1331-MONOMER,hypothetical protein,TM1331(),GenBank
TM1332-MONOMER,hypothetical protein,TM1332(),GenBank
TM1334-MONOMER,radical SAM protein,TM1334(),GenBank
TM1335-MONOMER,hypothetical protein,TM1335(),GenBank
TM1336-MONOMER,MFS transporter,TM1336(),GenBank
TM1337-MONOMER,hypothetical protein,TM1337(),GenBank
TM1339-MONOMER,hypothetical protein,TM1339(),GenBank
TM1340-MONOMER,aromatic ring-hydroxylating dioxygenase subunit alpha,TM1340(),GenBank
TM1341-MONOMER,hypothetical protein,TM1341(),GenBank
TM1342-MONOMER,hypothetical protein,TM1342(),GenBank
TM_RS09695-MONOMER,pyrimidine dimer DNA glycosylase/endonuclease V,TM_RS09695(),GenBank
TM_RS09580-MONOMER,hypothetical protein,TM_RS09580(),GenBank
TM_RS09700-MONOMER,hypothetical protein,TM_RS09700(),GenBank
TM1344-MONOMER,30S ribosomal protein S15,TM1344(1),GenBank
TM1345-MONOMER,polyribonucleotide nucleotidyltransferase,TM1345(3),GenBank
TM1346-MONOMER,pitrilysin family protein,TM1346(),GenBank
TM1347-MONOMER,IMP dehydrogenase,TM1347(4),GenBank
TM1348-MONOMER,tetratricopeptide repeat protein,TM1348(),GenBank
TM1349-MONOMER,AI-2E family transporter,TM1349(),GenBank
TM1350-MONOMER,alpha/beta hydrolase,TM1350(),GenBank
TM1351-MONOMER,glutamate--tRNA ligase,TM1351(1),GenBank
TM1352-MONOMER,PHP domain-containing protein,TM1352(),GenBank
TM1353-MONOMER,DRTGG domain-containing protein,TM1353(),GenBank
TM1354-MONOMER,CBS domain-containing protein,TM1354(),GenBank
TM1355-MONOMER,DRTGG domain-containing protein,TM1355(),GenBank
TM1356-MONOMER,SoxR reducing system RseC family protein,TM1356(),GenBank
TM1357-MONOMER,RtcB family protein,TM1357(),GenBank
TM1358-MONOMER,Mut7-C RNAse domain-containing protein,TM1358(),GenBank
TM1359-MONOMER,sensor histidine kinase,TM1359(),GenBank
TM1360-MONOMER,response regulator,TM1360(),GenBank
TM1361-MONOMER,isoleucine--tRNA ligase,TM1361(1),GenBank
TM1362-MONOMER,type IV pilus twitching motility protein PilT,TM1362(),GenBank
TM1363-MONOMER,peptide chain release factor 1,TM1363(1),GenBank
TM1364-MONOMER,flagellar basal body rod protein FlgB,TM1364(),GenBank
TM1365-MONOMER,flagellar basal body rod protein FlgC,TM1365(),GenBank
TM1366-MONOMER,flagellar hook-basal body complex protein FliE,TM1366(),GenBank
TM1367-MONOMER,cyclophilin-like fold protein,TM1367(),GenBank
TM1368-MONOMER,Fe-S cluster assembly ATPase SufC,TM1368(),GenBank
TM1369-MONOMER,Fe-S cluster assembly protein SufB,TM1369(),GenBank
TM1370-MONOMER,SufD family Fe-S cluster assembly protein,TM1370(),GenBank
TM1371-MONOMER,cysteine desulfurase,TM1371(),GenBank
TM1372-MONOMER,SUF system NifU family Fe-S cluster assembly protein,TM1372(2),GenBank
TM1373-MONOMER,hypothetical protein,TM1373(),GenBank
TM1374-MONOMER,histidine phosphatase family protein,TM1374(1),GenBank
TM1375-MONOMER,extracellular solute-binding protein,TM1375(),GenBank
TM1376-MONOMER,ABC transporter ATP-binding protein,TM1376(),GenBank
TM1377-MONOMER,ABC transporter permease,TM1377(),GenBank
TM1378-MONOMER,ABC transporter permease,TM1378(),GenBank
TM1379-MONOMER,serine--tRNA ligase,TM1379(2),GenBank
TM1380-MONOMER,16S rRNA (uracil(1498)-N(3))-methyltransferase,TM1380(),GenBank
TM1381-MONOMER,hypothetical protein,TM1381(),GenBank
TM1382-MONOMER,NUDIX domain-containing protein,TM1382(),GenBank
TM1383-MONOMER,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,TM1383(2),GenBank
TM1384-MONOMER,adenine phosphoribosyltransferase,TM1384(2),GenBank
TM1385-MONOMER,glucose-6-phosphate isomerase,TM1385(2),GenBank
TM1386-MONOMER,hypothetical protein,TM1386(),GenBank
TM1387-MONOMER,dephospho-CoA kinase,TM1387(1),GenBank
TM1388-MONOMER,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,TM1388(),GenBank
TM1389-MONOMER,class I SAM-dependent methyltransferase,TM1389(),GenBank
TM1390-MONOMER,lysylphosphatidylglycerol synthase transmembrane domain-containing protein,TM1390(),GenBank
TM1391-MONOMER,ATP-dependent Clp protease ATP-binding subunit,TM1391(),GenBank
TM1392-MONOMER,DUF1844 domain-containing protein,TM1392(),GenBank
TM1393-MONOMER,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,TM1393(2),GenBank
TM1394-MONOMER,Hsp33 family molecular chaperone HslO,TM1394(),GenBank
TM1395-MONOMER,hypothetical protein,TM1395(),GenBank
TM1396-MONOMER,alanine--tRNA ligase,TM1396(4),GenBank
TM1397-MONOMER,phosphatidate cytidylyltransferase,TM1397(),GenBank
TM1398-MONOMER,isoprenyl transferase,TM1398(2),GenBank
TM1399-MONOMER,ribosome recycling factor,TM1399(1),GenBank
TM1400-MONOMER,serine-pyruvate aminotransferase,TM1400(),GenBank
TM1401-MONOMER,hydroxypyruvate reductase,TM1401(1),GenBank
TM1402-MONOMER,hypothetical protein,TM1402(),GenBank
TM1403-MONOMER,ATP-binding cassette domain-containing protein,TM1403(),GenBank
TM1404-MONOMER,ABC transporter permease,TM1404(),GenBank
TM1405-MONOMER,GT4 family glycosyltransferase PelF,TM1405(),GenBank
TM1406-MONOMER,hypothetical protein,TM1406(),GenBank
TM1407-MONOMER,histidine kinase,TM1407(),GenBank
TM1408-MONOMER,exopolysaccharide Pel transporter PelG,TM1408(),GenBank
TM1409-MONOMER,DUF2194 domain-containing protein,TM1409(),GenBank
TM1410-MONOMER,"endo alpha-1,4 polygalactosaminidase",TM1410(),GenBank
TM1411-MONOMER,AAA domain-containing protein,TM1411(),GenBank
TM1414-MONOMER,beta-fructosidase,TM1414(),GenBank
TM1415-MONOMER,"bifunctional fructose-1,6-bisphosphatase/inositol-1-monophosphatase",TM1415(),GenBank
TM1416-MONOMER,SufD family Fe-S cluster assembly protein,TM1416(),GenBank
TM1417-MONOMER,ABC transporter ATP-binding protein,TM1417(),GenBank
TM_RS07190-MONOMER,CDP-alcohol phosphatidyltransferase family protein,TM_RS07190(),GenBank
TM_RS07195-MONOMER,sugar phosphate nucleotidyltransferase,TM_RS07195(),GenBank
TM1419-MONOMER,inositol-3-phosphate synthase,TM1419(),GenBank
TM1420-MONOMER,NAD(P)H-dependent oxidoreductase subunit E,TM1420(),GenBank
TM1421-MONOMER,[Fe-Fe] hydrogenase large subunit C-terminal domain-containing protein,TM1421(),GenBank
TM1422-MONOMER,(Fe-S)-binding protein,TM1422(),GenBank
TM1423-MONOMER,SpoIIE family protein phosphatase,TM1423(),GenBank
TM1424-MONOMER,NADH-quinone oxidoreductase subunit NuoE,TM1424(),GenBank
TM1425-MONOMER,NADH-ubiquinone oxidoreductase-F iron-sulfur binding region domain-containing protein,TM1425(),GenBank
TM1426-MONOMER,[Fe-Fe] hydrogenase large subunit C-terminal domain-containing protein,TM1426(),GenBank
TM1427-MONOMER,redox-sensing transcriptional repressor Rex,TM1427(),GenBank
TM1428-MONOMER,methyl-accepting chemotaxis protein,TM1428(),GenBank
TM1429-MONOMER,aquaporin family protein,TM1429(4),GenBank
TM1430-MONOMER,glycerol kinase GlpK,TM1430(4),GenBank
TM1431-MONOMER,glycerol-3-phosphate responsive antiterminator,TM1431(),GenBank
TM1432-MONOMER,NAD(P)/FAD-dependent oxidoreductase,TM1432(),GenBank
TM1433-MONOMER,FAD-dependent oxidoreductase,TM1433(),GenBank
TM1434-MONOMER,DUF1667 domain-containing protein,TM1434(),GenBank
TM1435-MONOMER,CoA-binding protein,TM1435(),GenBank
TM1436-MONOMER,glycerol-3-phosphate responsive antiterminator,TM1436(),GenBank
TM1437-MONOMER,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,TM1437(1),GenBank
TM1438-MONOMER,DUF1957 domain-containing protein,TM1438(),GenBank
TM1439-MONOMER,DUF4912 domain-containing protein,TM1439(),GenBank
TM1440-MONOMER,translation initiation factor eIF-2B,TM1440(),GenBank
TM1441-MONOMER,aspartate--tRNA ligase,TM1441(2),GenBank
TM1442-MONOMER,STAS domain-containing protein,TM1442(),GenBank
TM1443-MONOMER,(d)CMP kinase,TM1443(1),GenBank
TM1444-MONOMER,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,TM1444(2),GenBank
TM_RS09715-MONOMER,S1 RNA-binding domain-containing protein,TM_RS09715(),GenBank
TM_RS09720-MONOMER,S1 RNA-binding domain-containing protein,TM_RS09720(),GenBank
TM1446-MONOMER,ribosome biogenesis GTPase Der,TM1446(),GenBank
TM1447-MONOMER,glycerol-3-phosphate 1-O-acyltransferase PlsY,TM1447(1),GenBank
TM1448-MONOMER,hypothetical protein,TM1448(),GenBank
TM1449-MONOMER,tetratricopeptide repeat protein,TM1449(),GenBank
TM1450-MONOMER,transcription-repair coupling factor,TM1450(1),GenBank
TM1451-MONOMER,RNA polymerase sigma factor RpoD,TM1451(1),GenBank
TM1452-MONOMER,DNA primase,TM1452(),GenBank
TM1453-MONOMER,30S ribosomal protein S9,TM1453(1),GenBank
TM1454-MONOMER,50S ribosomal protein L13,TM1454(1),GenBank
TM1455-MONOMER,ECF transporter S component,TM1455(),GenBank
TM1456-MONOMER,50S ribosomal protein L27,TM1456(1),GenBank
TM1457-MONOMER,ribosomal-processing cysteine protease Prp,TM1457(),GenBank
TM1458-MONOMER,50S ribosomal protein L21,TM1458(1),GenBank
TM1459-MONOMER,cupin domain-containing protein,TM1459(),GenBank
TM1460-MONOMER,protein jag,TM1460(),GenBank
TM1461-MONOMER,membrane protein insertase YidC,TM1461(1),GenBank
TM1462-MONOMER,membrane protein insertion efficiency factor YidD,TM1462(),GenBank
TM1463-MONOMER,ribonuclease P protein component,TM1463(),GenBank
TM1463a-MONOMER,50S ribosomal protein L34,TM1463a(),GenBank
TM1464-MONOMER,pseudouridine-5'-phosphate glycosidase,TM1464(),GenBank
TM1465-MONOMER,"cob(I)yrinic acid a,c-diamide adenosyltransferase",TM1465(1),GenBank
TM1466-MONOMER,ribosome biogenesis GTP-binding protein YihA/YsxC,TM1466(),GenBank
TM1467-MONOMER,HD-GYP domain-containing protein,TM1467(),GenBank
TM_RS07445-MONOMER,DUF5317 domain-containing protein,TM_RS07445(),GenBank
TM1468-MONOMER,DegV family protein,TM1468(),GenBank
TM1469-MONOMER,ROK family protein,TM1469(),GenBank
TM1470-MONOMER,transcription termination factor Rho,TM1470(6),GenBank
TM1471-MONOMER,50S ribosomal protein L17,TM1471(1),GenBank
TM1472-MONOMER,DNA-directed RNA polymerase subunit alpha,TM1472(),GenBank
TM1473-MONOMER,30S ribosomal protein S4,TM1473(1),GenBank
TM1474-MONOMER,30S ribosomal protein S11,TM1474(1),GenBank
TM1475-MONOMER,30S ribosomal protein S13,TM1475(1),GenBank
TM1476-MONOMER,50S ribosomal protein L36,TM1476(),GenBank
TM1477-MONOMER,translation initiation factor IF-1,TM1477(),GenBank
TM1478-MONOMER,type I methionyl aminopeptidase,TM1478(1),GenBank
TM1479-MONOMER,adenylate kinase,TM1479(1),GenBank
TM1480-MONOMER,preprotein translocase subunit SecY,TM1480(),GenBank
TM1481-MONOMER,50S ribosomal protein L15,TM1481(1),GenBank
TM1482-MONOMER,50S ribosomal protein L30,TM1482(),GenBank
TM1483-MONOMER,30S ribosomal protein S5,TM1483(1),GenBank
TM1484-MONOMER,50S ribosomal protein L18,TM1484(1),GenBank
TM1485-MONOMER,50S ribosomal protein L6,TM1485(1),GenBank
TM1486-MONOMER,30S ribosomal protein S8,TM1486(1),GenBank
TM1487-MONOMER,type Z 30S ribosomal protein S14,TM1487(1),GenBank
TM1488-MONOMER,50S ribosomal protein L5,TM1488(1),GenBank
TM1489-MONOMER,50S ribosomal protein L24,TM1489(1),GenBank
TM1490-MONOMER,50S ribosomal protein L14,TM1490(1),GenBank
TM1491-MONOMER,30S ribosomal protein S17,TM1491(1),GenBank
TM1492-MONOMER,50S ribosomal protein L29,TM1492(),GenBank
TM1493-MONOMER,50S ribosomal protein L16,TM1493(1),GenBank
TM1494-MONOMER,30S ribosomal protein S3,TM1494(1),GenBank
TM1495-MONOMER,50S ribosomal protein L22,TM1495(1),GenBank
TM1496-MONOMER,30S ribosomal protein S19,TM1496(1),GenBank
TM1497-MONOMER,50S ribosomal protein L2,TM1497(1),GenBank
TM1498-MONOMER,50S ribosomal protein L23,TM1498(1),GenBank
TM1499-MONOMER,50S ribosomal protein L4,TM1499(1),GenBank
TM1500-MONOMER,50S ribosomal protein L3,TM1500(1),GenBank
TM1501-MONOMER,30S ribosomal protein S10,TM1501(1),GenBank
TM1502-MONOMER,elongation factor Tu,TM1502(1),GenBank
TM1503-MONOMER,elongation factor G,TM1503(1),GenBank
TM1504-MONOMER,30S ribosomal protein S7,TM1504(1),GenBank
TM1505-MONOMER,30S ribosomal protein S12,TM1505(1),GenBank
TM1506-MONOMER,DUF1893 domain-containing protein,TM1506(),GenBank
TM1507-MONOMER,PhoH family protein,TM1507(),GenBank
TM1508-MONOMER,HD family phosphohydrolase,TM1508(),GenBank
TM1509-MONOMER,rRNA maturation RNase YbeY,TM1509(),GenBank
TM1510-MONOMER,DUF1015 domain-containing protein,TM1510(),GenBank
TM1511-MONOMER,zinc metallopeptidase,TM1511(),GenBank
TM1512-MONOMER,16S rRNA (cytosine(967)-C(5))-methyltransferase,TM1512(1),GenBank
TM1513-MONOMER,nucleotidyltransferase,TM1513(),GenBank
TM1514-MONOMER,hypothetical protein,TM1514(),GenBank
TM1515-MONOMER,Fur family transcriptional regulator,TM1515(),GenBank
TM1516-MONOMER,M20 family metallopeptidase,TM1516(),GenBank
TM1517-MONOMER,diaminopimelate decarboxylase,TM1517(4),GenBank
TM1518-MONOMER,aspartate kinase,TM1518(),GenBank
TM1519-MONOMER,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",TM1519(2),GenBank
TM1520-MONOMER,4-hydroxy-tetrahydrodipicolinate reductase,TM1520(4),GenBank
TM1521-MONOMER,4-hydroxy-tetrahydrodipicolinate synthase,TM1521(4),GenBank
TM1522-MONOMER,diaminopimelate epimerase,TM1522(1),GenBank
TM1523-MONOMER,aspartate-semialdehyde dehydrogenase,TM1523(),GenBank
TM1524-MONOMER,endoglucanase,TM1524(),GenBank
TM1525-MONOMER,endoglucanase,TM1525(),GenBank
