Gene Name	Left-End-Position	Right-End-Position	Product	Accession-1
SYNPCC7942_0410	401750	402022	SYNPCC7942_0410-MONOMER	SYNPCC7942_RS02090
SYNPCC7942_1302	1330250	1330726	SYNPCC7942_1302-MONOMER	SYNPCC7942_RS06660
SYNPCC7942_2301	2370542	2370814	SYNPCC7942_2301-MONOMER	SYNPCC7942_RS11695
SYNPCC7942_0379	373380	373763	SYNPCC7942_0379-MONOMER	SYNPCC7942_RS01930
SYNPCC7942_1248	1272551	1273123	SYNPCC7942_1248-MONOMER	SYNPCC7942_RS06395
SYNPCC7942_2267	2335846	2336103	SYNPCC7942_2267-MONOMER	SYNPCC7942_RS11520
SYNPCC7942_0340	335071	335652	SYNPCC7942_0340-MONOMER	SYNPCC7942_RS01735
SYNPCC7942_1187	1216357	1217532	SYNPCC7942_1187-MONOMER	SYNPCC7942_RS06080
SYNPCC7942_2194	2272634	2273002	SYNPCC7942_2194-MONOMER	SYNPCC7942_RS11145
SYNPCC7942_0286	281480	281842	SYNPCC7942_0286-MONOMER	SYNPCC7942_RS01455
SYNPCC7942_1154	1181136	1182443	SYNPCC7942_1154-MONOMER	SYNPCC7942_RS05915
SYNPCC7942_2165	2246989	2247369	SYNPCC7942_2165-MONOMER	SYNPCC7942_RS11005
SYNPCC7942_0230	226263	227309	SYNPCC7942_0230-MONOMER	SYNPCC7942_RS01170
SYNPCC7942_1117	1134381	1135043	SYNPCC7942_1117-MONOMER	SYNPCC7942_RS05725
SYNPCC7942_2135	2214773	2215456	SYNPCC7942_2135-MONOMER	SYNPCC7942_RS10830
SYNPCC7942_0200	201352	201888	SYNPCC7942_0200-MONOMER	SYNPCC7942_RS01015
SYNPCC7942_1075	1085645	1086433	SYNPCC7942_1075-MONOMER	SYNPCC7942_RS05515
SYNPCC7942_2075	2153766	2154017	SYNPCC7942_2075-MONOMER	SYNPCC7942_RS10520
SYNPCC7942_0163	163761	164510	SYNPCC7942_0163-MONOMER	SYNPCC7942_RS00825
SYNPCC7942_1036	1050754	1051257	SYNPCC7942_1036-MONOMER	SYNPCC7942_RS05320
SYNPCC7942_2033	2102330	2103022	SYNPCC7942_2033-MONOMER	SYNPCC7942_RS10315
SYNPCC7942_0130	128822	129409	SYNPCC7942_0130-MONOMER	SYNPCC7942_RS00660
SYNPCC7942_0993	1001766	1003145	SYNPCC7942_0993-MONOMER	SYNPCC7942_RS05100
SYNPCC7942_1993	2063554	2064174	SYNPCC7942_1993-MONOMER	SYNPCC7942_RS10105
SYNPCC7942_0084	81217	81918	SYNPCC7942_0084-MONOMER	SYNPCC7942_RS00415
SYNPCC7942_0945	952793	953767	SYNPCC7942_0945-MONOMER	SYNPCC7942_RS04860
SYNPCC7942_1948	2023694	2023939	SYNPCC7942_1948-MONOMER	SYNPCC7942_RS09885
SYNPCC7942_0043	41131	41496	SYNPCC7942_0043-MONOMER	SYNPCC7942_RS00215
SYNPCC7942_0904	914613	915158	SYNPCC7942_0904-MONOMER	SYNPCC7942_RS04660
SYNPCC7942_1903	1976983	1978113	SYNPCC7942_1903-MONOMER	SYNPCC7942_RS09650
SYNPCC7942_0008	8536	8859	SYNPCC7942_0008-MONOMER	SYNPCC7942_RS00040
SYNPCC7942_0866	868540	869121	SYNPCC7942_0866-MONOMER	SYNPCC7942_RS04465
SYNPCC7942_1846	1911978	1913807	SYNPCC7942_1846-MONOMER	SYNPCC7942_RS09365
SYNPCC7942_0833	827112	828182	SYNPCC7942_0833-MONOMER	SYNPCC7942_RS04310
SYNPCC7942_1819	1892346	1892930	SYNPCC7942_1819-MONOMER	SYNPCC7942_RS09235
SYNPCC7942_0796	791175	791720	SYNPCC7942_0796-MONOMER	SYNPCC7942_RS04120
SYNPCC7942_1776	1840742	1840999	SYNPCC7942_1776-MONOMER	SYNPCC7942_RS09025
SYNPCC7942_0761	754779	755507	SYNPCC7942_0761-MONOMER	SYNPCC7942_RS03940
SYNPCC7942_1748	1818990	1819751	SYNPCC7942_1748-MONOMER	SYNPCC7942_RS08895
SYNPCC7942_0739	733536	733880	SYNPCC7942_0739-MONOMER	SYNPCC7942_RS03830
SYNPCC7942_1695	1762639	1763637	SYNPCC7942_1695-MONOMER	SYNPCC7942_RS08630
SYNPCC7942_0709	700511	700840	SYNPCC7942_0709-MONOMER	SYNPCC7942_RS03635
SYNPCC7942_1657	1728453	1728674	SYNPCC7942_1657-MONOMER	SYNPCC7942_RS08450
SYNPCC7942_B2648	2063	2329	SYNPCC7942_B2648-MONOMER	SYNPCC7942_RS13350
SYNPCC7942_0671	666156	666653	SYNPCC7942_0671-MONOMER	SYNPCC7942_RS03435
SYNPCC7942_1626	1695068	1695550	SYNPCC7942_1626-MONOMER	SYNPCC7942_RS08295
SYNPCC7942_B2617	9300	9845	SYNPCC7942_B2617-MONOMER	SYNPCC7942_RS13395
SYNPCC7942_0627	620462	621226	SYNPCC7942_0627-MONOMER	SYNPCC7942_RS03220
SYNPCC7942_1565	1622970	1623410	SYNPCC7942_1565-MONOMER	SYNPCC7942_RS07995
SYNPCC7942_2583	2668299	2668931	SYNPCC7942_2583-MONOMER	SYNPCC7942_RS13155
SYNPCC7942_0581	562634	562981	SYNPCC7942_0581-MONOMER	SYNPCC7942_RS02955
SYNPCC7942_1526	1585287	1586078	SYNPCC7942_1526-MONOMER	SYNPCC7942_RS07800
SYNPCC7942_2528	2609741	2610427	SYNPCC7942_2528-MONOMER	SYNPCC7942_RS12835
SYNPCC7942_0547	530057	530566	SYNPCC7942_0547-MONOMER	SYNPCC7942_RS02785
SYNPCC7942_1476	1527717	1528031	SYNPCC7942_1476-MONOMER	SYNPCC7942_RS07545
SYNPCC7942_2483	2563680	2565164	SYNPCC7942_2483-MONOMER	SYNPCC7942_RS12610
SYNPCC7942_0518	504393	505556	SYNPCC7942_0518-MONOMER	SYNPCC7942_RS02630
SYNPCC7942_1429	1482857	1483267	SYNPCC7942_1429-MONOMER	SYNPCC7942_RS07310
SYNPCC7942_2432	2506121	2506729	SYNPCC7942_2432-MONOMER	SYNPCC7942_RS12355
SYNPCC7942_0476	460552	460962	SYNPCC7942_0476-MONOMER	
SYNPCC7942_1378	1419926	1421167	SYNPCC7942_1378-MONOMER	SYNPCC7942_RS07050
SYNPCC7942_2399	2472923	2474101	SYNPCC7942_2399-MONOMER	SYNPCC7942_RS12190
SYNPCC7942_0433	423632	424840	SYNPCC7942_0433-MONOMER	SYNPCC7942_RS02210
SYNPCC7942_1338	1372863	1373645	SYNPCC7942_1338-MONOMER	SYNPCC7942_RS06840
SYNPCC7942_2355	2421779	2422102	SYNPCC7942_2355-MONOMER	SYNPCC7942_RS11965
SYNPCC7942_0403	397398	397577	SYNPCC7942_0403-MONOMER	SYNPCC7942_RS02055
SYNPCC7942_1288	1311028	1311534	SYNPCC7942_1288-MONOMER	SYNPCC7942_RS06595
SYNPCC7942_2294	2364152	2364988	SYNPCC7942_2294-MONOMER	SYNPCC7942_RS11660
SYNPCC7942_0373	366738	368024	SYNPCC7942_0373-MONOMER	SYNPCC7942_RS01900
SYNPCC7942_1234	1254739	1255242	SYNPCC7942_1234-MONOMER	SYNPCC7942_RS06325
SYNPCC7942_2257	2326665	2326832	SYNPCC7942_2257-MONOMER	
SYNPCC7942_0329	326113	327357	SYNPCC7942_0329-MONOMER	SYNPCC7942_RS01675
SYNPCC7942_1173	1207866	1209134	SYNPCC7942_1173-MONOMER	SYNPCC7942_RS06015
SYNPCC7942_2187	2265698	2266102	SYNPCC7942_2187-MONOMER	SYNPCC7942_RS11115
SYNPCC7942_0269	264976	265857	SYNPCC7942_0269-MONOMER	SYNPCC7942_RS01370
SYNPCC7942_1147	1171571	1172278	SYNPCC7942_1147-MONOMER	SYNPCC7942_RS05875
SYNPCC7942_2161	2243880	2244536	SYNPCC7942_2161-MONOMER	SYNPCC7942_RS10980
SYNPCC7942_0225	224060	224263	SYNPCC7942_0225-MONOMER	SYNPCC7942_RS01145
SYNPCC7942_1106	1123678	1124148	SYNPCC7942_1106-MONOMER	SYNPCC7942_RS05670
SYNPCC7942_2126	2206400	2206804	SYNPCC7942_2126-MONOMER	SYNPCC7942_RS10780
SYNPCC7942_0193	192247	192471	SYNPCC7942_0193-MONOMER	SYNPCC7942_RS00980
SYNPCC7942_1069	1080999	1081727	SYNPCC7942_1069-MONOMER	SYNPCC7942_RS05485
SYNPCC7942_2061	2138194	2138463	SYNPCC7942_2061-MONOMER	SYNPCC7942_RS10455
SYNPCC7942_0157	159042	159560	SYNPCC7942_0157-MONOMER	SYNPCC7942_RS00795
SYNPCC7942_1031	1046015	1046356	SYNPCC7942_1031-MONOMER	
SYNPCC7942_2023	2091760	2092221	SYNPCC7942_2023-MONOMER	SYNPCC7942_RS10265
SYNPCC7942_0121	120013	121239	SYNPCC7942_0121-MONOMER	SYNPCC7942_RS00610
SYNPCC7942_0985	993654	995036	SYNPCC7942_0985-MONOMER	SYNPCC7942_RS05060
SYNPCC7942_1987	2057819	2058133	SYNPCC7942_1987-MONOMER	SYNPCC7942_RS10075
SYNPCC7942_0072	71307	71960	SYNPCC7942_0072-MONOMER	SYNPCC7942_RS00355
SYNPCC7942_0934	940995	942056	SYNPCC7942_0934-MONOMER	SYNPCC7942_RS04805
SYNPCC7942_1941	2014681	2015577	SYNPCC7942_1941-MONOMER	SYNPCC7942_RS09850
SYNPCC7942_0035	34357	35115	SYNPCC7942_0035-MONOMER	SYNPCC7942_RS00175
SYNPCC7942_0899	908498	909295	SYNPCC7942_0899-MONOMER	SYNPCC7942_RS04635
SYNPCC7942_1891	1964412	1964972	SYNPCC7942_1891-MONOMER	SYNPCC7942_RS09590
SYNPCC7942_0005	6111	7706	SYNPCC7942_0005-MONOMER	SYNPCC7942_RS00025
SYNPCC7942_0863	866027	867208	SYNPCC7942_0863-MONOMER	SYNPCC7942_RS04450
SYNPCC7942_1840	1906920	1907426	SYNPCC7942_1840-MONOMER	SYNPCC7942_RS09335
SYNPCC7942_0826	820693	821628	SYNPCC7942_0826-MONOMER	SYNPCC7942_RS04270
SYNPCC7942_1804	1873843	1874397	SYNPCC7942_1804-MONOMER	SYNPCC7942_RS09165
SYNPCC7942_0789	784844	785167	SYNPCC7942_0789-MONOMER	SYNPCC7942_RS04085
SYNPCC7942_1769	1836408	1836794	SYNPCC7942_1769-MONOMER	SYNPCC7942_RS08990
SYNPCC7942_0758	751959	752381	SYNPCC7942_0758-MONOMER	
SYNPCC7942_1732	1803168	1803578	SYNPCC7942_1732-MONOMER	SYNPCC7942_RS08815
SYNPCC7942_0734	729177	731051	SYNPCC7942_0734-MONOMER	SYNPCC7942_RS03795
SYNPCC7942_1683	1751063	1751308	SYNPCC7942_1683-MONOMER	SYNPCC7942_RS08575
SYNPCC7942_1676	1744816	1745469	SYNPCC7942_1676-MONOMER	SYNPCC7942_RS08540
SYNPCC7942_0702	693257	694045	SYNPCC7942_0702-MONOMER	SYNPCC7942_RS03600
SYNPCC7942_1647	1715266	1716186	SYNPCC7942_1647-MONOMER	SYNPCC7942_RS08400
SYNPCC7942_B2640	35646	36077	SYNPCC7942_B2640-MONOMER	SYNPCC7942_RS13535
SYNPCC7942_0665	662232	662978	SYNPCC7942_0665-MONOMER	SYNPCC7942_RS03405
SYNPCC7942_1613	1682042	1682617	SYNPCC7942_1613-MONOMER	SYNPCC7942_RS08230
SYNPCC7942_2611	2692993	2693757	SYNPCC7942_2611-MONOMER	SYNPCC7942_RS13300
SYNPCC7942_0619	609153	609788	SYNPCC7942_0619-MONOMER	SYNPCC7942_RS03175
SYNPCC7942_1560	1617134	1617292	SYNPCC7942_1560-MONOMER	
SYNPCC7942_2572	2652060	2652377	SYNPCC7942_2572-MONOMER	SYNPCC7942_RS13070
SYNPCC7942_0574	555612	556442	SYNPCC7942_0574-MONOMER	SYNPCC7942_RS02925
SYNPCC7942_1506	1556097	1556513	SYNPCC7942_1506-MONOMER	SYNPCC7942_RS07695
SYNPCC7942_2517	2597031	2597729	SYNPCC7942_2517-MONOMER	SYNPCC7942_RS12780
SYNPCC7942_0543	526250	526813	SYNPCC7942_0543-MONOMER	SYNPCC7942_RS02765
SYNPCC7942_1470	1522712	1523005	SYNPCC7942_1470-MONOMER	
SYNPCC7942_2477	2558588	2559484	SYNPCC7942_2477-MONOMER	SYNPCC7942_RS12585
SYNPCC7942_0509	495460	495933	SYNPCC7942_0509-MONOMER	SYNPCC7942_RS02585
SYNPCC7942_1413	1464941	1465696	SYNPCC7942_1413-MONOMER	SYNPCC7942_RS07230
SYNPCC7942_2422	2493978	2494844	SYNPCC7942_2422-MONOMER	SYNPCC7942_RS12305
SYNPCC7942_0470	457211	457744	SYNPCC7942_0470-MONOMER	SYNPCC7942_RS02400
SYNPCC7942_1370	1407963	1408202	SYNPCC7942_1370-MONOMER	SYNPCC7942_RS07010
SYNPCC7942_2392	2466045	2467505	SYNPCC7942_2392-MONOMER	SYNPCC7942_RS12155
SYNPCC7942_0425	415064	415441	SYNPCC7942_0425-MONOMER	SYNPCC7942_RS02170
SYNPCC7942_1330	1362508	1363164	SYNPCC7942_1330-MONOMER	SYNPCC7942_RS06800
SYNPCC7942_2342	2410477	2410977	SYNPCC7942_2342-MONOMER	SYNPCC7942_RS11900
SYNPCC7942_0395	388494	389618	SYNPCC7942_0395-MONOMER	SYNPCC7942_RS02015
SYNPCC7942_1279	1301796	1302047	SYNPCC7942_1279-MONOMER	SYNPCC7942_RS06550
SYNPCC7942_2287	2357146	2358120	SYNPCC7942_2287-MONOMER	SYNPCC7942_RS11625
SYNPCC7942_0363	355509	355793	SYNPCC7942_0363-MONOMER	SYNPCC7942_RS01850
SYNPCC7942_1212	1235830	1236090	SYNPCC7942_1212-MONOMER	SYNPCC7942_RS06205
SYNPCC7942_2254	2323399	2324757	SYNPCC7942_2254-MONOMER	SYNPCC7942_RS11460
SYNPCC7942_0316	314432	314623	SYNPCC7942_0316-MONOMER	SYNPCC7942_RS01610
SYNPCC7942_1166	1199437	1200762	SYNPCC7942_1166-MONOMER	SYNPCC7942_RS05980
SYNPCC7942_2182	2261244	2261429	SYNPCC7942_2182-MONOMER	SYNPCC7942_RS11090
SYNPCC7942_0259	255474	255806	SYNPCC7942_0259-MONOMER	SYNPCC7942_RS01320
SYNPCC7942_1143	1168605	1169201	SYNPCC7942_1143-MONOMER	SYNPCC7942_RS05850
SYNPCC7942_2155	2238733	2239176	SYNPCC7942_2155-MONOMER	SYNPCC7942_RS10950
SYNPCC7942_0222	222532	223398	SYNPCC7942_0222-MONOMER	SYNPCC7942_RS01130
SYNPCC7942_1097	1114822	1114947	SYNPCC7942_1097-MONOMER	
SYNPCC7942_2116	2197290	2198150	SYNPCC7942_2116-MONOMER	SYNPCC7942_RS10730
SYNPCC7942_0182	180156	180881	SYNPCC7942_0182-MONOMER	SYNPCC7942_RS00925
SYNPCC7942_1063	1073494	1073742	SYNPCC7942_1063-MONOMER	SYNPCC7942_RS05455
SYNPCC7942_2054	2132256	2133197	SYNPCC7942_2054-MONOMER	SYNPCC7942_RS10420
SYNPCC7942_0153	156026	156307	SYNPCC7942_0153-MONOMER	SYNPCC7942_RS00775
SYNPCC7942_1024	1038106	1039098	SYNPCC7942_1024-MONOMER	SYNPCC7942_RS05260
SYNPCC7942_2018	2085584	2085829	SYNPCC7942_2018-MONOMER	SYNPCC7942_RS10240
SYNPCC7942_0114	113327	113698	SYNPCC7942_0114-MONOMER	SYNPCC7942_RS00580
SYNPCC7942_0980	988653	989276	SYNPCC7942_0980-MONOMER	SYNPCC7942_RS05035
SYNPCC7942_1975	2045410	2045763	SYNPCC7942_1975-MONOMER	SYNPCC7942_RS10015
SYNPCC7942_0066	65658	67172	SYNPCC7942_0066-MONOMER	SYNPCC7942_RS00325
SYNPCC7942_0921	927092	927394	SYNPCC7942_0921-MONOMER	SYNPCC7942_RS04740
SYNPCC7942_1930	2004305	2005048	SYNPCC7942_1930-MONOMER	SYNPCC7942_RS09795
SYNPCC7942_0029	30012	30833	SYNPCC7942_0029-MONOMER	SYNPCC7942_RS00150
SYNPCC7942_0889	894636	896453	SYNPCC7942_0889-MONOMER	SYNPCC7942_RS04580
SYNPCC7942_1888	1960851	1961891	SYNPCC7942_1888-MONOMER	SYNPCC7942_RS09575
HTX97_RS00035	6605	6793	HTX97_RS00035-MONOMER	
SYNPCC7942_0854	850233	852629	SYNPCC7942_0854-MONOMER	SYNPCC7942_RS04405
SYNPCC7942_1836	1903658	1903990	SYNPCC7942_1836-MONOMER	SYNPCC7942_RS09315
SYNPCC7942_0823	817168	818214	SYNPCC7942_0823-MONOMER	SYNPCC7942_RS04255
SYNPCC7942_1798	1867864	1868490	SYNPCC7942_1798-MONOMER	SYNPCC7942_RS09135
SYNPCC7942_0778	769574	770038	SYNPCC7942_0778-MONOMER	SYNPCC7942_RS04035
SYNPCC7942_1764	1831862	1832230	SYNPCC7942_1764-MONOMER	SYNPCC7942_RS08965
SYNPCC7942_0754	749183	749431	SYNPCC7942_0754-MONOMER	SYNPCC7942_RS03905
SYNPCC7942_1728	1800372	1800887	SYNPCC7942_1728-MONOMER	SYNPCC7942_RS08795
SYNPCC7942_0729	723806	724411	SYNPCC7942_0729-MONOMER	SYNPCC7942_RS03770
SYNPCC7942_0693	686247	687080	SYNPCC7942_0693-MONOMER	SYNPCC7942_RS03555
SYNPCC7942_1642	1709180	1710250	SYNPCC7942_1642-MONOMER	SYNPCC7942_RS08375
SYNPCC7942_B2636	33473	33760	SYNPCC7942_B2636-MONOMER	SYNPCC7942_RS13515
SYNPCC7942_0658	653558	653770	SYNPCC7942_0658-MONOMER	SYNPCC7942_RS03370
SYNPCC7942_1601	1667058	1667231	SYNPCC7942_1601-MONOMER	
SYNPCC7942_2605	2687378	2688034	SYNPCC7942_2605-MONOMER	SYNPCC7942_RS13270
SYNPCC7942_0610	597977	599776	SYNPCC7942_0610-MONOMER	SYNPCC7942_RS03130
SYNPCC7942_1556	1612870	1613448	SYNPCC7942_1556-MONOMER	SYNPCC7942_RS07935
