Reaction,Complexes
BUTKr,GMET_RS10620-MONOMER OR GMET_RS10725-MONOMER
BUTSO3abcpp,CPLX2LZ9-47 OR CPLX2LZ9-48
BUTSO3tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
BUTt2rpp,GMET_RS15200-MONOMER OR GMET_RS03705-MONOMER OR GMET_RS16480-MONOMER
BUTt4pp,GMET_RS15200-MONOMER OR GMET_RS03705-MONOMER OR GMET_RS16480-MONOMER
BUTtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
BWCOGDS1,GMET_RS01505-MONOMER OR GMET_RS05330-MONOMER
BWCOGDS2,GMET_RS01505-MONOMER OR GMET_RS05330-MONOMER
BWCOS,GMET_RS05195-MONOMER OR GMET_RS01680-MONOMER OR GMET_RS09085-MONOMER
BZALCtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
BZALDH,GMET_RS11255-MONOMER
BZALtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
BZDH,GMET_RS10740-MONOMER
BZSCD,GMET_RS07670-MONOMER
BZSCT,CPLX_BZSCT-0
BZSS,CPLX_BZSS-0
BZtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
CA2abcpp,GMET_RS17535-MONOMER
CA2tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
CBIAT,GMET_RS07910-MONOMER
CBLAT,GMET_RS07910-MONOMER
CBMKr,GMET_RS13960-MONOMER
CBPAH,GMET_RS03565-MONOMER
CBPS,CPLX2LZ9-22_mod_mg2(1) OR CPLX2LZ9-22_mod_mn2(1) OR CPLX2LZ9-22_mod_cobalt2(1) OR CPLX2LZ9-22_mod_cd2(1) OR CPLX2LZ9-22_mod_zn2(1) OR CPLX_CBPS-0
CCGS,GMET_RS15410-MONOMER
CD2t4pp,CPLX_CD2t4pp-0 OR CPLX_CD2t4pp-1 OR CPLX_CD2t4pp-2 OR CPLX_CD2t4pp-3
CD2tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
CDGR,GMET_RS08345-MONOMER
CDGS1,CPLX_CDGS1-0 OR CPLX_CDGS1-1 OR CPLX_CDGS1-2 OR CPLX_CDGS1-3
