Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
STM0483	STM0483	540245	540796	STM0483-MONOMER
STM2668	STM2668	2809381	2810289	STM2668-MONOMER
STM3685	STM3685	3875279	3877195	STM3685-MONOMER
STM0706	STM0706	772359	774038	STM0706-MONOMER
STM2398	STM2398	2510500	2511693	STM2398-MONOMER
STM4108	STM4108	4322716	4323819	STM4108-MONOMER
STM4182	STM4182	4400854	4401783	STM4182-MONOMER
STM2495	STM2495	2609473	2609832	STM2495-MONOMER
STM0952	STM0952	1029348	1030259	STM0952-MONOMER
STM3622	STM3622	3804676	3806247	STM3622-MONOMER
STM2721	STM2721	2863063	2863896	STM2721-MONOMER
STM1165	STM1165	1250340	1250987	STM1165-MONOMER
STM1412	STM1412	1492220	1493236	STM1412-MONOMER
STM3158	STM3158	3319584	3320009	STM3158-MONOMER
PSLT098	PSLT098	77644	77937	PSLT098-MONOMER
STM1638	STM1638	1729109	1729546	STM1638-MONOMER
STM1892	STM1892	1987384	1988190	STM1892-MONOMER
PSLT059	PSLT059	49480	50160	PSLT059-MONOMER
STM3195	STM3195	3357858	3358511	STM3195-MONOMER
STM2950	STM2950	3093391	3094188	STM2950-MONOMER
STM0458	STM0458	515101	516156	STM0458-MONOMER
STM2687	STM2687	2825861	2826337	STM2687-MONOMER
STM3667	STM3667	3854621	3855421	STM3667-MONOMER
STM0200	STM0200	235735	236265	STM0200-MONOMER
STM2368	STM2368	2480461	2481273	STM2368-MONOMER
STM4127	STM4127	4345592	4346227	STM4127-MONOMER
STM4157	STM4157	4375363	4376373	STM4157-MONOMER
STM3427	STM3427	3589847	3590152	STM3427-MONOMER
STM0928	STM0928	1002091	1003329	STM0928-MONOMER
STM3642	STM3642	3829364	3829945	STM3642-MONOMER
STM2705	STM2705	2853412	2854029	STM2705-MONOMER
STM2121	STM2121	2206884	2207465	STM2121-MONOMER
STM1395	STM1395	1481867	1483078	STM1395-MONOMER
STM3176	STM3176	3340261	3340653	STM3176-MONOMER
PSLT080	PSLT080	63893	64633	PSLT080-MONOMER
STM3888	STM3888	4098960	4099664	STM3888-MONOMER
STM1871	STM1871	1967023	1967919	STM1871-MONOMER
STM4066	STM4066	4276962	4277921	STM4066-MONOMER
STM3890	STM3890	4101772	4101844	STM3890-tRNA
STM4387	STM4387	4628114	4628968	STM4387-MONOMER
STM0440	STM0440	494257	494586	STM0440-MONOMER
STM2990	STM2990	3141176	3141249	STM2990-tRNA
STM2467	STM2467	2576555	2577358	STM2467-MONOMER
STM0689	STM0689	751374	752678	STM0689-MONOMER
STM2350	STM2350	2461185	2462078	STM2350-MONOMER
STM2052	STM2052	2127624	2128736	STM2052-MONOMER
STM1942	STM1942	2035363	2035446	STM1942-tRNA
STM2474	STM2474	2583499	2585499	STM2474-MONOMER
STM0912	STM0912	983266	985452	STM0912-MONOMER
STM0751	STM0751	818778	818850	STM0751-tRNA
STM0250	STM0250	290801	290874	STM0250-tRNA
STM1142	STM1142	1229717	1230367	STM1142-MONOMER
STM1371	STM1371	1454187	1454933	STM1371-MONOMER
STM4353	STM4353	4596660	4596732	STM4353-tRNA
STM3991	STM3991	4198129	4201123	STM3991-rRNA
STM1617	STM1617	1705913	1706545	STM1617-MONOMER
STM1844	STM1844	1940056	1940937	STM1844-MONOMER
STM3634	STM3634	3820424	3820497	STM3634-tRNA
STM2825	STM2825	2970560	2970649	STM2825-tRNA
STM2931	STM2931	3071481	3071792	STM2931-MONOMER
STM0424	STM0424	477417	477659	STM0424-MONOMER
STM2419	STM2419	2532152	2532224	STM2419-tRNA
STM2047	STM2047	2123802	2124434	STM2047-MONOMER
STM0184	STM0184	213874	215292	STM0184-MONOMER
STM2330	STM2330	2440124	2441062	STM2330-MONOMER
STM1757	STM1757	1852564	1852645	STM1757-tRNA
STM0677	STM0677	738455	738526	STM0677-tRNA
STM3410	STM3410	3581296	3581709	STM3410-MONOMER
STM0896	STM0896	965344	965736	STM0896-MONOMER
STM0162	STM0162	191150	192421	STM0162-MONOMER
STM4180	STM4180	4399810	4399931	STM4180-rRNA
STM2104	STM2104	2187017	2188387	STM2104-MONOMER
STM1349	STM1349	1427761	1430139	STM1349-MONOMER
STM3988	STM3988	4196072	4197613	STM3988-rRNA
STM3396	STM3396	3567085	3570078	STM3396-rRNA
STM3870	STM3870	4079079	4079318	STM3870-MONOMER
STM1821	STM1821	1918512	1920422	STM1821-MONOMER
STM2822	STM2822	2970202	2970275	STM2822-tRNA
STM2416	STM2416	2531834	2531906	STM2416-tRNA
STM4365	STM4365	4608811	4609008	STM4365-MONOMER
STM0404	STM0404	459561	460625	STM0404-MONOMER
STM2040	STM2040	2117955	2119619	STM2040-MONOMER
STM1363	STM1363	1444822	1444928	STM1363-RNA
STM0663	STM0663	727338	728012	STM0663-MONOMER
STM2312	STM2312	2419137	2419598	STM2312-MONOMER
STM0674	STM0674	738132	738203	STM0674-tRNA
STM4177	STM4177	4394688	4396232	STM4177-rRNA
STM2453	STM2453	2562582	2563859	STM2453-MONOMER
STM4582	STM4582	4839017	4840990	STM4582-MONOMER
STM3932	STM3932	4141052	4141124	STM3932-tRNA
STM3393	STM3393	3566629	3566750	STM3393-rRNA
STM1119	STM1119	1205211	1205807	STM1119-MONOMER
STM2643	STM2643	2782906	2784240	STM2643-MONOMER
STM2659	STM2659	2800121	2801663	STM2659-rRNA
STM2394	STM2394	2505821	2505892	STM2394-tRNA
STM1593	STM1593	1679765	1681084	STM1593-MONOMER
PSLT019	PSLT019	14362	14664	PSLT019-MONOMER
STM2004	STM2004	2084217	2084289	STM2004-tRNA
STM1134	STM1134	1224732	1224816	STM1134-tRNA
STM2912	STM2912	3054582	3055514	STM2912-MONOMER
STM3117	STM3117	3276387	3276821	STM3117-MONOMER
STM0467	STM0467	524427	524542	STM0467-RNA
STM4143	STM4143	4360143	4360224	STM4143-tRNA
STM0166	STM0166	195016	195876	STM0166-MONOMER
STM3581	STM3581	3748235	3749494	STM3581-MONOMER
STM3895	STM3895	4105296	4105375	STM3895-tRNA
STM3246	STM3246	3414806	3415186	STM3246-RNA
STM3383	STM3383	3553736	3554617	STM3383-MONOMER
STM4072	STM4072	4280619	4282211	STM4072-MONOMER
STM2656	STM2656	2796443	2796564	STM2656-rRNA
STM2229	STM2229	2330748	2330821	STM2229-tRNA
STM2088	STM2088	2168622	2169914	STM2088-MONOMER
STM0852	STM0852	923532	924857	STM0852-MONOMER
STM1985	STM1985	2068647	2068736	STM1985-RNA
STM0755	STM0755	819399	819471	STM0755-tRNA
STM3853	STM3853	4060013	4060738	STM3853-MONOMER
STM1308	STM1308	1388548	1389033	STM1308-MONOMER
STM0254	STM0254	294839	294912	STM0254-tRNA
STM4553	STM4553	4810631	4810714	STM4553-tRNA
STM4345	STM4345	4587314	4588816	STM4345-MONOMER
STM3093	STM3093	3255411	3256118	STM3093-MONOMER
STM4135	STM4135	4353200	4356193	STM4135-rRNA
STM4132	STM4132	4351143	4352686	STM4132-rRNA
STM0642	STM0642	704429	704746	STM0642-MONOMER
STM3559	STM3559	3728313	3728540	STM3559-MONOMER
STM3891	STM3891	4102041	4105034	STM3891-rRNA
STM3037	STM3037	3197431	3197501	STM3037-tRNA
STM2431	STM2431	2544585	2544842	STM2431-MONOMER
STM4049	STM4049	4260067	4260915	STM4049-MONOMER
STM2468	STM2468	2577355	2578044	STM2468-MONOMER
STM2053	STM2053	2128733	2130088	STM2053-MONOMER
STM1101	STM1101	1188209	1189498	STM1101-MONOMER
STM0834	STM0834	900115	901695	STM0834-MONOMER
STM1943	STM1943	2035461	2035531	STM1943-tRNA
STM0752	STM0752	818985	819057	STM0752-tRNA
STM1572	STM1572	1655166	1656254	STM1572-MONOMER
STM1289	STM1289	1367465	1368349	STM1289-MONOMER
STM0251	STM0251	290987	291059	STM0251-tRNA
STM4354	STM4354	4596892	4596964	STM4354-tRNA
STM2892	STM2892	3035253	3036263	STM2892-MONOMER
STM3074	STM3074	3235028	3235705	STM3074-MONOMER
STM3992	STM3992	4201315	4201436	STM3992-rRNA
STM3751	STM3751	3948588	3948678	STM3751-tRNA
STM0144	STM0144	167714	168151	STM0144-MONOMER
STM3536	STM3536	3702824	3704119	STM3536-MONOMER
STM2966	STM2966	3116703	3117057	STM2966-RNA
STM2461	STM2461	2571369	2572556	STM2461-MONOMER
STM3360	STM3360	3528035	3528505	STM3360-MONOMER
STM4028	STM4028	4238224	4238661	STM4028-MONOMER
STM2050	STM2050	2125211	2126221	STM2050-MONOMER
STM1758	STM1758	1852677	1852819	STM1758-RNA
