	From Builder	From OSM
THIORDXi	BTUE-MONOMER OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1	BTUE-MONOMER OR CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
THRabcpp	ABC-15-CPLX	ABC-15-CPLX OR ABC-304-CPLX
THZPSN3	CPLX_THZPSN3-0	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_MOADSUx-0 OR CPLX_THZPSN3-0 OR IscS_mod_pydx5p(2) OR IscS_mod_pydx5p(2)_mod_SH(1)
TRDR	CPLX_TRDR-0 OR CPLX_TRDR-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
TREptspp	CPLX-168	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
TTRCYCtpp	CPLX0-3932 OR TRANS-CPLX-201	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
UACGALPpp	USHA-MONOMER_mod_zn2(1)	USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
UACGAMPpp	USHA-MONOMER_mod_zn2(1)	USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
UAGAAT	CPLX_UAGAAT-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
UDPGALPpp	USHA-MONOMER_mod_zn2(1)	USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
UDPGPpp	USHA-MONOMER_mod_zn2(1)	USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
UGLCURPpp	USHA-MONOMER_mod_zn2(1)	USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
VALTA	BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6)	BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(1) OR BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6)
VALabcpp	ABC-15-CPLX	ABC-15-CPLX OR ABC-304-CPLX
