reaction	lb	ub
DM_RNA_b4513	0.0	1000.0
DM_RNA_b0696	0.0	1000.0
DM_RNA_b0697	0.0	1000.0
DM_RNA_b0698	0.0	1000.0
DM_RNA_b0403	0.0	1000.0
DM_RNA_b1388	0.0	1000.0
DM_RNA_b1395	0.0	1000.0
DM_RNA_b1397	0.0	1000.0
DM_RNA_b1391	0.0	1000.0
DM_RNA_b1390	0.0	1000.0
DM_RNA_b1398	0.0	1000.0
DM_RNA_b1393	0.0	1000.0
DM_RNA_b1392	0.0	1000.0
DM_RNA_b1394	0.0	1000.0
DM_RNA_b1389	0.0	1000.0
DM_RNA_b1975	0.0	1000.0
DM_RNA_b4162	0.0	1000.0
DM_RNA_b3008	0.0	1000.0
DM_RNA_b3496	0.0	1000.0
DM_RNA_b1611	0.0	1000.0
DM_RNA_b0023	0.0	1000.0
DM_RNA_b2533	0.0	1000.0
DM_RNA_b2937	0.0	1000.0
DM_RNA_b4169	0.0	1000.0
DM_RNA_b4171	0.0	1000.0
DM_RNA_b2477	0.0	1000.0
DM_RNA_b2478	0.0	1000.0
DM_RNA_b2927	0.0	1000.0
DM_RNA_b2926	0.0	1000.0
DM_RNA_b1206	0.0	1000.0
DM_RNA_b2397	0.0	1000.0
DM_RNA_b2396	0.0	1000.0
DM_RNA_b2551	0.0	1000.0
DM_RNA_b0930	0.0	1000.0
DM_RNA_b0720	0.0	1000.0
DM_RNA_b3479	0.0	1000.0
DM_RNA_b3476	0.0	1000.0
DM_RNA_b3478	0.0	1000.0
DM_RNA_b3477	0.0	1000.0
DM_RNA_b3480	0.0	1000.0
DM_RNA_b1587	0.0	1000.0
DM_RNA_b1588	0.0	1000.0
DM_RNA_b1590	0.0	1000.0
DM_RNA_b1591	0.0	1000.0
DM_RNA_b1589	0.0	1000.0
DM_RNA_b2373	0.0	1000.0
DM_RNA_b3412	0.0	1000.0
DM_RNA_b2027	0.0	1000.0
DM_RNA_b3658	0.0	1000.0
DM_RNA_b2687	0.0	1000.0
DM_RNA_b3084	0.0	1000.0
DM_RNA_b2290	0.0	1000.0
DM_RNA_b2291	0.0	1000.0
DM_RNA_b2579	0.0	1000.0
DM_RNA_b2942	0.0	1000.0
DM_RNA_b2312	0.0	1000.0
DM_RNA_b2311	0.0	1000.0
DM_RNA_b3172	0.0	1000.0
DM_RNA_b1661	0.0	1000.0
DM_RNA_b0937	0.0	1000.0
DM_RNA_b0936	0.0	1000.0
DM_RNA_b0934	0.0	1000.0
DM_RNA_b0935	0.0	1000.0
DM_RNA_b0933	0.0	1000.0
DM_RNA_b3599	0.0	1000.0
DM_RNA_b3600	0.0	1000.0
DM_RNA_b2693	0.0	1000.0
DM_RNA_b2694	0.0	1000.0
DM_RNA_b2692	0.0	1000.0
DM_RNA_b2695	0.0	1000.0
DM_RNA_b1136	0.0	1000.0
DM_RNA_b2515	0.0	1000.0
DM_RNA_b2923	0.0	1000.0
DM_RNA_b2738	0.0	1000.0
DM_RNA_b3551	0.0	1000.0
DM_RNA_b3636	0.0	1000.0
DM_RNA_b3637	0.0	1000.0
DM_RNA_b1822	0.0	1000.0
DM_RNA_b2028	0.0	1000.0
DM_RNA_b2536	0.0	1000.0
DM_RNA_b4386	0.0	1000.0
DM_RNA_b0186	0.0	1000.0
DM_RNA_b4033	0.0	1000.0
DM_RNA_b4032	0.0	1000.0
DM_RNA_b4034	0.0	1000.0
DM_RNA_b0200	0.0	1000.0
DM_RNA_b3428	0.0	1000.0
DM_RNA_b3429	0.0	1000.0
DM_RNA_b2574	0.0	1000.0
DM_RNA_b3287	0.0	1000.0
DM_RNA_b3288	0.0	1000.0
DM_RNA_b3236	0.0	1000.0
DM_RNA_b1198	0.0	1000.0
DM_RNA_b0131	0.0	1000.0
DM_RNA_b3882	0.0	1000.0
DM_RNA_b2284	0.0	1000.0
DM_RNA_b2285	0.0	1000.0
DM_RNA_b2286	0.0	1000.0
DM_RNA_b2288	0.0	1000.0
DM_RNA_b2278	0.0	1000.0
DM_RNA_b2276	0.0	1000.0
DM_RNA_b2282	0.0	1000.0
DM_RNA_b2277	0.0	1000.0
DM_RNA_b2279	0.0	1000.0
DM_RNA_b2280	0.0	1000.0
DM_RNA_b2287	0.0	1000.0
DM_RNA_b2283	0.0	1000.0
DM_RNA_b2281	0.0	1000.0
DM_RNA_b0126	0.0	1000.0
DM_RNA_b0521	0.0	1000.0
DM_RNA_b2296	0.0	1000.0
DM_RNA_b3416	0.0	1000.0
DM_RNA_b3417	0.0	1000.0
DM_RNA_b1232	0.0	1000.0
DM_RNA_b2143	0.0	1000.0
DM_RNA_b0931	0.0	1000.0
DM_RNA_b3169	0.0	1000.0
DM_RNA_b3168	0.0	1000.0
DM_RNA_b2379	0.0	1000.0
DM_RNA_b0033	0.0	1000.0
DM_RNA_b0032	0.0	1000.0
DM_RNA_b0207	0.0	1000.0
DM_RNA_b0572	0.0	1000.0
DM_RNA_b0573	0.0	1000.0
DM_RNA_b0574	0.0	1000.0
DM_RNA_b0575	0.0	1000.0
DM_RNA_b0115	0.0	1000.0
DM_RNA_b0114	0.0	1000.0
DM_RNA_b2963	0.0	1000.0
DM_RNA_b2964	0.0	1000.0
DM_RNA_b2418	0.0	1000.0
DM_RNA_b2930	0.0	1000.0
DM_RNA_b1216	0.0	1000.0
DM_RNA_b0524	0.0	1000.0
DM_RNA_b2781	0.0	1000.0
DM_RNA_b2045	0.0	1000.0
DM_RNA_b1199	0.0	1000.0
DM_RNA_b1200	0.0	1000.0
DM_RNA_b1819	0.0	1000.0
DM_RNA_b1818	0.0	1000.0
DM_RNA_b1817	0.0	1000.0
DM_RNA_b3384	0.0	1000.0
DM_RNA_b3969	0.0	1000.0
DM_RNA_b3971	0.0	1000.0
DM_RNA_b3968	0.0	1000.0
DM_RNA_b3970	0.0	1000.0
DM_RNA_b0014	0.0	1000.0
DM_RNA_b0015	0.0	1000.0
DM_RNA_b1528	0.0	1000.0
DM_RNA_b2935	0.0	1000.0
DM_RNA_b0337	0.0	1000.0
DM_RNA_b0336	0.0	1000.0
DM_RNA_b3545	0.0	1000.0
DM_RNA_b2183	0.0	1000.0
DM_RNA_b3359	0.0	1000.0
DM_RNA_b2048	0.0	1000.0
DM_RNA_b2051	0.0	1000.0
DM_RNA_b2053	0.0	1000.0
DM_RNA_b2052	0.0	1000.0
DM_RNA_b2049	0.0	1000.0
DM_RNA_b2529	0.0	1000.0
DM_RNA_b2530	0.0	1000.0
DM_RNA_b2528	0.0	1000.0
DM_RNA_b2162	0.0	1000.0
